Name,Created,Created By,Last Edited Time,Participants,Type
Rhodes copy tuning,"April 14, 2022 11:05 AM",Klaudiusz,"April 28, 2022 7:53 PM","Dima, Netguru Design, Klaudiusz",
Agenda wc 13th Apr,"April 13, 2022 10:55 AM",Netguru Design,"April 13, 2022 10:57 AM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 6th Apr,"April 5, 2022 4:23 PM",Netguru Design,"April 6, 2022 12:25 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 23rd Mar,"March 23, 2022 8:53 AM",Netguru Design,"March 23, 2022 1:16 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 16th Mar,"March 16, 2022 11:52 AM",Netguru Design,"March 16, 2022 12:20 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 9th Mar,"March 9, 2022 11:45 AM",Netguru Design,"March 16, 2022 12:08 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 2nd Mar,"March 2, 2022 10:20 AM",Dima,"March 9, 2022 12:07 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 16th Feb,"February 10, 2022 9:54 AM",Dima,"March 2, 2022 12:20 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 9rd Feb,"February 4, 2022 10:05 AM",Dima,"February 9, 2022 1:22 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 3rd Feb,"February 3, 2022 10:00 AM",Dima,"February 3, 2022 2:01 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Agenda wc 26th Jan,"January 26, 2022 11:18 AM",Dima,"January 26, 2022 12:45 PM","Netguru Design, Klaudiusz",Weekly Tech-Design Sync
Agenda wc 13th Jan,"January 13, 2022 11:55 AM",Dima,"January 13, 2022 2:13 PM","Netguru Design, Klaudiusz",Weekly Tech-Design Sync
Agenda wc 5th Jan,"January 5, 2022 10:23 AM",Dima,"January 13, 2022 11:56 AM","Netguru Design, Klaudiusz",Weekly Tech-Design Sync
Agenda wc 21st Dec,"December 20, 2021 8:41 AM",Dima,"December 21, 2021 12:45 PM","Netguru Design, Klaudiusz",Weekly Tech-Design Sync
Agenda wc 13th Dec,"December 13, 2021 7:54 PM",Dima,"December 21, 2021 12:28 PM","Netguru Design, Klaudiusz",Weekly Tech-Design Sync
MM Dec 6th,"December 8, 2021 12:04 PM",Dima,"December 8, 2021 12:05 PM",,Weekly Tech-Design Sync
Agenda for wc6th Dec,"December 6, 2021 4:14 PM",Dima,"December 6, 2021 4:14 PM","Netguru Design, Klaudiusz, Dima",Weekly Tech-Design Sync
Design Team Completed Issues,"December 6, 2021 4:14 PM",Dima,"December 6, 2021 4:14 PM",,Weekly Design
Dev Weekly Reports,"December 6, 2021 4:14 PM",Dima,"December 6, 2021 4:14 PM",,Sprint Planning
Project Onboarding Document,"December 6, 2021 4:14 PM",Dima,"December 6, 2021 4:14 PM",,
Atlas November Retro,"December 6, 2021 4:14 PM",Dima,"December 6, 2021 4:14 PM",,Retro
