Channel Title,Channel_URL,Date Signed Up to YPP,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
 CRYPTO PEPE - ВСЕ О ЗАРАБОТКЕ И КРИПТОВАЛЮТЕ ,channel/UCKt1poZcDgcx5C1QLHTMp-g,2023-08-08,15200.0,27126,0.0,0.0,50.0,0.0,"5,783","5,783"
 FREE_CRIPTO,channel/UCSIh4BLHIGSaye81yQIJa3g,2023-07-05,204.0,26518,0.0,0.0,0.0,0.0,0,"9,090"
⚡️Криптанчик⚡️,channel/UCnPgVBg-lNRvjfKit9MfSiA,2023-08-04,288.0,26840,1.0,3.0,20.0,0.0,"2,660","2,660"
😍 NFT EUNYO 🔥,channel/UCxunR_Kr_TDglJTGsP3zKGQ,2023-08-08,16800.0,27136,6.0,45.0,50.0,0.0,"10,988","10,987"
🟡 KOLYAN TREND - NFT and METAVERSE,channel/UChkaWsI-P3LULw2Ptm0Ck2g,2023-06-16,5900.0,26363,0.0,0.0,0.0,0.0,0,"52,509"
0xNina,channel/UChX-0k8y13GVAyhNTXlrrJA,2023-06-14,177.0,26291,0.0,0.0,0.0,0.0,0,"5,000"
40 Plus о КРИПТЕ,channel/UCTZ8tVJs7J-rAHm-9ylO3iw,2023-06-11,12300.0,26236,10.0,75.0,0.0,10.0,"9,831","108,215"
Abdykasymov БЛОГ,channel/UCu_7tdKgKYjP3z4RSXEZQyg,2023-06-18,851.0,26412,0.0,0.0,0.0,0.0,0,"5,000"
Airdrop Alert Daily: News & Updates,channel/UC4eiyVT7hjkJ2EuTbzYMRhQ,2023-06-18,10500.0,26425,2.0,15.0,0.0,0.0,"1,735","15,448"
Aleksandr,channel/UCScG4B1Nd4t7xKVo2K4zLsA,2023-06-12,107.0,22639,0.0,0.0,0.0,0.0,0,"7,941"
ALEX WORK-Заработок и инвестиции в интернете,channel/UCWu2sm68OB7HVyMcZ0qLy2A,2023-08-07,817.0,26961,0.0,0.0,20.0,0.0,"2,313","2,313"
Alexey Ponomarev,channel/UCy23kJgN4U106T2wmFU9w5g,2023-07-23,3710.0,26665,7.0,21.0,0.0,0.0,"2,429","6,349"
Ander Win,channel/UCdyFZm8tYbCQwxozhJmAtKA,2023-07-16,1190.0,26592,7.0,21.0,0.0,55.0,"8,790","40,645"
Anyobservation,channel/UCsqfZJRzNitVnWrWqlfIs6A,2023-07-29,3720.0,26761,0.0,0.0,0.0,0.0,0,"3,652"
AR-money77,channel/UCv3xUzWZ7q2QGpdBdIAeqhw,2023-07-12,460.0,26550,42.0,45.0,0.0,25.0,"8,096","24,876"
Avseenko-life,channel/UCyUf82PMw5yzVNhogI4vSng,2023-06-14,182000.0,26295,6.0,90.0,0.0,50.0,"16,192","212,912"
Baikov Invest,channel/UC6EPjiPIHhXhXG3KOoCAAnw,2023-07-22,4260.0,26653,2.0,6.0,0.0,0.0,694,"6,440"
BaTtLeX Crypto,channel/UCkRVPXOK4ywXGf7W0c0hj8g,2023-07-17,894.0,26607,5.0,15.0,0.0,0.0,"1,735","5,792"
Bitvisitor,channel/UCVUXyDByKwMeda6RG4HUHzQ,2023-07-14,401.0,26571,6.0,18.0,0.0,0.0,"2,082","10,182"
BLOG CRYPTONA,channel/UCzOsVkR4JEPKYeilY6ybmiw,2023-07-25,153.0,26696,4.0,12.0,0.0,0.0,"1,388","5,308"
Böyük Pullar,channel/UCkOuHL2gknWnVHANtWM-29Q,2023-08-07,6940.0,27063,3.0,22.5,50.0,0.0,"8,328","8,327"
Brandon Duff - The Boring Passive Income Guy,channel/UCxZiNvPRrI7yprbcY91euxg,2023-05-10,6090.0,25941,17.0,112.5,0.0,0.0,"12,954","166,177"
Bruel Games,channel/UC4VK0tvNdIhFRw-nOh3K5Hg,2023-06-15,3590.0,26320,15.0,45.0,0.0,0.0,"5,205","22,339"
BSC MASTER,channel/UCjpfBQV3n4m6n4ut5rBwEZw,2023-07-29,122000.0,26756,3.0,45.0,0.0,0.0,"5,205","28,035"
bulevar - AKTIV,channel/UC5sy1YrkaIRksKj0seGdgOA,2023-05-24,47.0,26055,0.0,0.0,0.0,0.0,0,"5,000"
casperer,channel/UCvOdcNsj4xrmvFJDCgM5obQ,2023-07-29,120000.0,26764,2.0,30.0,0.0,0.0,"3,470","21,733"
Cawa Money,channel/UCrdoibcjmSyPZATWf4gq7bA,2023-08-08,756.0,27149,3.0,9.0,20.0,0.0,"3,354","3,354"
