YPP Rewards Payout 14.07-21.07 // JOY-USD = 0.005763
Channel Title,Channel_URL,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Total YPP Rewards in JOY
 FREE_CRIPTO,channel/UCSIh4BLHIGSaye81yQIJa3g,206.0,26518,0.0,0.0,0.0,0.0,9090.0
0xNina,channel/UChX-0k8y13GVAyhNTXlrrJA,176.0,26291,0.0,0.0,0.0,0.0,5000.0
40 Plus о КРИПТЕ,channel/UCTZ8tVJs7J-rAHm-9ylO3iw,12300.0,26236,6.0,37.5,0.0,0.0,91079.0
Abdykasymov БЛОГ,channel/UCu_7tdKgKYjP3z4RSXEZQyg,853.0,26412,0.0,0.0,0.0,0.0,5000.0
Airdrop Alert Daily: News & Updates,channel/UC4eiyVT7hjkJ2EuTbzYMRhQ,10400.0,26425,1.0,7.5,0.0,0.0,13714.0
Aleksandr,channel/UCScG4B1Nd4t7xKVo2K4zLsA,108.0,22639,0.0,0.0,0.0,0.0,7941.0
AR-money77,channel/UCv3xUzWZ7q2QGpdBdIAeqhw,460.0,26550,15.0,15.0,0.0,0.0,15016.0
Avseenko-life,channel/UCyUf82PMw5yzVNhogI4vSng,182000.0,26295,3.0,45.0,0.0,50.0,163415.0
BaTtLeX Crypto,channel/UCkRVPXOK4ywXGf7W0c0hj8g,815.0,26607,0.0,0.0,20.0,0.0,3470.0
Bitvisitor,channel/UCVUXyDByKwMeda6RG4HUHzQ,317.0,26571,4.0,12.0,20.0,0.0,5552.0
Brandon Duff,channel/UCxZiNvPRrI7yprbcY91euxg,5990.0,25941,6.0,37.5,0.0,0.0,153224.0
Bruel Games,channel/UC4VK0tvNdIhFRw-nOh3K5Hg,3530.0,26320,3.0,9.0,0.0,0.0,16547.0
bulevar - AKTIV,channel/UC5sy1YrkaIRksKj0seGdgOA,45.0,26055,0.0,0.0,0.0,0.0,5000.0
Criptoadicto Ruso hablando español,channel/UC92h-uFTHLscifAm3L8AW-Q,95.0,26085,0.0,0.0,0.0,0.0,6470.0
Cristy Verse,channel/UCJZfnLD8sz-Ty1GB0VGCogg,27000.0,26497,0.0,0.0,0.0,0.0,123370.0
Crypto Awaz,channel/UCbhnmbaBxV71OCWuzaJFmzA,2970.0,25917,0.0,0.0,0.0,0.0,11595.0
CRYPTO BULLSEYE,channel/UCWR66mkt9ovREiEyI3xC_Yg,4580.0,25965,6.0,15.0,0.0,0.0,41975.0
Crypto Clarity,channel/UCqliJEiBb3KvHqd7pM0nR-w,579.0,25773,2.0,6.0,0.0,0.0,83579.0
Crypto Coin Show,channel/UC1ULGWsmJNqbNbMJ1MdNRjQ,77900.0,26568,2.0,30.0,100.0,0.0,22557.0
CRYPTO CORE RAKIB,channel/UCXU3HntXoWP43cQj5UuBFxA,1190.0,25850,4.0,12.0,0.0,0.0,27932.0
Crypto Currents,channel/UCKdJhTkIoVVJEXun7zn2tGg,57.0,26195,0.0,0.0,0.0,0.0,5000.0
Crypto Demiurg,channel/UCbaU_2DOB76Gp2yWLLsZoKQ,3920.0,26297,0.0,0.0,0.0,0.0,5000.0
CRYPTO DILLER,channel/UCeQ14fCvpj7pD-21gpxVqXA,104.0,26522,4.0,12.0,0.0,0.0,11927.0
Crypto Fanat,channel/UCrB1ZCQLUamth2JmBY39pDA,103000.0,26486,2.0,30.0,0.0,25.0,84145.0
Crypto Flash,channel/UCnu664XillgYpD2xaRGeO8g,32300.0,25948,13.0,37.5,0.0,0.0,6420.0
Crypto Hamster,channel/UCkIWYu3wPQuy6BqAxZ3tGIw,6500.0,26227,1.0,7.5,0.0,0.0,16710.0
Crypto House,channel/UCIozniIWiKTFIH7E5NXZbjA,110000.0,26503,2.0,30.0,0.0,0.0,27932.0
Crypto INSIDE,channel/UCIGRe0omWgl7vqZgc7fh9aw,1420.0,26105,3.0,9.0,0.0,0.0,30322.0
Crypto Kaha,channel/UC_VdG0VPxJhaMS1_J4-PYzA,32200.0,26498,1.0,7.5,0.0,0.0,38316.0
Crypto Kernels,channel/UCvwgazR7TXRMPBxC4YSNRtw,1700.0,25955,1.0,3.0,0.0,0.0,10104.0
Crypto Lee,channel/UCrG3Xbd1TGAPTYHdD9b6qzA,71900.0,26485,0.0,0.0,0.0,0.0,52272.0
CRYPTO LIFE,channel/UCPC3f6oAGifVPbB84dnVTeg,11500.0,26177,0.0,0.0,0.0,0.0,12500.0
CRYPTO PROJECTS,channel/UCg7nPTkh-1pwPzZ5d7ty4Lg,259.0,26373,0.0,0.0,0.0,0.0,5000.0
CRYPTO RINA,channel/UCHX6DiG-13v1W4s5QgRZ0vw,1980.0,26603,0.0,0.0,20.0,0.0,3470.0
CRYPTO ROM,channel/UCA_NV7rWc0etEoaujxT5Fsw,492.0,26520,3.0,9.0,0.0,0.0,13219.0
Crypto Sheff,channel/UCYTur8Idl9srcmksclRbVkw,70800.0,26561,1.0,15.0,100.0,0.0,19954.0
Crypto Unveiled,channel/UCLM_Y5m1Vug6Ytr0I2stq9w,466.0,26226,7.0,15.0,0.0,0.0,37419.0
Crypto Variety,channel/UCG2lmsR6Vv1Pe2txpRHyuZw,18000.0,26496,0.0,0.0,0.0,0.0,22727.0
Crypto_K1ng,channel/UC9t4NQe7hQ1Se6Aa9X5VdZQ,534.0,26294,1.0,3.0,0.0,0.0,28247.0
cryptoact,channel/UCYmpZJyfXz3Bz3xYKqm2E6A,1140.0,26484,0.0,0.0,0.0,0.0,22727.0
CryptoBOOM,channel/UCRJr1Ke5wFIAcKLLjccoJ5A,2030.0,26304,0.0,0.0,0.0,0.0,5000.0
