Builder,Active,Assignments,Discord,Earned,Fired,Focus Area,GH link,Github,Hired,Hours,Last Contact,Member,Ratio [%],SP,Worker
freakstatic,Yes,"Untitled (https://www.notion.so/623c96eba3f44d31bdfaf863cef21324?pvs=21), Untitled (https://www.notion.so/758450a48a944ee7a421d020d77639f0?pvs=21), Untitled (https://www.notion.so/5b69a7a8c654492d8170109b7dffb5ef?pvs=21), Untitled (https://www.notion.so/81870eea35614d6ea273c6bdaefd3118?pvs=21), Untitled (https://www.notion.so/e2e4f83e7d5e484488e80fcab87dca21?pvs=21), Untitled (https://www.notion.so/b80f92b9afd74cfb83f51c53ea52b10b?pvs=21)",freakstatic#0197,,,"Deputy, devops",https://github.com/Joystream/pioneer/issues?q=assignee%3Afreakstatic,freakstatic,01/06/2023,,,306,0%,,4
polikosi,No,,oig_res#3573,,,QA,https://github.com/Joystream/pioneer/issues?q=assignee%3Apolikosi,polikosi,01/10/2023,,,2673,0%,,6
ivant,No,,Ivan T#1098,,,QA,https://github.com/Joystream/pioneer/issues?q=assignee%3Aivanturlakov,ivanturlakov,01/06/2023,,,3089,0%,,1
lkskrn,No,"Untitled (https://www.notion.so/ccc656d6bea54624ba8c7409acba5ecd?pvs=21), Untitled (https://www.notion.so/6208bad0ffb444a2993b74ee981d59a9?pvs=21), Untitled (https://www.notion.so/16e312987f0846d58f65d803876b177a?pvs=21), Untitled (https://www.notion.so/ab4d59bbb2aa4682aa66389a622a45d6?pvs=21), Untitled (https://www.notion.so/49e0abfa465540dfb45f46982c69869a?pvs=21), Untitled (https://www.notion.so/0dbc9bb59b37436f9c3a08c9394e9926?pvs=21)",lkskrn#8336,,,"Backend, Frontend",https://github.com/Joystream/pioneer/issues?q=assignee%3Aoleksanderkorn,oleksanderkorn,01/13/2023,,,644,0%,,7
gyroflaw,Yes,"Untitled (https://www.notion.so/2dadf419a8d648c892b9295156799b5a?pvs=21), Untitled (https://www.notion.so/b2c22b998c304006a7a33bb6bf2371d7?pvs=21), Untitled (https://www.notion.so/84a0697740654f698468208d3a1de49f?pvs=21), Untitled (https://www.notion.so/0a23c68b34d9482baf28cf8fb86b77fb?pvs=21), Untitled (https://www.notion.so/bc7ecb49e49647fc9431a47aa4de284d?pvs=21), Untitled (https://www.notion.so/68739fb6b9244718a89f930714c70354?pvs=21), Untitled (https://www.notion.so/e0246aa079df42d0a6cce7bec7c6934e?pvs=21), Untitled (https://www.notion.so/044c65d413164d82a2700b16aeeffab7?pvs=21), Untitled (https://www.notion.so/a530fdeb2d2f4725a41e040cc8b51aed?pvs=21), Untitled (https://www.notion.so/906ab7252a4d4e0286fdbb91fa090e26?pvs=21)",gyroflaw#5905,,,Frontend,https://github.com/Joystream/pioneer/issues?q=assignee%3Agyroflaw,gyroflaw,08/17/2023,,,4141,0%,,29
mkblockchaindev,Yes,"Untitled (https://www.notion.so/dda48f31f741408da949b2a4bf6c38d9?pvs=21), Untitled (https://www.notion.so/3b87471992954c2384a8b8498f0818fe?pvs=21), Untitled (https://www.notion.so/faba2f3913e54541bd29a5d1350529d1?pvs=21), Untitled (https://www.notion.so/69a999ddda524b01b2d2c441984ba163?pvs=21), Untitled (https://www.notion.so/f66d8404aee848c49b3628970cf42611?pvs=21), Untitled (https://www.notion.so/8883f612d4524c02bf6b7ad0ca608a1e?pvs=21), Untitled (https://www.notion.so/865c0dd7ca394b0c9f0a589321edc638?pvs=21)",mkblockchaindev#2744,,,Frontend,https://github.com/Joystream/pioneer/issues?q=assignee%3Amkbeefcake,mkbeefcake,08/16/2023,,,4278,0%,,28
chaos77,Yes,Untitled (https://www.notion.so/27e5df03ab9f4d039762ab36a294fd1d?pvs=21),Chaos77#8632,,,Lead,https://github.com/Joystream/pioneer/issues?q=assignee%3Achrlschwb,chrlschwb,01/04/2023,,,4406,0%,,0
l1dev,No,"Untitled (https://www.notion.so/9b1c2714fc3b43d9b360f429a71f39c0?pvs=21), Untitled (https://www.notion.so/3000651b43bb4b76b94f793206c06a4e?pvs=21), Untitled (https://www.notion.so/bd749cf51a0546b8a212f037c47c4238?pvs=21), Untitled (https://www.notion.so/69d7cb08f75248b4912ed459e5bda0d4?pvs=21), Untitled (https://www.notion.so/a835188238b34fbbb813fa443e3cf31e?pvs=21), Untitled (https://www.notion.so/3a647d69592d435993f3686022d4c2e3?pvs=21), Untitled (https://www.notion.so/2b32aff3931943d8b2e71292d7aed5ee?pvs=21), Untitled (https://www.notion.so/cec0c6b13c7e4c3c9a259b2d7d085b57?pvs=21), Untitled (https://www.notion.so/09ad10cd5dc74d8f9565522688bbcae4?pvs=21), Untitled (https://www.notion.so/023f7f42d8984af482d121a32d00740c?pvs=21), Untitled (https://www.notion.so/5caeea1ea7464d37a7e28bf26d03821b?pvs=21), Untitled (https://www.notion.so/c3ec116b22994da8a9cdfa38cbc269e2?pvs=21), Untitled (https://www.notion.so/3c935e3c78ee49e4b0d50b886e2305d0?pvs=21)",l1dev#4675,,,"Backend, Frontend",https://github.com/Joystream/pioneer/issues?q=assignee%3Atraumschule,traumschule,01/06/2023,,,515,0%,,2
TheGrimSavage,No,,TheGrimSavage#6073,,,Frontend,https://github.com/Joystream/pioneer/issues?q=assignee%3Avrrayz,vrrayz,10/19/2022,,,4407,0%,,
RogueTemplar,No,,☩ ℜ𝔬𝔤𝔲𝔢 𝔗𝔢𝔪𝔭𝔩𝔞𝔯 ☩#9083,,,Frontend,https://github.com/Joystream/pioneer/issues?q=assignee%3AXxFlameCatxX,https://github.com/Joystream/pioneer/issues?q=is%3Apr+is%3Aopen+author%3AXxFlameCatxX,,,,,0%,,
Ninjafire,No,,ninjafire#2987,,,Design,https://github.com/Joystream/pioneer/issues?q=assignee%3Aninja-fire,ninja-fire,01/19/2023,,,4254,0%,,8
TheGrimSavage,Yes,,TheGrimSavage#6073,,,Frontend,https://github.com/Joystream/pioneer/issues?q=assignee%3Avrrayz,vrrayz,02/09/2023,,,4407,0%,,11
dapplooker,Yes,,Abhay | DappLooker#7756,,,service,,,01/30/2023,,,2183,0%,,9
kriptos,No,,kriptos#3590,,,service,,,02/21/2023,,,513,0%,,13
Counsellor,No,,Counsellor#6766,,,Design,,,03/09/2023,,,4017,0%,,14
