Name,Assign,Status
Set up Discord for Creators,,Done
Onboarding of creators to CRTs,,Done
Raise Creator Engagement issues for Gleev,,Done
Set up Notion for Creator Engagement programs,,Done
Research competition for engagement learnings,,Not started
Instrumentation of Segment,,Done
Create OKR Dashboard on Amplitude,,Done
Take over Account for YPP,,Done
Onboarding videos for CRTs,,Done
Rejig syncing allowances,,Done
CRT QA + Analytics,,Done
OKRs,,Done
Capped Outreach,,Done
YPP Sign ups,,Done
Create Analytics Dash for CRTs,,Done
Feedback on Gleev Mobile App pt I,,Done
Handle New Engagement Rewards,,Done
Set Up Typeform Onboarding,,Done
Work on feedback on CRTs,,In progress
Get NPS collected,,Done
Create Engagement Rewards Analytics Board,,Done
AB test new Landing Page,,Done
Write up initiatives for OKRs,,Done
Branded / Original APplications,,Done
Look into pump.fun,,Not started
Gleev Original branding,,Done
Send Roadmap Feedback Survey,,In progress
Fix Discord issues,,Done
Provide Feedback on Shorts Concept,,In progress
