Property,Created By,Employee ID,Employee's name
Total video verified:,Kira_skipper,12,13
Performance:,Kira_skipper,100%,100%
Censorship violations found:,Kira_skipper,0,0
Employee ID:,Kira_skipper,16,24
Duplicates detected:,Kira_skipper,0,0
Language:,Kira_skipper,EN/RU,
Found unplayable videos:,Kira_skipper,5,6
,Kira_skipper,,
Comments:,Kira_skipper,,The work was done in time
Discord handle:,Kira_skipper,Skipper#0353,spat\_sochi#8803
Employee's name:,Kira_skipper,"@Kira_skipper ","@spat_sochi "
Incorrect licenses found:,Kira_skipper,0,0
Region/Time Zone:,Kira_skipper,UTC+3,
