Property,Created By,Employee ID,Employee's name
Performance:,Kira_skipper,100%,100%
Censorship violations found:,Kira_skipper,0,0
Employee ID:,Kira_skipper,16,24
Comments:,Kira_skipper,The work was done in time,The work was done in time
Found unplayable videos:,Kira_skipper,8,13
Discord handle:,Kira_skipper,Skipper#0353,spat\_sochi#8803
,Kira_skipper,,
Duplicates detected:,Kira_skipper,0,0
Language:,Kira_skipper,EN/RU,
Incorrect licenses found:,Kira_skipper,0,0
Region/Time Zone:,Kira_skipper,UTC+3,
Employee's name:,Kira_skipper,"@Kira_skipper ","@spat_sochi "
Total video verified:,Kira_skipper,,4
