Property,Employee ID,Employee's name,Created By
Employee ID:,16,24,Kira_skipper
Worker id,5,1,Kira_skipper
Member id,2228,1843,Kira_skipper
Employee's name:,"@Kira_skipper ","@spat_sochi ",Kira_skipper
Language:,EN/RU,EN/RU,Kira_skipper
Discord handle:,Skipper#0353,spat\_sochi#8803,Kira_skipper
Stake:,1.0000 MJOY,100.0000 kJOY,Kira_skipper
Reward,15.0000 JOY,10.0000 JOY,Kira_skipper
Total video verified:,196,117,Kira_skipper
Duplicates detected:,,3,Kira_skipper
Incorrect licenses found:,10,2,Kira_skipper
Found unplayable videos:,2,21,Kira_skipper
Performance:,100%,100%,Kira_skipper
Comments:,,,Kira_skipper
