Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License,Curator,Date,Comment,Mark it [!] if video is good! (Interesting/Quality),If the download speed is slow when viewed / in seconds.
27027,Че По Космосу #14 с POST HUMAN & CryptoQ | CryptoLodes.,ru,CryptoLodes.,cryptolodes,5225,614246614,14,Science & Technology,1002,Creative Commons,https://www.youtube.com/watch?v=T86RY-HtKy0,"July 12, 2022 8:17 AM (GMT+1)","July 12, 2022 8:17 AM (GMT+1)",https://play.joystream.org/video/27027,,CC0,Songoku,"July 13, 2022",,,
27029,How to Claim Bounty Reward in Joystream,en,Joystream Tutorials by Songoku,Songoku,56,N/A,12,Howto & Style,1002,Original video for Joystream,Original video for Joystream,"July 13, 2022 5:59 AM (GMT+1)","July 13, 2022 5:59 AM (GMT+1)",https://play.joystream.org/video/27029,,CC0,Songoku,"July 14, 2022",,,
27032,How to Claim Bounty Reward in Joystream,en,MWG Official,MWG,56,N/A,14,Science & Technology,1002,Original video for Joystream,Original video for Joystream,"July 13, 2022 6:08 PM (GMT+1)","July 13, 2022 6:08 PM (GMT+1)",https://play.joystream.org/video/27032,,CC0,Songoku,"July 14, 2022",Video category is Science & Technology. I think it should be Howto & Style or Education,,
27033,Zerogoki golden logo,en,PrettyFreak,prettyfreak,15,5042444,1,Film & Animation,1002,Original video for Joystream,Original video for Joystream,"July 13, 2022 9:18 PM (GMT+1)","July 13, 2022 9:18 PM (GMT+1)",https://play.joystream.org/video/27033,1,CC0,Songoku,"July 14, 2022",This video is originally made by the uploader. He submitted it to a previous crypto project but was deleted,,
27034,"Че По Нодам #32 | Про ванлайнеры, нодранеров, хостеров",ru,CryptoLodes.,cryptolodes,6047,696053822,14,Science & Technology,1002,Creative Commons,https://www.youtube.com/watch?v=my9QWOniFF4,"July 13, 2022 9:20 PM (GMT+1)","July 13, 2022 9:20 PM (GMT+1)",https://play.joystream.org/video/27034,,CC0,Songoku,"July 14, 2022",,,
27035,Polygon Logo,en,PrettyFreak,prettyfreak,5,4000990,1,Film & Animation,1002,Creative Commons,https://www.youtube.com/watch?v=_XA4P27ngjg,"July 13, 2022 9:25 PM (GMT+1)","July 13, 2022 9:25 PM (GMT+1)",https://play.joystream.org/video/27035,1,CC0,Songoku,"July 14, 2022",This video is originally made by the uploader. He sent an unlisted youtube link where he saved this video.,,
27036,zkLend explanation,en,PrettyFreak,prettyfreak,66,22135711,13,Education,1002,Standard YouTube license,https://www.youtube.com/watch?v=6ruA7GRQTUAA,"July 13, 2022 9:37 PM (GMT+1)","July 13, 2022 9:37 PM (GMT+1)",https://play.joystream.org/video/27036,1,CC0,Songoku,"July 14, 2022",,,
27037,zkLend explanation,en,PrettyFreak,prettyfreak,66,22135711,13,Education,1002,Standard YouTube license,https://www.youtube.com/watch?v=6ruA7GRQTUA,"July 13, 2022 9:46 PM (GMT+1)","July 13, 2022 9:46 PM (GMT+1)",https://play.joystream.org/video/27037,,CC0,@ferdikesh_studio,"July 15, 2022",,,
27039,More bubbles,en,Skipper life,kira_skipper,28,9850526,8,People & Blogs,1002,Original video for Joystream,Original video for Joystream,"July 13, 2022 11:35 PM (GMT+1)","July 13, 2022 11:35 PM (GMT+1)",https://play.joystream.org/video/27039,,CC0,Songoku,"July 14, 2022",,!,
27041,Tigreal Tank Gameplay - Mobile Legends,en,Songoku Channel,songoku,543,564221997,7,Gaming,1002,Original video for Joystream,Original video for Joystream,"July 14, 2022 6:18 AM (GMT+1)","July 14, 2022 6:18 AM (GMT+1)",https://play.joystream.org/video/27041,,CC0,@ferdikesh_studio,"July 15, 2022",,!,
27042,What is Kyve Network,en,PrettyFreak,prettyfreak,40,31587353,13,Education,1002,,,"July 14, 2022 1:07 PM (GMT+1)","July 14, 2022 1:07 PM (GMT+1)",https://play.joystream.org/video/27042,,CC0,@ferdikesh_studio,"July 15, 2022","Video Link is broken, The same video with: https://play.joystream.org/video/27044",,
