Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License,Curator,Date,Comment
27175,"My life’s a photograph~the strife, the pain.",en,TheMindsUnderground,infinteimaginarium,751,105250500,10,Entertainment,1002,Standard YouTube license,https://youtu.be/9OAsvpDSL4g,"July 26, 2022 6:18 AM (GMT+1)","July 26, 2022 6:18 AM (GMT+1)",https://play.joystream.org/video/27175,0,CC0,ferdikesh_studio,"July 30, 2022",
27124,Joystream Song,en,Songoku Channel,songoku,161,35262383,3,Music,1002,Original video for Joystream,Original video for Joystream,"July 23, 2022 2:35 PM (GMT+1)","July 23, 2022 2:35 PM (GMT+1)",https://play.joystream.org/video/27124,0,CC0,ferdikesh_studio,"July 30, 2022",
27225,Creative Common Wells,en,InfiniteImaginarium,infinteimaginarium,544,366183622,14,Science & Technology,1002,Creative Commons,https://youtu.be/OOT8iTVVEEo,"July 27, 2022 5:17 AM (GMT+1)","July 27, 2022 5:17 AM (GMT+1)",https://play.joystream.org/video/27225,0,CC0,ferdikesh_studio,"July 30, 2022",
27224,Interplanetary - Eclipsing Binary,en,Eclipsing Binary,eclipsingbinary,281,360960639,3,Music,1002,Standard YouTube license,https://youtu.be/En7M_9duQTY,"July 27, 2022 2:03 AM (GMT+1)","July 27, 2022 2:03 AM (GMT+1)",https://play.joystream.org/video/27224,0,CC0,ferdikesh_studio,"July 30, 2022",
27226,How to Delete Video in Joystream Atlas,en,Joystream Tutorials by Songoku,songoku,68,9900799,12,Howto & Style,1002,Original video for Joystream,Original video for Joystream,"July 27, 2022 10:56 AM (GMT+1)","July 27, 2022 10:56 AM (GMT+1)",https://play.joystream.org/video/27226,0,CC0,ferdikesh_studio,"July 30, 2022",
27227,small video,en,crypto channel,member,13,574823,6,Travel & Events,1002,-,-,"July 27, 2022 2:31 PM (GMT+1)","July 27, 2022 2:31 PM (GMT+1)",https://play.joystream.org/video/27227,0,CC0,ferdikesh_studio,"July 30, 2022","Video link is broken, owner waned."
27228,Че По Нодам #34 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,4672,551932596,14,Science & Technology,1002,Original video for Joystream,https://www.youtube.com/watch?v=N_E5ZGV61jM&ab_channel=CryptoLodes.,"July 27, 2022 10:25 PM (GMT+1)","July 27, 2022 10:25 PM (GMT+1)",https://play.joystream.org/video/27228,0,CC0,ferdikesh_studio,"July 30, 2022",
27007,Pexels aadddVideoscccbbb 12711145333,en,crypto channel,member,16,5598457,6,Travel & Events,1002,Stock Video,https://www.pexels.com/tr-tr/,"July 8, 2022 12:58 PM (GMT+1)","July 8, 2022 12:58 PM (GMT+1)",https://play.joystream.org/video/27007,27007,CC0,ferdikesh_studio,"July 30, 2022","İ could not find the vide link properly but video title is belong to stock videos download name from pexel, i used this vebsite too."
27008,Sample-5ss,en,crypto channel,member,6,2848208,6,Travel & Events,1002,Original video for Joystream,Original video for Joystream,"July 8, 2022 1:02 PM (GMT+1)","July 8, 2022 1:02 PM (GMT+1)",https://play.joystream.org/video/27008,0,CC0,ferdikesh_studio,"July 30, 2022",
27230,How to Verify On-Chain Identity on Discord,en,MWG Official,MWG,135,18695185,14,Science & Technology,1002,Original video for Joystream,Original video for Joystream,"July 28, 2022 4:39 PM (GMT+1)","July 28, 2022 4:39 PM (GMT+1)",https://play.joystream.org/video/27230,0,CC0,kriptos,"July 30, 2022",
