Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,Language,License,License code,NFT,Original License,Original Link,Owner,Size,URL,Update
This Kind of Art its Actually a Game,Science & Technology,14,InfiniteImaginarium,does not work,"July 31, 2022 11:18 PM (GMT+1)",prontera,"August 1, 2022",368,27245,en,CC0,1002,0,-,-,infinteimaginarium,205504058,https://play.joystream.org/video/27245,"July 31, 2022 11:18 PM (GMT+1)"
"Capón al Estilo Salvatierra, Guanajuato",Howto & Style,12,Las Recetas del Rancho,,"July 29, 2022 7:24 PM (GMT+1)",mmsaww,"July 29, 2022",393,27231,es,CC_BY_NC_SA,1007,27231,Original video,https://www.instagram.com/lasrecetasdelrancho/,delranchorecipes,345483317,https://play.joystream.org/video/27231,"July 29, 2022 7:24 PM (GMT+1)"
Deep In The Underground,Entertainment,10,TheMindsUnderground,,"July 30, 2022 11:41 PM (GMT+1)",prontera,"August 1, 2022",415,27238,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,infinteimaginarium,277537398,https://play.joystream.org/video/27238,"July 30, 2022 11:41 PM (GMT+1)"
How to Mint your Joystream Video into an NFT,Howto & Style,12,Joystream Tutorials by Songoku,,"July 30, 2022 3:56 AM (GMT+1)",prontera,"August 1, 2022",129,27234,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,songoku,78808091,https://play.joystream.org/video/27234,"July 30, 2022 3:56 AM (GMT+1)"
Pexels aadddVideoscccbbb 12711145333,Travel & Events,6,crypto channel,"İ could not find the vide link properly but video title is belong to stock videos download name from pexel, i used this vebsite too.","July 8, 2022 12:58 PM (GMT+1)",ferdikesh_studio,"July 30, 2022",16,27007,en,CC0,1002,27007,Stock Video,https://www.pexels.com/tr-tr/,member,5598457,https://play.joystream.org/video/27007,"July 8, 2022 12:58 PM (GMT+1)"
Vexana Gameplay - Mobile Legends Bang Bang,Gaming,7,Songoku Channel,,"August 1, 2022 11:58 AM (GMT+1)",prontera,"August 1, 2022",403,27247,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,songoku,419576572,https://play.joystream.org/video/27247,"August 1, 2022 11:58 AM (GMT+1)"
Interplanetary - Eclipsing Binary,Music,3,Eclipsing Binary,,"July 27, 2022 2:03 AM (GMT+1)",ferdikesh_studio,"July 30, 2022",281,27224,en,CC0,1002,0,Standard YouTube license,https://youtu.be/En7M_9duQTY,eclipsingbinary,360960639,https://play.joystream.org/video/27224,"July 27, 2022 2:03 AM (GMT+1)"
Детский пикник,Entertainment,10,PrettyFreak,,"July 31, 2022 1:17 PM (GMT+1)",prontera,"August 1, 2022",143,27241,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,prettyfreak,36924905,https://play.joystream.org/video/27241,"July 31, 2022 1:17 PM (GMT+1)"
Satori's Poetry Cleanses(Remastered),Entertainment,10,SatoriD,,"July 22, 2022 10:31 PM (GMT+1)",prontera,"August 1, 2022",138,27121,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,infinteimaginarium,131156062,https://play.joystream.org/video/27121,"July 22, 2022 10:31 PM (GMT+1)"
Joystream Song,Music,3,Songoku Channel,,"July 23, 2022 2:35 PM (GMT+1)",ferdikesh_studio,"July 30, 2022",161,27124,en,CC0,1002,0,Original video for Joystream,Original video for Joystream,songoku,35262383,https://play.joystream.org/video/27124,"July 23, 2022 2:35 PM (GMT+1)"
Че По Нодам #34 | CryptoLodes.,Science & Technology,14,CryptoLodes.,,"July 27, 2022 10:25 PM (GMT+1)",ferdikesh_studio,"July 30, 2022",4672,27228,ru,CC0,1002,0,Original video for Joystream,https://www.youtube.com/watch?v=N_E5ZGV61jM&ab_channel=CryptoLodes.,cryptolodes,551932596,https://play.joystream.org/video/27228,"July 27, 2022 10:25 PM (GMT+1)"
