Title,Category,Category id,Channel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Mi Mama Nos Muestra su Cocina en el Rancho,People & Blogs,8,Las Recetas del Rancho,,"August 7, 2022 7:07 PM (GMT+1)",arseniy2706,"August 8, 2022",252,27278,,es,CC_BY_NC_SA,1007,,27278,Original License,-,delranchorecipes,161712406,https://play.joystream.org/video/27278,"August 7, 2022 7:07 PM (GMT+1)"
4315084746029293991,News & Politics,11,drog,Massive view numbers,"August 6, 2022 1:17 PM (GMT+1)",ferdikesh_studio,"August 8, 2022",101,27272,,en,CC0,1002,,0,Standard YouTube license,https://youtu.be/DjT6AMAxEt4,droginfo,32130761,https://play.joystream.org/video/27272,"August 6, 2022 1:17 PM (GMT+1)"
How to Delete Video in Joystream Atlas,Science & Technology,14,MWG Official,,"August 2, 2022 4:55 PM (GMT+1)",spat_sochi,"August 2, 2022",68,27253,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,MWG,9900799,https://play.joystream.org/video/27253,"August 2, 2022 4:55 PM (GMT+1)"
Cega intro,Pets & Animals,4,Content,,"August 5, 2022 11:45 AM (GMT+1)",prontera,"August 10, 2022",23,27265,,en,CC0,1002,,0,original content,-,igormig,9457392,https://play.joystream.org/video/27265,"August 5, 2022 11:45 AM (GMT+1)"
Kyve network introduction,Education,13,Content,,"August 5, 2022 12:21 PM (GMT+1)",prontera,"August 10, 2022",66,27269,,en,CC0,1002,,0,original content,-,igormig,64465800,https://play.joystream.org/video/27269,"August 5, 2022 12:21 PM (GMT+1)"
Video.Guru 20220802 085906818,Film & Animation,1,MY WORK ; Creative short intro,,"August 2, 2022 9:37 AM (GMT+1)",spat_sochi,"August 2, 2022",12,27252,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,280,19986226,https://play.joystream.org/video/27252,"August 2, 2022 9:37 AM (GMT+1)"
"New Room, New Game",People & Blogs,8,The MindsGaming Show,,"August 6, 2022 11:17 PM (GMT+1)",ferdikesh_studio,"August 8, 2022",3417,27275,,en,CC0,1002,,27275,Original video for Joystream,Original video for Joystream,mindsgaming,476446413,https://play.joystream.org/video/27275,"August 6, 2022 11:17 PM (GMT+1)"
Vexana Gameplay - Mobile Legends Bang Bang,Gaming,7,Songoku Channel,,"August 1, 2022 11:58 AM (GMT+1)",prontera,"August 10, 2022",403,27247,,en,CC0,1002,,0,original content,Original video for Joystream,songoku,419576572,https://play.joystream.org/video/27247,"August 1, 2022 11:58 AM (GMT+1)"
“Break The News” On Neon Abyss,Gaming,7,#MindsGaming,,"August 5, 2022 4:02 PM (GMT+1)",prontera,"August 10, 2022",192,27271,,en,CC_BY,1003,,0,original content,-,mindsgaming,131324824,https://play.joystream.org/video/27271,"August 5, 2022 4:02 PM (GMT+1)"
How to Change Cover Image of a Joystream Channel,Howto & Style,12,Joystream Tutorials by Songoku,,"August 5, 2022 5:40 AM (GMT+1)",spat_sochi,"August 8, 2022",80,27263,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,songoku,38470337,https://play.joystream.org/video/27263,"August 5, 2022 5:40 AM (GMT+1)"
Joystream animated logo video,Entertainment,10,PrettyFreak,,"August 7, 2022 9:40 PM (GMT+1)",arseniy2706,"August 8, 2022",7,27283,,en,CC0,1002,,0,Original License,-,prettyfreak,13627327,https://play.joystream.org/video/27283,"August 7, 2022 9:40 PM (GMT+1)"
"Че По Нодам #35 | Solana hack, Nomad hack, SUI, Aptos, Evmos",Science & Technology,14,CryptoLodes.,,"August 3, 2022 8:57 PM (GMT+1)",spat_sochi,"August 8, 2022",5318,27260,,ru,CC0,1002,,0,Creative commons,https://www.youtube.com/watch?v=EycxHnTFiho,cryptolodes,622524474,https://play.joystream.org/video/27260,"August 3, 2022 8:57 PM (GMT+1)"
This Kind of Art its Actually a Game,Science & Technology,14,InfiniteImaginarium,,"July 31, 2022 11:18 PM (GMT+1)",prontera,"August 10, 2022",368,27245,,en,CC0,1002,,0,Original video for Joystream,-,infinteimaginarium,205504058,https://play.joystream.org/video/27245,"July 31, 2022 11:18 PM (GMT+1)"
Gremlins In The Machine (Imaginarium Edition),Entertainment,10,TheMindsUnderground,,"August 3, 2022 12:35 AM (GMT+1)",prontera,"August 10, 2022",5188,27257,,en,CC0,1002,,0,Original video for Joystream,-,infinteimaginarium,3492162315,https://play.joystream.org/video/27257,"August 3, 2022 12:35 AM (GMT+1)"
Connext intro,Film & Animation,1,Content,,"August 5, 2022 11:50 AM (GMT+1)",prontera,"August 10, 2022",15,27266,,en,CC0,1002,,0,original content,-,igormig,7987195,https://play.joystream.org/video/27266,"August 5, 2022 11:50 AM (GMT+1)"
Joystream animated logo,Entertainment,10,PrettyFreak,,"August 7, 2022 9:21 PM (GMT+1)",arseniy2706,"August 8, 2022",7,27282,,en,CC0,1002,,0,Original License,-,prettyfreak,1727077,https://play.joystream.org/video/27282,"August 7, 2022 9:21 PM (GMT+1)"
How to Buy a Joystream Atlas NFT (Fixed Price),Howto & Style,12,Joystream Tutorials by Songoku,,"August 8, 2022 3:52 AM (GMT+1)",spat_sochi,"August 8, 2022",100,27285,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,songoku,30644030,https://play.joystream.org/video/27285,"August 8, 2022 3:52 AM (GMT+1)"
Using Metamask On MTCG,Howto & Style,12,The MindsGaming Show,,"August 2, 2022 9:55 PM (GMT+1)",spat_sochi,"August 8, 2022",195,27255,,en,CC0,1002,,0,original content,not found,mindsgaming,25145184,https://play.joystream.org/video/27255,"August 2, 2022 9:55 PM (GMT+1)"
(-)8291417054818571024,News & Politics,11,drog,Massive view numbers,"August 6, 2022 1:17 PM (GMT+1)",ferdikesh_studio,"August 8, 2022",38,27273,,en,CC0,1002,,0,Standard YouTube license,https://youtu.be/DjT6AMAxEt4,droginfo,12138074,https://play.joystream.org/video/27273,"August 6, 2022 1:17 PM (GMT+1)"
Improvements to space mushrooms stage,Entertainment,10,Eclipsing Binary,,"August 7, 2022 7:04 PM (GMT+1)",spat_sochi,"August 8, 2022",368,27277,,en,CC0,1002,,0,original content,not found,eclipsingbinary,750936057,https://play.joystream.org/video/27277,"August 7, 2022 7:04 PM (GMT+1)"
Where The Culture Should Be,Entertainment,10,SatoriD,,"August 8, 2022 3:22 AM (GMT+1)",spat_sochi,"August 8, 2022",334,27284,,en,CC0,1002,,0,original content,not found,infinteimaginarium,232097359,https://play.joystream.org/video/27284,"August 8, 2022 3:22 AM (GMT+1)"
Breederdao flag,Film & Animation,1,Content,,"August 5, 2022 11:36 AM (GMT+1)",prontera,"August 10, 2022",30,27264,,en,CC0,1002,,0,original content,-,igormig,13000499,https://play.joystream.org/video/27264,"August 5, 2022 11:36 AM (GMT+1)"
Be Positive!,People & Blogs,8,Songoku Channel,,"August 3, 2022 5:30 AM (GMT+1)",prontera,"August 10, 2022",10,27258,,en,CC0,1002,,0,original content,Original video for Joystream,songoku,10656626,https://play.joystream.org/video/27258,"August 3, 2022 5:30 AM (GMT+1)"
Blank Canvas that Enables Us to Create,Entertainment,10,InfiniteImaginarium,,"August 5, 2022 12:16 AM (GMT+1)",Songoku,"August 4, 2022",1527,27261,,en,CC0,1002,,0,Creative Commons,https://www.youtube.com/watch?v=H_tXHljcB0w,infinteimaginarium,426070005,https://play.joystream.org/video/27261,"August 5, 2022 12:16 AM (GMT+1)"
How to Mint your Joystream Video into an NFT,Science & Technology,14,MWG Official,,"August 2, 2022 5:07 PM (GMT+1)",spat_sochi,"August 2, 2022",129,27254,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,MWG,78808091,https://play.joystream.org/video/27254,"August 2, 2022 5:07 PM (GMT+1)"
Upcoming Collab Clip,Music,3,Eclipsing Binary,,"August 8, 2022 12:17 PM (GMT+1)",spat_sochi,"August 8, 2022",29,27287,,en,CC0,1002,,0,original content,not found,eclipsingbinary,61870831,https://play.joystream.org/video/27287,"August 8, 2022 12:17 PM (GMT+1)"
Че По Космосу #17 | CryptoLodes.,Science & Technology,14,CryptoLodes.,,"August 2, 2022 10:17 PM (GMT+1)",spat_sochi,"August 2, 2022",4103,27256,,ru,CC0,1002,,0,Creative commons,https://www.youtube.com/watch?v=-RI1eD2zjng,cryptolodes,489752693,https://play.joystream.org/video/27256,"August 2, 2022 10:17 PM (GMT+1)"
Pranked himself,Entertainment,10,PrettyFreak,,"August 7, 2022 9:15 PM (GMT+1)",arseniy2706,"August 8, 2022",293,27281,,en,CC0,1002,,0,Original License,-,prettyfreak,79335772,https://play.joystream.org/video/27281,"August 7, 2022 9:15 PM (GMT+1)"
Kyve network introduction,Education,13,Content,,"August 5, 2022 12:01 PM (GMT+1)",prontera,"August 10, 2022",48,27268,,en,CC0,1002,,0,original content,-,igormig,40855985,https://play.joystream.org/video/27268,"August 5, 2022 12:01 PM (GMT+1)"
Espresso Systems,Film & Animation,1,Content,,"August 5, 2022 11:55 AM (GMT+1)",prontera,"August 10, 2022",9,27267,,en,CC0,1002,,0,original content,-,igormig,1225251,https://play.joystream.org/video/27267,"August 5, 2022 11:55 AM (GMT+1)"
Kyve network introduction,Education,13,Content,,"August 5, 2022 12:29 PM (GMT+1)",prontera,"August 10, 2022",64,27270,,en,CC0,1002,,0,original content,-,igormig,11447866,https://play.joystream.org/video/27270,"August 5, 2022 12:29 PM (GMT+1)"
How to Sell a Joystream Atlas NFT (Fixed Price),Howto & Style,12,Joystream Tutorials by Songoku,,"August 7, 2022 3:09 AM (GMT+1)",arseniy2706,"August 8, 2022",90,27276,,en,CC0,1002,,0,Original License,-,songoku,15932947,https://play.joystream.org/video/27276,"August 7, 2022 3:09 AM (GMT+1)"
Space Mushroom Stage through the MTCG hub,Entertainment,10,Eclipsing Binary,,"August 2, 2022 1:10 AM (GMT+1)",spat_sochi,"August 2, 2022",387,27251,,en,CC0,1002,,0,Original video,not found,eclipsingbinary,163471206,https://play.joystream.org/video/27251,"August 2, 2022 1:10 AM (GMT+1)"
How to Install GCASH in HUAWEI Phones,Science & Technology,14,Songoku Channel,,"August 8, 2022 4:13 AM (GMT+1)",spat_sochi,"August 8, 2022",137,27286,,en,CC0,1002,,0,original content,not found,songoku,142689443,https://play.joystream.org/video/27286,"August 8, 2022 4:13 AM (GMT+1)"
Answers and vocabulary for ADVERTISEMENTS | IELTS Speaking,Education,13,Success with IELTS,,"August 7, 2022 8:46 PM (GMT+1)",arseniy2706,"August 8, 2022",1160,27279,,en,CC0,1002,,0,Original License,-,vaaanish,1496038548,https://play.joystream.org/video/27279,"August 7, 2022 8:46 PM (GMT+1)"
"New Room, New Game",People & Blogs,8,The MindsGaming Show,,"August 6, 2022 11:16 PM (GMT+1)",ferdikesh_studio,"August 8, 2022",3417,27274,,en,CC0,1002,,27274,Original video for Joystream,Original video for Joystream,mindsgaming,476446413,https://play.joystream.org/video/27274,"August 6, 2022 11:16 PM (GMT+1)"
