Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
How to Create Bounty,Howto & Style,12,Joystream Tutorials by Songoku,,"August 14, 2022 8:27 AM (GMT+1)",ferdikesh_studio,"August 16, 2022",117,27307,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,104367221,https://play.joystream.org/video/27307,"August 14, 2022 8:27 AM (GMT+1)"
Mavia,Film & Animation,1,Content,,"August 14, 2022 5:24 PM (GMT+1)",ferdikesh_studio,"August 16, 2022",10,27310,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,2499245,https://play.joystream.org/video/27310,"August 14, 2022 5:24 PM (GMT+1)"
【二米炊烟】一道属于春天的菜，特色油菜饭，饭比菜更香,People & Blogs,8,Dovbnia,,"March 28, 2022 3:31 PM (GMT+1)",skipper,"August 17, 2022",159,26126,,de,CC_BY,1003,,0,Standart YT license!,https://www.youtube.com/watch?v=uvrqboSU5mQ,dovbnia,45919475,https://play.joystream.org/video/26126,"March 28, 2022 3:31 PM (GMT+1)"
Manta Network,Film & Animation,1,Content,,"August 14, 2022 5:17 PM (GMT+1)",ferdikesh_studio,"August 16, 2022",16,27309,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,4098291,https://play.joystream.org/video/27309,"August 14, 2022 5:17 PM (GMT+1)"
Moonbeam Network,Entertainment,10,PrettyFreak,,"August 13, 2022 7:57 PM (GMT+1)",Songoku,"August 13, 2022",15,27304,,en,CC0,1002,,0,Original license,-,prettyfreak,6666673,https://play.joystream.org/video/27304,"August 13, 2022 7:57 PM (GMT+1)"
How to Buy a Joystream Atlas NFT (Fixed Price),Howto & Style,12,Joystream Tutorials by Songoku,,"August 8, 2022 3:52 AM (GMT+1)",prontera,"August 17, 2022",100,27285,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,30644030,https://play.joystream.org/video/27285,"August 8, 2022 3:52 AM (GMT+1)"
Adding connections,Entertainment,10,Eclipsing Binary,,"August 15, 2022 2:13 PM (GMT+1)",prontera,"August 17, 2022",73,27321,,en,CC0,1002,,0,Original video,Original video for Joystream,eclipsingbinary,73561644,https://play.joystream.org/video/27321,"August 15, 2022 2:13 PM (GMT+1)"
9558,Nonprofits & Activism,15,abramariia_test,,"August 15, 2022 6:27 AM (GMT+1)",prontera,"August 17, 2022",24,27318,,en,CC0,1002,,0,Original video,Original video for Joystream,joystream_test,13208090,https://play.joystream.org/video/27318,"August 15, 2022 6:27 AM (GMT+1)"
Cube Relay,Entertainment,10,CubeWorld,,"August 11, 2022 10:30 AM (GMT+1)",prontera,"August 17, 2022",70,27297,,en,CC0,1002,,0,Original video,-,thecuber,148441944,https://play.joystream.org/video/27297,"August 11, 2022 10:30 AM (GMT+1)"
Connext,Film & Animation,1,Content,,"August 14, 2022 5:29 PM (GMT+1)",ferdikesh_studio,"August 16, 2022",15,27311,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,7987195,https://play.joystream.org/video/27311,"August 14, 2022 5:29 PM (GMT+1)"
