Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License,Curator,Date,Comment,Mark it [!] if video is good! (Interesting/Quality),If the download speed is slow when viewed / in seconds.
27297,Cube Relay,en,CubeWorld,thecuber,70,148441944,10,Entertainment,1002,original content,Original video for Joystream,"August 11, 2022 10:30 AM (GMT+1)","August 11, 2022 10:30 AM (GMT+1)",https://play.joystream.org/video/27297,0,CC0,prontera,"August 19, 2022",,,
27327,Joystream intro video,en,Mayor's Tee,Mayor Tee #7185,10,8988373,1,Film & Animation,1002,Original video for Joystream,Original video for Joystream,"August 18, 2022 2:38 AM (GMT+1)","August 18, 2022 2:38 AM (GMT+1)",https://play.joystream.org/video/27327,0,CC0,prontera,"August 19, 2022",,,
27324,How to Create a Proposal in Joystream Pioneer,en,Joystream Tutorials by Songoku,songoku,103,15106535,12,Howto & Style,1002,Original video for Joystream,Original video for Joystream,"August 17, 2022 3:17 AM (GMT+1)","August 17, 2022 3:17 AM (GMT+1)",https://play.joystream.org/video/27324,0,CC0,prontera,"August 19, 2022",,,
27323,MTCG Ecosystem 001,en,InfiniteImaginarium,infinteimaginarium,3144,2115149493,10,Entertainment,1002,original content,https://www.youtube.com/watch?v=jxAJSwwqbTE,"August 16, 2022 5:32 PM (GMT+1)","August 16, 2022 5:32 PM (GMT+1)",https://play.joystream.org/video/27323,0,CC0,mmsaww,"August 16, 2022",,,
27326,NFT Redux MoMint,en,SatoriD,infinteimaginarium,440,291518953,10,Entertainment,1002,original content,-,"August 18, 2022 12:19 AM (GMT+1)","August 18, 2022 12:19 AM (GMT+1)",https://play.joystream.org/video/27326,0,CC0,skipper,"August 20, 2022",,,
27329,Martian кошелек Аптос. Как установить,en,PrettyFreak,prettyfreak,128,3916915,13,Education,1002,original content,-,"August 19, 2022 7:49 AM (GMT+1)","August 19, 2022 7:49 AM (GMT+1)",https://play.joystream.org/video/27329,0,CC0,skipper,"August 20, 2022",,,
27330,Метамаск - раширение для браузера. Инструкция по установке,en,PrettyFreak,prettyfreak,152,5870053,13,Education,1002,original content,-,"August 19, 2022 7:55 AM (GMT+1)","August 19, 2022 7:55 AM (GMT+1)",https://play.joystream.org/video/27330,0,CC0,skipper,"August 20, 2022",,,
27331,Let's dance together in WEB3,zh,PEACE AND LOVE,chenbin01,78,9728473,7,Gaming,1002,original content,-,"August 19, 2022 9:04 AM (GMT+1)","August 19, 2022 9:04 AM (GMT+1)",https://play.joystream.org/video/27331,27331,CC0,skipper,"August 20, 2022",,,
27332,How to Cancel NFT Sale,en,Joystream Tutorials by Songoku,songoku,69,38570825,12,Howto & Style,1002,original content,-,"August 19, 2022 11:59 AM (GMT+1)","August 19, 2022 11:59 AM (GMT+1)",https://play.joystream.org/video/27332,0,CC0,skipper,"August 20, 2022",,,
27333,How to Bid to an NFT Sale (Open Type),en,Joystream Tutorials by Songoku,songoku,85,36018750,12,Howto & Style,1002,Original video,Original video for Joystream,"August 20, 2022 6:55 AM (GMT+1)","August 20, 2022 6:55 AM (GMT+1)",https://play.joystream.org/video/27333,0,CC0,Songoku,"August 20, 2022",,,
27334,Cosmic Joystream logo intro,en,PrettyFreak,prettyfreak,17,14080811,10,Entertainment,1002,Original video,Original video for Joystream,"August 20, 2022 9:48 AM (GMT+1)","August 20, 2022 9:48 AM (GMT+1)",https://play.joystream.org/video/27334,0,CC0,Songoku,"August 20, 2022",,,
27335,Joystream intro video,en,PrettyFreak,prettyfreak,5,972439,10,Entertainment,1002,Original video,Original video for Joystream,"August 20, 2022 11:19 AM (GMT+1)","August 20, 2022 11:19 AM (GMT+1)",https://play.joystream.org/video/27335,0,CC0,Songoku,"August 20, 2022",,,
27285,How to Buy an NFT (Fixed Price),en,Joystream Tutorials by Songoku,songoku,100,30644030,12,Howto & Style,1002,Original video,Original video for Joystream,"August 8, 2022 3:52 AM (GMT+1)","August 8, 2022 3:52 AM (GMT+1)",https://play.joystream.org/video/27285,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27328,Can Olaf become a Founding Member?,en,Songoku Channel,songoku,15,4646300,1,Film & Animation,1002,Original video,Original video for Joystream,"August 19, 2022 6:16 AM (GMT+1)","August 19, 2022 6:16 AM (GMT+1)",https://play.joystream.org/video/27328,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27338,ZkLend NFT,en,Content,igormig,8,4653371,1,Film & Animation,1002,Original video,Original video for Joystream,"August 21, 2022 7:26 PM (GMT+1)","August 21, 2022 7:26 PM (GMT+1)",https://play.joystream.org/video/27338,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27339,what is ALEO,en,Content,igormig,30,13555848,13,Education,1002,Original video,Original video for Joystream,"August 21, 2022 7:28 PM (GMT+1)","August 21, 2022 7:28 PM (GMT+1)",https://play.joystream.org/video/27339,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27340,Intro Logo Eco,en,Content,igormig,23,12361172,1,Film & Animation,1002,Original video,Original video for Joystream,"August 21, 2022 7:47 PM (GMT+1)","August 21, 2022 7:47 PM (GMT+1)",https://play.joystream.org/video/27340,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27341,Flux Logo Intro,en,Content,igormig,7,4459915,1,Film & Animation,1002,Original video,Original video for Joystream,"August 21, 2022 7:57 PM (GMT+1)","August 21, 2022 7:57 PM (GMT+1)",https://play.joystream.org/video/27341,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27342,Flux Logo Intro,en,Content,igormig,8,2465142,1,Film & Animation,1002,Original video,Original video for Joystream,"August 21, 2022 8:04 PM (GMT+1)","August 21, 2022 8:04 PM (GMT+1)",https://play.joystream.org/video/27342,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27343,about SubQuery Network,en,Content,igormig,93,50853895,13,Education,1002,Original video,Original video for Joystream,"August 21, 2022 8:14 PM (GMT+1)","August 21, 2022 8:14 PM (GMT+1)",https://play.joystream.org/video/27343,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27344,Future Sound Of London's Iteration w/ Terence McKenna,en,SatoriD,infinteimaginarium,599,400376424,10,Entertainment,1002,Original video,Original video for Joystream,"August 22, 2022 12:27 AM (GMT+1)","August 22, 2022 12:27 AM (GMT+1)",https://play.joystream.org/video/27344,0,CC0,ferdikesh_studio,"August 24, 2022",,,
27345,Футбол турнір3,en,drog,droginfo,207,314256188,5,Sports,1002,Original video,-,"August 22, 2022 7:03 AM (GMT+1)","August 22, 2022 7:03 AM (GMT+1)",https://play.joystream.org/video/27345,0,CC0,skipper,"August 23, 2022",,,
27336,Tortillas de Masa Seca Casera con Verdolagas en el Rancho,es,Las Recetas del Rancho,delranchorecipes,317,206000150,12,Howto & Style,1006,Original video,-,"August 21, 2022 1:24 AM (GMT+1)","August 21, 2022 1:24 AM (GMT+1)",https://play.joystream.org/video/27336,27336,CC_BY_NC,skipper,"August 23, 2022",,,
23458,Pioneer - основные функции.,ru,Top Project,kriptos,114,47012914,14,Science & Technology,1002,Original video,-,"March 28, 2022 11:55 AM (GMT+1)","March 28, 2022 11:55 AM (GMT+1)",https://play.joystream.org/video/23458,0,CC0,skipper,"August 23, 2022",,,
27342,Flux Logo Intro,en,Content,igormig,8,2465142,1,Film & Animation,1002,Original video,-,"August 21, 2022 8:04 PM (GMT+1)","August 21, 2022 8:04 PM (GMT+1)",https://play.joystream.org/video/27342,0,,skipper,"August 24, 2022",,,
27344,Future Sound Of London's Iteration w/ Terence McKenna,en,SatoriD,infinteimaginarium,599,400376424,10,Entertainment,1002,Original video,-,"August 22, 2022 12:27 AM (GMT+1)","August 22, 2022 12:27 AM (GMT+1)",https://play.joystream.org/video/27344,0,,skipper,"August 24, 2022",,,
27346,V0200fg10000cbuedkbc77uc2s2ihp50,zh,Chenbin,chnebin,78,37930470,3,Music,1002,Original video,-,"August 23, 2022 9:30 AM (GMT+1)","August 23, 2022 9:30 AM (GMT+1)",https://play.joystream.org/video/27346,27346,1,skipper,"August 24, 2022",,,
