Title,Category,Category id,Chanel name,Create,Curator,Date,Duration,Id,Language,License,License code,NFT,Original License,Original Link,Owner,Size,URL,Update
How to Change Pioneer Profile Picture,Howto & Style,12,Joystream Tutorials by Songoku,"August 27, 2022 2:35 PM (GMT+1)",ferdikesh_studio,"August 28, 2022",64,27363,en,CC0,1002,0,Original video,Original video for Joystream,songoku,66237467,https://play.joystream.org/video/27363,"August 27, 2022 2:35 PM (GMT+1)"
How to Know Start and End Block of Previous Term,Howto & Style,12,Joystream Tutorials by Songoku,"August 27, 2022 2:40 PM (GMT+1)",ferdikesh_studio,"August 28, 2022",62,27364,en,CC0,1002,0,Original video,Original video for Joystream,songoku,48549127,https://play.joystream.org/video/27364,"August 27, 2022 2:40 PM (GMT+1)"
Trifid Playthrough Clip,Music,3,Eclipsing Binary,"August 24, 2022 3:05 PM (GMT+1)",@kira_skipper,"August 25, 2022",55,27351,en,CC0,1002,0,Original video for Joystream,-,eclipsingbinary,93212127,https://play.joystream.org/video/27351,"August 24, 2022 3:05 PM (GMT+1)"
"Че По Нодам #37 | Sui, Aptos | CryptoLodes.",Science & Technology,14,CryptoLodes.,"August 25, 2022 7:55 AM (GMT+1)",spat_sochi,"August 25, 2022",4989,27359,ru,CC0,1002,0,Creative commons,https://www.youtube.com/watch?v=stBkfdf2HxQ&t=18s,cryptolodes,584618455,https://play.joystream.org/video/27359,"August 25, 2022 7:55 AM (GMT+1)"
short Joystream intro video,Film & Animation,1,Thomas val,"August 30, 2022 12:03 AM (GMT+1)",@kira_skipper,"August 31, 2022",8,27378,en,CC0,1002,0,Original video,Original video for Joystream,ThomasVal,1801754,https://play.joystream.org/video/27378,"August 30, 2022 12:03 AM (GMT+1)"
Axelar yin and yang,Entertainment,10,PrettyFreak,"August 28, 2022 9:04 PM (GMT+1)",@kira_skipper,"August 29, 2022",7,27367,en,CC0,1002,0,Original video,Original video for Joystream,prettyfreak,4983329,https://play.joystream.org/video/27367,"August 28, 2022 9:04 PM (GMT+1)"
HOME DECORATION | IELTS Speaking | Answers and vocabulary,Education,13,Success with IELTS,"August 24, 2022 9:12 PM (GMT+1)",@kira_skipper,"August 25, 2022",832,27353,en,CC0,1002,0,Original video for Joystream,-,vaaanish,1075334893,https://play.joystream.org/video/27353,"August 24, 2022 9:12 PM (GMT+1)"
Eclipsing Binary - Sun Compilation #1,Music,3,Eclipsing Binary,"August 24, 2022 2:50 PM (GMT+1)",spat_sochi,"August 25, 2022",68,27350,en,CC0,1002,0,Original video,-,eclipsingbinary,101475425,https://play.joystream.org/video/27350,"August 24, 2022 2:50 PM (GMT+1)"
How to Bid in an NFT Sale (Open Type),Education,13,MWG Official,"August 24, 2022 4:15 PM (GMT+1)",@kira_skipper,"August 25, 2022",85,27352,en,CC0,1002,0,Original video for Joystream,-,MWG,36018750,https://play.joystream.org/video/27352,"August 24, 2022 4:15 PM (GMT+1)"
Joystrеam,Nonprofits & Activism,15,Vladislav220294,"August 27, 2022 11:02 AM (GMT+1)",ferdikesh_studio,"August 28, 2022",5,27362,en,CC0,1002,0,Original video,Original video for Joystream,vladislav220294,752832,https://play.joystream.org/video/27362,"August 27, 2022 11:02 AM (GMT+1)"
How to Rename a Video,Howto & Style,12,Joystream Tutorials by Songoku,"August 28, 2022 1:41 PM (GMT+1)",@kira_skipper,"August 29, 2022",75,27366,en,CC0,1002,0,Original video,Original video for Joystream,songoku,13679625,https://play.joystream.org/video/27366,"August 28, 2022 1:41 PM (GMT+1)"
"Joystream Intro, копия",Music,3,Helen Studio,"August 29, 2022 6:58 PM (GMT+1)",@kira_skipper,"August 31, 2022",5,27375,en,CC0,1002,0,Original video,Original video for Joystream,Helen4749,355246,https://play.joystream.org/video/27375,"August 29, 2022 6:58 PM (GMT+1)"
Funny,Pets & Animals,4,MoiMoi,"August 24, 2022 4:44 AM (GMT+1)",@kira_skipper,"August 25, 2022",22,27348,en,CC0,1002,27348,Original video for Joystream,-,kukukila,1280210,https://play.joystream.org/video/27348,"August 24, 2022 4:44 AM (GMT+1)"
Moonbeam Network,Entertainment,10,PrettyFreak,"August 13, 2022 7:57 PM (GMT+1)",@kira_skipper,"August 25, 2022",15,27304,en,CC0,1002,0,Original video for Joystream,-,prettyfreak,6666673,https://play.joystream.org/video/27304,"August 13, 2022 7:57 PM (GMT+1)"
"Proof-of-Narnian, NFT и крипто рынок с Sergey (ICO Drops)",People & Blogs,8,CryptoLodes.,"August 25, 2022 7:43 AM (GMT+1)",spat_sochi,"August 25, 2022",7023,27357,ru,CC0,1002,0,Creative commons,https://www.youtube.com/watch?v=cyt2r0PF1rg,cryptolodes,133921746,https://play.joystream.org/video/27357,"August 25, 2022 7:43 AM (GMT+1)"
How to Cancel an NFT Sale,Education,13,MWG Official,"August 25, 2022 1:44 AM (GMT+1)",spat_sochi,"August 25, 2022",69,27355,en,CC0,1002,0,Original video for Joystream,-,MWG,38570825,https://play.joystream.org/video/27355,"August 25, 2022 1:44 AM (GMT+1)"
How to Bid to an NFT Sale (Open Type),Howto & Style,12,Joystream Tutorials by Songoku,"August 20, 2022 6:55 AM (GMT+1)",spat_sochi,"August 25, 2022",85,27333,en,CC0,1002,0,Original video for Joystream,-,songoku,36018750,https://play.joystream.org/video/27333,"August 20, 2022 6:55 AM (GMT+1)"
Joystream intro video by PrettyFreak (bounty work),Entertainment,10,PrettyFreak,"August 29, 2022 8:50 PM (GMT+1)",@kira_skipper,"August 31, 2022",5,27376,en,CC0,1002,0,Original video,Original video for Joystream,prettyfreak,5435876,https://play.joystream.org/video/27376,"August 29, 2022 8:50 PM (GMT+1)"
Eclipsing Binary Collab Guitar Solo,Music,3,Eclipsing Binary,"August 29, 2022 6:36 PM (GMT+1)",@kira_skipper,"August 31, 2022",21,27374,en,CC0,1002,0,Original video,Original video for Joystream,eclipsingbinary,39377957,https://play.joystream.org/video/27374,"August 29, 2022 6:36 PM (GMT+1)"
Sneakers Coloring Book and Learn Colors,Entertainment,10,PrettyFreak,"August 28, 2022 9:13 PM (GMT+1)",@kira_skipper,"August 29, 2022",455,27370,en,CC0,1002,0,Original video,Original video for Joystream,prettyfreak,85401609,https://play.joystream.org/video/27370,"August 28, 2022 9:13 PM (GMT+1)"
Coloring Pages Easter Eggs,Entertainment,10,PrettyFreak,"August 28, 2022 9:15 PM (GMT+1)",@kira_skipper,"August 29, 2022",668,27371,en,CC0,1002,0,Original video,Original video for Joystream,prettyfreak,109776563,https://play.joystream.org/video/27371,"August 28, 2022 9:15 PM (GMT+1)"
Inadvertidamente enamorados - Episodio 1,Film & Animation,1,ZuvaTV,"August 25, 2022 1:25 AM (GMT+1)",spat_sochi,"August 25, 2022",1468,27354,es,CC0,1002,0,Standart youtube license,-,fafranz,1485647773,https://play.joystream.org/video/27354,"August 25, 2022 1:25 AM (GMT+1)"
Be Positive!,People & Blogs,8,Songoku Channel,"August 3, 2022 5:30 AM (GMT+1)",@kira_skipper,"August 29, 2022",10,27258,en,CC0,1002,0,Original video,Original video for Joystream,songoku,10656626,https://play.joystream.org/video/27258,"August 3, 2022 5:30 AM (GMT+1)"
Bounty contribution - Create Joystream Short Intro Video,Howto & Style,12,ninjafire,"August 25, 2022 7:54 PM (GMT+1)",spat_sochi,"August 25, 2022",5,27360,en,CC0,1002,0,Original video for Joystream,-,ninjafire,3130397,https://play.joystream.org/video/27360,"August 25, 2022 7:54 PM (GMT+1)"
Че По Космосу #20 | CryptoLodes.,Science & Technology,14,CryptoLodes.,"August 25, 2022 7:45 AM (GMT+1)",spat_sochi,"August 25, 2022",3332,27358,ru,CC0,1002,0,Creative commons,https://www.youtube.com/watch?v=cJN_Q_G8fCc,cryptolodes,252378980,https://play.joystream.org/video/27358,"August 25, 2022 7:45 AM (GMT+1)"
Joystream DAO is owned and governed by its token holders,Science & Technology,14,MWG Official,"July 6, 2022 6:41 PM (GMT+1)",@kira_skipper,"August 25, 2022",369,26976,en,CC0,1002,0,Original video for Joystream,-,MWG,114393911,https://play.joystream.org/video/26976,"July 6, 2022 6:41 PM (GMT+1)"
Axelar short intro,Entertainment,10,PrettyFreak,"August 28, 2022 9:06 PM (GMT+1)",@kira_skipper,"August 29, 2022",7,27368,en,CC0,1002,0,Original video,Original video for Joystream,prettyfreak,16342535,https://play.joystream.org/video/27368,"August 28, 2022 9:06 PM (GMT+1)"
How to Verify Founding Member Status?,Science & Technology,14,MWG Official,"August 24, 2022 4:54 AM (GMT+1)",@kira_skipper,"August 25, 2022",102,27349,en,CC0,1002,0,Original video for Joystream,-,MWG,22006047,https://play.joystream.org/video/27349,"August 24, 2022 4:54 AM (GMT+1)"
Create proposal,Education,13,MWG Official,"August 25, 2022 1:50 AM (GMT+1)",spat_sochi,"August 25, 2022",103,27356,en,CC0,1002,0,Original video for Joystream,-,MWG,15106535,https://play.joystream.org/video/27356,"August 25, 2022 1:50 AM (GMT+1)"
This Connected Web That is Forming,Entertainment,10,InfiniteImaginarium,"August 25, 2022 11:10 PM (GMT+1)",spat_sochi,"August 25, 2022",799,27361,en,CC0,1002,0,Original video,-,infinteimaginarium,535055834,https://play.joystream.org/video/27361,"August 25, 2022 11:10 PM (GMT+1)"
Decoding the Wyrd with Curry,Entertainment,10,SatoriD,"August 24, 2022 4:41 AM (GMT+1)",spat_sochi,"August 25, 2022",916,27347,en,CC0,1002,0,Original video,-,infinteimaginarium,616123243,https://play.joystream.org/video/27347,"August 24, 2022 4:41 AM (GMT+1)"
