Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Creating A Card (Monkey Business),Howto & Style,12,#MindsGaming,,"September 5, 2022 12:21 AM (GMT+1)",Songoku,"September 4, 2022",282,27447,,en,CC0,1002,,1,original video for Joystream,-,mindsgaming,279969118,https://play.joystream.org/video/27447,"September 5, 2022 12:21 AM (GMT+1)"
Как получить роли в Дискорд Арбитрум,Education,13,PrettyFreak,,"September 4, 2022 7:34 PM (GMT+1)",Songoku,"September 4, 2022",530,27438,,en,CC0,1002,,0,original video for Joystream,-,prettyfreak,40334144,https://play.joystream.org/video/27438,"September 4, 2022 7:34 PM (GMT+1)"
Manta Network intro logo,Film & Animation,1,Content,,"September 4, 2022 6:28 PM (GMT+1)",Songoku,"September 4, 2022",7,27436,,en,CC0,1002,,0,original video for Joystream,-,igormig,21885551,https://play.joystream.org/video/27436,"September 4, 2022 6:28 PM (GMT+1)"
My Tutorial Video,Education,13,MyTutorials Channel,,"September 3, 2022 12:11 AM (GMT+1)",spat_sochi,"September 2, 2022",11,27411,,en,CC0,1002,,0,original video,not found,JoyTutorial,37107572,https://play.joystream.org/video/27411,"September 3, 2022 12:11 AM (GMT+1)"
asda,Music,3,crypto channel,The same video with : https://play.joystream.org/video/27456,"September 6, 2022 12:19 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",16,27457,,en,CC0,1002,,0,Stock Video,,member,5598457,https://play.joystream.org/video/27457,"September 6, 2022 12:19 PM (GMT+1)"
Joystream Community Call #16,Science & Technology,14,SwarGo,,"September 4, 2022 1:00 PM (GMT+1)",Songoku,"September 4, 2022",3576,27429,,ru,CC0,1002,,0,original video for Joystream,-,swargo,2873979972,https://play.joystream.org/video/27429,"September 4, 2022 1:00 PM (GMT+1)"
What is joystream and atlas?,Science & Technology,14,MWG Official,,"August 31, 2022 3:34 AM (GMT+1)",_e9orov_,"September 5, 2022",310,27386,,en,CC0,1002,,0,original video for Joystream,-,MWG,96278638,https://play.joystream.org/video/27386,"August 31, 2022 3:34 AM (GMT+1)"
How Joystream as a platform can gain adoption?,Science & Technology,14,MWG Official,,"September 6, 2022 2:35 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",854,27469,,en,CC0,1002,,0,original video for Joystream,-,MWG,861002928,https://play.joystream.org/video/27469,"September 6, 2022 2:35 PM (GMT+1)"
How to Auction your NFT on Atlas,Science & Technology,14,MWG Official,,"September 3, 2022 2:01 PM (GMT+1)",prontera,"September 6, 2022",104,27414,,en,CC0,1002,,0,original video for Joystream,-,MWG,52269012,https://play.joystream.org/video/27414,"September 3, 2022 2:01 PM (GMT+1)"
"Proof-of-Narnian, NFT и крипто рынок с Sergey (ICO Drops)",People & Blogs,8,CryptoLodes.,,"August 25, 2022 7:43 AM (GMT+1)",,,7023,27357,,ru,CC0,1002,,0,,,cryptolodes,133921746,https://play.joystream.org/video/27357,"August 25, 2022 7:43 AM (GMT+1)"
