Title,Employee ID,Employee's name,Property,Property 1
Employee ID:,16,24,,
Worker id,5,1,6,
Member id,2228,1843,,
Employee's name:,"@Kira_skipper ","@spat_sochi ","@Prontera ","@Арсений Степаненко "
Discord handle:,Skipper#0353,spat\_sochi#8803,prontera#3425,Arseniy#3225
Stake:,1.0000 MJOY,100.0000 kJOY,2.0000 kJOY,100.0000 kJOY
Total video verified:,A general overview of the group's work.,14,20,0
Duplicates detected:,1,-,-,
Incorrect licenses found:,-,-,-,
Found unplayable videos:,-,-,-,
Performance:,100%,100%,100%,????????
