Title,Property,Employee ID,Employee's name,Property 1
Member id,,2228,1843,
Performance:,????????,100%,100%,100%
Discord handle:,Arseniy#3225,Skipper#0353,spat\_sochi#8803,prontera#3425
Worker id,,5,1,6
Stake:,100.0000 kJOY,1.0000 MJOY,100.0000 kJOY,2.0000 kJOY
Found unplayable videos:,,-,-,-
Employee's name:,"@Арсений Степаненко ","@Kira_skipper ","@spat_sochi ","@Prontera "
Incorrect licenses found:,,-,-,-
Total video verified:,0,A general overview of the group's work.,14,20
Employee ID:,,16,24,
Duplicates detected:,,1,-,-
