Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,License,Curator,Date,Comment,NFT,Mark it [!] if video is good! (Interesting/Quality),If the download speed is slow when viewed / in seconds.
26825,Como Hacer Salsa de Tamarindo |Especial Para Pescado y Maris,es,Las Recetas del Rancho,delranchorecipes,292,18355450,12,Howto & Style,1006,Original video for Joystream,-,"June 6, 2022 9:05 PM (GMT+1)","June 6, 2022 9:05 PM (GMT+1)",https://play.joystream.org/video/26825,CC_BY_NC,prontera,"June 8, 2022",,,,
26826,Como Hacer Aceite de Chile Chino |Chinese Chili Oil|,es,Las Recetas del Rancho,delranchorecipes,231,15796564,12,Howto & Style,1007,Original video for Joystream,-,"June 6, 2022 9:31 PM (GMT+1)","June 6, 2022 9:31 PM (GMT+1)",https://play.joystream.org/video/26826,CC_BY_NC_SA,prontera,"June 8, 2022",,,,
26827,Lost Aztec Codex and Patterns Within,en,SatoriD,infinteimaginarium,422,283770225,10,Entertainment,1002,Original video for Joystream,-,"June 6, 2022 10:27 PM (GMT+1)","June 6, 2022 10:27 PM (GMT+1)",https://play.joystream.org/video/26827,CC0,prontera,"June 8, 2022",,,,
26828,Че По Космосу #11 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,6314,748039691,13,Education,1002,Original video for Joystream,-,"June 7, 2022 10:46 PM (GMT+1)","June 7, 2022 10:46 PM (GMT+1)",https://play.joystream.org/video/26828,CC0,skipper,"June 8, 2022",,,!,
26829,Happy24 Club,en,Happy24Club,man,21,48510658,8,People & Blogs,1002,Stock video,https://www.youtube.com/channel/UC3PL8FtJojmo72ZCsuVSz5Q/featured,"June 8, 2022 7:21 AM (GMT+1)","June 8, 2022 7:21 AM (GMT+1)",https://play.joystream.org/video/26829,CC0,prontera,"June 8, 2022",,,,
26830,Creator Tokens: First Look,en,Joystream Official,joystream,1401,582406537,12,Howto & Style,1002,Original video for Joystream,-,"June 8, 2022 10:30 AM (GMT+1)","June 8, 2022 10:30 AM (GMT+1)",https://play.joystream.org/video/26830,CC0,prontera,"June 8, 2022",,,,
26831,How counfident are you that the people who are in and who wi,en,MWG Official,MWG,438,25934444,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:41 AM (GMT+1)","June 8, 2022 11:41 AM (GMT+1)",https://play.joystream.org/video/26831,CC0,prontera,"June 8, 2022",,,,
26832,I really look forward to seeing creator programs and therefo,en,MWG Official,MWG,203,10474889,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:42 AM (GMT+1)","June 8, 2022 11:42 AM (GMT+1)",https://play.joystream.org/video/26832,CC0,prontera,"June 8, 2022",,,,
26833,Is it still the case that there will be guaranteed allocatoi,en,MWG Official,MWG,123,5617020,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:43 AM (GMT+1)","June 8, 2022 11:43 AM (GMT+1)",https://play.joystream.org/video/26833,CC0,prontera,"June 8, 2022",,,,
26835,What are the most interesting DAO projects that are curently,en,MWG Official,MWG,363,19443167,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:45 AM (GMT+1)","June 8, 2022 11:45 AM (GMT+1)",https://play.joystream.org/video/26835,CC0,prontera,"June 8, 2022",,,,
26836,What should be the key goals for Joystream to be self-evolvi,en,MWG Official,MWG,164,6504686,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:46 AM (GMT+1)","June 8, 2022 11:46 AM (GMT+1)",https://play.joystream.org/video/26836,CC0,prontera,"June 8, 2022",,,,
26837,when is the full release of the project planned to the netwo,en,MWG Official,MWG,159,6725397,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:47 AM (GMT+1)","June 8, 2022 11:47 AM (GMT+1)",https://play.joystream.org/video/26837,CC0,prontera,"June 8, 2022",,,,
26838,Who do you thinkis your ideal user ideal user,en,MWG Official,MWG,157,6336981,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:50 AM (GMT+1)","June 8, 2022 11:50 AM (GMT+1)",https://play.joystream.org/video/26838,CC0,prontera,"June 8, 2022",,,,
26839,Will there be new updated Joystream whitepaper,en,MWG Official,MWG,345,18225803,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:51 AM (GMT+1)","June 8, 2022 11:51 AM (GMT+1)",https://play.joystream.org/video/26839,CC0,prontera,"June 8, 2022",,,,
26840,Marketing like tweets used to not count for FM points,en,MWG Official,MWG,368,22793413,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:53 AM (GMT+1)","June 8, 2022 11:53 AM (GMT+1)",https://play.joystream.org/video/26840,CC0,prontera,"June 8, 2022",,,,
26841,about public rounds,en,MWG Official,MWG,46,3146544,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:55 AM (GMT+1)","June 8, 2022 11:55 AM (GMT+1)",https://play.joystream.org/video/26841,CC0,prontera,"June 8, 2022",,,,
26842,for which a system of points is created,en,MWG Official,MWG,119,8865805,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:56 AM (GMT+1)","June 8, 2022 11:56 AM (GMT+1)",https://play.joystream.org/video/26842,CC0,prontera,"June 8, 2022",,,,
26843,News from Ben,en,MWG Official,MWG,62,4038548,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:57 AM (GMT+1)","June 8, 2022 11:57 AM (GMT+1)",https://play.joystream.org/video/26843,CC0,prontera,"June 8, 2022",,,,
26844,"to be honest, but all over the crypto world, early test netw",en,MWG Official,MWG,30,2049346,14,Science & Technology,1002,Original video for Joystream,-,"June 8, 2022 11:58 AM (GMT+1)","June 8, 2022 11:58 AM (GMT+1)",https://play.joystream.org/video/26844,CC0,prontera,"June 8, 2022",,,,
26845,TH Intro (13s draft),en,MrKubu,mrkubu,14,5271694,1,Film & Animation,1002,-,-,"June 8, 2022 3:55 PM (GMT+1)","June 8, 2022 3:55 PM (GMT+1)",https://play.joystream.org/video/26845,CC0,prontera,"June 8, 2022",Stock video,,,
26846,JS_GL1,en,onlyMoments,ohnrne,14,5076008,8,People & Blogs,1002,Original video for Joystream,-,"June 8, 2022 8:08 PM (GMT+1)","June 8, 2022 8:08 PM (GMT+1)",https://play.joystream.org/video/26846,CC0,@spat_sochi,"June 8, 2022",,,!,
26847,JS_GL2,en,onlyMoments,ohnrne,15,4979745,8,People & Blogs,1002,Original video for Joystream,-,"June 8, 2022 8:09 PM (GMT+1)","June 8, 2022 8:09 PM (GMT+1)",https://play.joystream.org/video/26847,CC0,@spat_sochi,"June 8, 2022",,,,
26849,Exploring Together Performative Metabolism!,en,InfiniteImaginarium,infinteimaginarium,2716,1723508428,10,Entertainment,1002,standart YouTube license,https://www.youtube.com/watch?v=PQ2FjjaYQ6c,"June 8, 2022 9:33 PM (GMT+1)","June 8, 2022 9:33 PM (GMT+1)",https://play.joystream.org/video/26849,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,,
26850,The Gamification Of Minds,en,TheMindsUnderground,infinteimaginarium,1793,399719750,10,Entertainment,1002,standart YouTube license,https://www.youtube.com/watch?v=tb6mWCIg1eI,"June 8, 2022 10:49 PM (GMT+1)","June 8, 2022 10:49 PM (GMT+1)",https://play.joystream.org/video/26850,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,!,
26848,Че По Нодам #27 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,3355,395361465,14,Science & Technology,1002,standart YouTube license,https://www.youtube.com/watch?v=c3S2zjNfpDk,"June 8, 2022 8:23 PM (GMT+1)","June 8, 2022 8:23 PM (GMT+1)",https://play.joystream.org/video/26848,CC0,@spat_sochi,"June 8, 2022",original video; Author verified,,!,
