Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
"to be honest, but all over the crypto world, early test netw",Science & Technology,14,MWG Official,,"June 8, 2022 11:58 AM (GMT+1)",prontera,"June 8, 2022",30,26844,,en,CC0,1002,,,Original video for Joystream,-,MWG,2049346,https://play.joystream.org/video/26844,"June 8, 2022 11:58 AM (GMT+1)"
Huevos Rancheros,Howto & Style,12,Las Recetas del Rancho,,"June 9, 2022 1:03 AM (GMT+1)",@spat_sochi,"June 9, 2022",119,26851,,es,CC_BY_NC_SA,1007,!,!,original video,-,delranchorecipes,80630344,https://play.joystream.org/video/26851,"June 9, 2022 1:03 AM (GMT+1)"
We Can All Have This Infinite Game,Entertainment,10,SatoriD,original video,"June 9, 2022 5:43 PM (GMT+1)",@spat_sochi,"June 9, 2022",372,26853,,en,CC0,1002,!,,standart YouTube license,https://www.youtube.com/watch?v=oWi4VZGBObA,infinteimaginarium,249712619,https://play.joystream.org/video/26853,"June 9, 2022 5:43 PM (GMT+1)"
Como Hacer Salsa de Tamarindo |Especial Para Pescado y Maris,Howto & Style,12,Las Recetas del Rancho,,"June 6, 2022 9:05 PM (GMT+1)",prontera,"June 8, 2022",292,26825,,es,CC_BY_NC,1006,,,Original video for Joystream,-,delranchorecipes,18355450,https://play.joystream.org/video/26825,"June 6, 2022 9:05 PM (GMT+1)"
Lost Aztec Codex and Patterns Within,Entertainment,10,SatoriD,,"June 6, 2022 10:27 PM (GMT+1)",prontera,"June 8, 2022",422,26827,,en,CC0,1002,,,Original video for Joystream,-,infinteimaginarium,283770225,https://play.joystream.org/video/26827,"June 6, 2022 10:27 PM (GMT+1)"
I really look forward to seeing creator programs and therefo,Science & Technology,14,MWG Official,,"June 8, 2022 11:42 AM (GMT+1)",prontera,"June 8, 2022",203,26832,,en,CC0,1002,,,Original video for Joystream,-,MWG,10474889,https://play.joystream.org/video/26832,"June 8, 2022 11:42 AM (GMT+1)"
Exploring Together Performative Metabolism!,Entertainment,10,InfiniteImaginarium,original video; Author verified,"June 8, 2022 9:33 PM (GMT+1)",@spat_sochi,"June 8, 2022",2716,26849,,en,CC0,1002,,,standart YouTube license,https://www.youtube.com/watch?v=PQ2FjjaYQ6c,infinteimaginarium,1723508428,https://play.joystream.org/video/26849,"June 8, 2022 9:33 PM (GMT+1)"
Че По Космосу #11 | CryptoLodes.,Education,13,CryptoLodes.,,"June 7, 2022 10:46 PM (GMT+1)",skipper,"June 8, 2022",6314,26828,,ru,CC0,1002,!,,Original video for Joystream,-,cryptolodes,748039691,https://play.joystream.org/video/26828,"June 7, 2022 10:46 PM (GMT+1)"
when is the full release of the project planned to the netwo,Science & Technology,14,MWG Official,,"June 8, 2022 11:47 AM (GMT+1)",prontera,"June 8, 2022",159,26837,,en,CC0,1002,,,Original video for Joystream,-,MWG,6725397,https://play.joystream.org/video/26837,"June 8, 2022 11:47 AM (GMT+1)"
Sea of Clouds,Travel & Events,6,ferdikesh_studio,,"June 10, 2022 7:05 PM (GMT+1)",@spat_sochi,"June 10, 2022",53,26857,,en,CC0,1002,,,original video,-,ferdikesh_studio,9720724,https://play.joystream.org/video/26857,"June 10, 2022 7:05 PM (GMT+1)"
Ink in the Water,Science & Technology,14,ferdikesh_studio,,"June 10, 2022 7:01 PM (GMT+1)",@spat_sochi,"June 10, 2022",59,26856,,en,CC0,1002,!,!,original video,-,ferdikesh_studio,17777970,https://play.joystream.org/video/26856,"June 10, 2022 7:01 PM (GMT+1)"
Че По Нодам #27 | CryptoLodes.,Science & Technology,14,CryptoLodes.,original video; Author verified,"June 8, 2022 8:23 PM (GMT+1)",@spat_sochi,"June 8, 2022",3355,26848,,ru,CC0,1002,!,,standart YouTube license,https://www.youtube.com/watch?v=c3S2zjNfpDk,cryptolodes,395361465,https://play.joystream.org/video/26848,"June 8, 2022 8:23 PM (GMT+1)"
