Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License
26899,Arroz Rojo Perfecto y Sin Sabores Artificiales,es,Las Recetas del Rancho,delranchorecipes,283,188355929,12,Howto & Style,1007,standart YouTube license,https://www.youtube.com/watch?v=FkIsoO-GYA8,"June 20, 2022 3:10 AM (GMT+1)","June 20, 2022 3:10 AM (GMT+1)",https://play.joystream.org/video/26899,1,CC_BY_NC_SA
26900,Guide on how to exchange your coins tJoy in bsh,en,MWG Official,MWG,193,122334449,13,Education,1002,Original video for JoyStream,Original video for JoyStream,"June 20, 2022 8:31 AM (GMT+1)","June 20, 2022 8:31 AM (GMT+1)",https://play.joystream.org/video/26900,0,CC0
26919,Joystream is now a representative democracy,en,MWG Official,MWG,216,80940072,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 12:53 PM (GMT+1)","June 22, 2022 12:53 PM (GMT+1)",https://play.joystream.org/video/26919,0,CC0
26920,Waht would you say is a probability of critical runtime bug,en,MWG Official,MWG,369,158042621,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 12:54 PM (GMT+1)","June 22, 2022 12:54 PM (GMT+1)",https://play.joystream.org/video/26920,0,CC0
26921,"Will Atlas support the ability to gift,send NFTS",en,MWG Official,MWG,58,24089171,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 12:55 PM (GMT+1)","June 22, 2022 12:55 PM (GMT+1)",https://play.joystream.org/video/26921,0,CC0
26922,Creator Tokens Update: Owner & Issuer,en,Joystream Official,joystream,1734,767353413,13,Education,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 1:54 PM (GMT+1)","June 22, 2022 1:54 PM (GMT+1)",https://play.joystream.org/video/26922,0,CC0
26923,Смарт-контракты и не Web3 кошельки. CEO Citadel.one,ru,CryptoLodes.,cryptolodes,4411,648019141,14,Science & Technology,1002,standart YouTube license,https://www.youtube.com/watch?v=JlDU8JyT-h0,"June 22, 2022 3:15 PM (GMT+1)","June 22, 2022 3:15 PM (GMT+1)",https://play.joystream.org/video/26923,0,CC0
26924,PSKYJECT new normal,en,PSKYROOM,perisky,107,69277538,3,Music,1002,standart YouTube license,https://www.youtube.com/watch?v=bokuXH6II7k,"June 22, 2022 5:06 PM (GMT+1)","June 22, 2022 5:06 PM (GMT+1)",https://play.joystream.org/video/26924,0,CC0
26903,Activity prioritizing,en,MWG Official,MWG,151,61940542,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 11:57 AM (GMT+1)","June 22, 2022 11:57 AM (GMT+1)",https://play.joystream.org/video/26903,0,CC0
26905,Are you planning collaborate wirh MoonRiver,en,MWG Official,MWG,47,22377736,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 12:23 PM (GMT+1)","June 22, 2022 12:23 PM (GMT+1)",https://play.joystream.org/video/26905,0,CC0
26907,Detalis of the latest funding round,en,MWG Official,MWG,124,55660651,14,Science & Technology,1002,Original video for JoyStream,Original video for JoyStream,"June 22, 2022 12:25 PM (GMT+1)","June 22, 2022 12:25 PM (GMT+1)",https://play.joystream.org/video/26907,0,CC0
