Title,Category,Category id,Chanel name,Create,Duration,Id,Language,License,License code,NFT,Original License,Original Link,Owner,Size,URL,Update
Joystream is now a representative democracy,Science & Technology,14,MWG Official,"June 22, 2022 12:53 PM (GMT+1)",216,26919,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,80940072,https://play.joystream.org/video/26919,"June 22, 2022 12:53 PM (GMT+1)"
Bedeho mentioned that without gateway providers,Science & Technology,14,MWG Official,"June 22, 2022 12:26 PM (GMT+1)",156,26908,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,69776227,https://play.joystream.org/video/26908,"June 22, 2022 12:26 PM (GMT+1)"
What do you need to know about rewards? $JOY and $tJOY,Science & Technology,14,No Name Chanel,"June 24, 2022 10:52 AM (GMT+1)",60,26929,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,np900,2700228,https://play.joystream.org/video/26929,"June 24, 2022 10:52 AM (GMT+1)"
Смарт-контракты и не Web3 кошельки. CEO Citadel.one,Science & Technology,14,CryptoLodes.,"June 22, 2022 3:15 PM (GMT+1)",4411,26923,ru,CC0,1002,0,standart YouTube license,https://www.youtube.com/watch?v=JlDU8JyT-h0,cryptolodes,648019141,https://play.joystream.org/video/26923,"June 22, 2022 3:15 PM (GMT+1)"
How are things with the audit,Science & Technology,14,MWG Official,"June 22, 2022 12:51 PM (GMT+1)",97,26917,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,37539847,https://play.joystream.org/video/26917,"June 22, 2022 12:51 PM (GMT+1)"
Creator Tokens Update: Owner & Issuer,Education,13,Joystream Official,"June 22, 2022 1:54 PM (GMT+1)",1734,26922,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,joystream,767353413,https://play.joystream.org/video/26922,"June 22, 2022 1:54 PM (GMT+1)"
Detalis of the latest funding round,Science & Technology,14,MWG Official,"June 22, 2022 12:25 PM (GMT+1)",124,26907,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,55660651,https://play.joystream.org/video/26907,"June 22, 2022 12:25 PM (GMT+1)"
How are we plannung to go into mainnet with this limited,Science & Technology,14,MWG Official,"June 22, 2022 12:52 PM (GMT+1)",296,26918,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,107547540,https://play.joystream.org/video/26918,"June 22, 2022 12:52 PM (GMT+1)"
"Will Atlas support the ability to gift,send NFTS",Science & Technology,14,MWG Official,"June 22, 2022 12:55 PM (GMT+1)",58,26921,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,24089171,https://play.joystream.org/video/26921,"June 22, 2022 12:55 PM (GMT+1)"
When developing the Atlas Roadmap,Science & Technology,14,MWG Official,"June 22, 2022 12:30 PM (GMT+1)",174,26912,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,77048661,https://play.joystream.org/video/26912,"June 22, 2022 12:30 PM (GMT+1)"
I want to invest fiat money in the project,Science & Technology,14,MWG Official,"June 22, 2022 12:30 PM (GMT+1)",96,26911,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,43441776,https://play.joystream.org/video/26911,"June 22, 2022 12:30 PM (GMT+1)"
Collective Poetic Expression #1,Entertainment,10,TheMindsUnderground,"June 22, 2022 3:09 AM (GMT+1)",155,26901,en,CC0,1002,0,standart YouTube license,https://www.youtube.com/watch?v=4CZ0UNycGQw,infinteimaginarium,33291762,https://play.joystream.org/video/26901,"June 22, 2022 3:09 AM (GMT+1)"
Че По Нодам #29 | CryptoLodes.,Science & Technology,14,CryptoLodes.,"June 22, 2022 10:00 PM (GMT+1)",4743,26925,ru,CC0,1002,0,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=bll-goOGHKY,cryptolodes,556848339,https://play.joystream.org/video/26925,"June 22, 2022 10:00 PM (GMT+1)"
"Will there be a lock , vesting of tokens tgat FM will receiv",Science & Technology,14,MWG Official,"June 22, 2022 12:33 PM (GMT+1)",191,26914,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,83779614,https://play.joystream.org/video/26914,"June 22, 2022 12:33 PM (GMT+1)"
Whyis the project not being prometed by Genesis,Science & Technology,14,MWG Official,"June 22, 2022 12:32 PM (GMT+1)",200,26913,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,85255210,https://play.joystream.org/video/26913,"June 22, 2022 12:32 PM (GMT+1)"
PSKYJECT new normal,Music,3,PSKYROOM,"June 22, 2022 5:06 PM (GMT+1)",107,26924,en,CC0,1002,0,standart YouTube license,https://www.youtube.com/watch?v=bokuXH6II7k,perisky,69277538,https://play.joystream.org/video/26924,"June 22, 2022 5:06 PM (GMT+1)"
"Про финансы, реальную экономику, CBDC и их влияние на крипту",Education,13,CryptoLodes.,"June 23, 2022 9:57 PM (GMT+1)",5245,26927,ru,CC0,1002,0,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=vQ9diVrTy7w,cryptolodes,613462839,https://play.joystream.org/video/26927,"June 23, 2022 9:57 PM (GMT+1)"
Walking in Tiles,Howto & Style,12,Songoku Channel,"June 24, 2022 5:06 AM (GMT+1)",8,26928,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,songoku,18740477,https://play.joystream.org/video/26928,"June 24, 2022 5:06 AM (GMT+1)"
Guide on how to exchange your coins tJoy in bsh,Education,13,MWG Official,"June 20, 2022 8:31 AM (GMT+1)",193,26900,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,122334449,https://play.joystream.org/video/26900,"June 20, 2022 8:31 AM (GMT+1)"
Waht would you say is a probability of critical runtime bug,Science & Technology,14,MWG Official,"June 22, 2022 12:54 PM (GMT+1)",369,26920,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,158042621,https://play.joystream.org/video/26920,"June 22, 2022 12:54 PM (GMT+1)"
Is the migration of data from the Sumer netwoek plannet,Science & Technology,14,MWG Official,"June 22, 2022 12:28 PM (GMT+1)",234,26910,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,98166029,https://play.joystream.org/video/26910,"June 22, 2022 12:28 PM (GMT+1)"
Are you planning collaborate wirh MoonRiver,Science & Technology,14,MWG Official,"June 22, 2022 12:23 PM (GMT+1)",47,26905,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,22377736,https://play.joystream.org/video/26905,"June 22, 2022 12:23 PM (GMT+1)"
Answers and vocabulary for TALENTS | IELTS Speaking Part 1,Education,13,Success with IELTS,"June 23, 2022 7:48 AM (GMT+1)",849,26926,en,CC0,1002,0,standart YouTube license,https://www.youtube.com/watch?v=TJAubsf42Hk,vaaanish,1094655464,https://play.joystream.org/video/26926,"June 23, 2022 7:48 AM (GMT+1)"
Arroz Rojo Perfecto y Sin Sabores Artificiales,Howto & Style,12,Las Recetas del Rancho,"June 20, 2022 3:10 AM (GMT+1)",283,26899,es,CC_BY_NC_SA,1007,1,standart YouTube license,https://www.youtube.com/watch?v=FkIsoO-GYA8,delranchorecipes,188355929,https://play.joystream.org/video/26899,"June 20, 2022 3:10 AM (GMT+1)"
Activity prioritizing,Science & Technology,14,MWG Official,"June 22, 2022 11:57 AM (GMT+1)",151,26903,en,CC0,1002,0,Original video for JoyStream,Original video for JoyStream,MWG,61940542,https://play.joystream.org/video/26903,"June 22, 2022 11:57 AM (GMT+1)"
Announcing candidacy bug,Education,13,Eclipsing Binary,"June 25, 2022",104,26931,en,CC0,1002,,Original video for JoyStream,Original video for JoyStream,eclipsingbinary,10008649,https://play.joystream.org/video/26931,"June 25, 2022"
Terizla Gameplay - Mobile Legends,Gaming,7,Songoku Channel,"June 26, 2022",246,26932,en,CC0,1002,,Original video for JoyStream,Original video for JoyStream,songoku,238775482,https://play.joystream.org/video/26932,"June 26, 2022"
,,,,,,,,,,,,,,,,
