Title,Category,Category id,Chanel name,Create,Duration,Id,Language,License,License code,NFT,Original License,Original Link,Owner,Size,URL,Update
Frambor from barley cob,Howto & Style,12,Frambor voice,,16,26944,en,CC0,1002,26944,,No video,frambor,24069292,https://play.joystream.org/video/26944,
Pure Nature,Travel & Events,6,ferdikesh_studio,,50,26934,en,CC0,1002,26932,,stock video,ferdikesh_studio,25624820,https://play.joystream.org/video/26934,
forest and fog,Travel & Events,6,test_hsn,,59,26939,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,tes_hsn,22478887,https://play.joystream.org/video/26939,
How to Vote in Council Elections,Howto & Style,12,Joystream Tutorials by Songoku,,48,26938,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,12452603,https://play.joystream.org/video/26938,
@ Mainnet Day,People & Blogs,8,ISO 400,,59,26952,en,CC0,1002,26952,Original video for JoyStream,Original Video for Joystream,isonar,4843867,https://play.joystream.org/video/26952,
Answers and vocabulary for EVENING TIME | IELTS Speaking P1,Education,13,Success with IELTS,,847,26943,en,CC0,1002,,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=dnlsjlZKf2w,vaaanish,1091316958,https://play.joystream.org/video/26943,
Че По Нодам #30 | CryptoLodes.,Science & Technology,14,CryptoLodes.,,5589,26953,ru,CC0,1002,,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=zwAGJZcasII,cryptolodes,4185264627,https://play.joystream.org/video/26953,
Stars,Film & Animation,1,ferdikesh_studio,,40,26937,en,CC0,1002,26937,,stock video,ferdikesh_studio,29647288,https://play.joystream.org/video/26937,
Editing a title,Travel & Events,6,Test channel name,,19,26947,en,,1000,,,stock video,toiletgranny,6234342,https://play.joystream.org/video/26947,
Че По Космосу #13 | Владимир Понимающий & CryptoQ,Education,13,CryptoLodes.,,3847,26946,ru,CC0,1002,,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=tS7C9355k8o,cryptolodes,452463773,https://play.joystream.org/video/26946,
small video,Entertainment,10,crypto channel,,13,26954,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,memberaaaa,574823,https://play.joystream.org/video/26954,
Flowers,Travel & Events,6,Kara Kovan,,4,26951,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,magari,2330144,https://play.joystream.org/video/26951,
Robin - 21723,Travel & Events,6,test_hsn,,21,26940,en,CC0,1002,26940,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=q6NbK06_Yfc,tes_hsn,5258973,https://play.joystream.org/video/26940,
How to Upload Video on Joystream,Howto & Style,12,Joystream Tutorials by Songoku,,102,26949,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,15598030,https://play.joystream.org/video/26949,
Bees Heaven Sunflowers,Travel & Events,6,ferdikesh_studio,,18,26933,en,CC0,1002,,,stock video,ferdikesh_studio,12501394,https://play.joystream.org/video/26933,
Live City,Travel & Events,6,ferdikesh_studio,,15,26935,en,CC0,1002,,,Not found,ferdikesh_studio,29507938,https://play.joystream.org/video/26935,
Frambor Throw off the sadness mask,Howto & Style,12,Frambor voice,,10,26945,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,frambor,12604974,https://play.joystream.org/video/26945,
How to Apply in a Working Group (WG) Opening,Howto & Style,12,Joystream Tutorials by Songoku,,95,26955,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,16213759,https://play.joystream.org/video/26955,
How to Send TJoy to Another Wallet,Howto & Style,12,Joystream Tutorials by Songoku,,50,26942,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,6390878,https://play.joystream.org/video/26942,
earth in space,Science & Technology,14,test_hsn,,31,26941,en,CC0,1002,26941,,stock video,tes_hsn,9840497,https://play.joystream.org/video/26941,
Terizla Gameplay - Mobile Legends,Gaming,7,Songoku Channel,,246,26932,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,238775482,https://play.joystream.org/video/26932,
Omega Collective Curation Test,Science & Technology,14,InfiniteImaginarium,,879,26956,en,CC0,1002,,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=JvJ9t9gnu2Y,infinteimaginarium,572460363,https://play.joystream.org/video/26956,
The Rhythm Of Life,Entertainment,10,SatoriD,,361,26957,en,CC0,1002,,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=5IbkXMgy7PM,infinteimaginarium,73717609,https://play.joystream.org/video/26957,
How to Apply in a Working Group (WG) Opening,Howto & Style,12,Joystream Tutorials by Songoku,,95,26955,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,songoku,16213759,https://play.joystream.org/video/26955,
Answers and vocabulary for SPORTS PROGRAMMES 🏟️,Education,13,Success with IELTS,,846,26964,en,CC0,1002,,Original video for JoyStream,Original Video for Joystream,vaaanish,1089917793,https://play.joystream.org/video/26964,
