Property,Downloaded,Deleted,Duration,Video file size (mb),Cars and Vehicles,Comedy,Education,Entertainment,Howto & Style,Film and animation,Games,Music,News and politics,People and blogs,Pets and animals,Instructions and style,Science and technology,Sports,Travel and events,Nonprofit organizations and activism,Created By,Date,Status
22.04.2022,3,,592,151391617,,,,,,,,,,,,,,,,,Kira_skipper,,
23.04.2022,10,,3049,635771813,,,,2,5,,,,,,,,1,,2,,Kira_skipper,,
24.04.2022,18,,288,295426656,,,,,2,15,,,,1,,,,,,,Kira_skipper,,
25.04.2022,40,,314,318499325,,,,,,36,,,,,,,,,,,Kira_skipper,,
26.04.2022,30,,323,327543121,,1,,,2,30,1,,,,,,,,,,Kira_skipper,,
27.04.2022,15,,23646,3353915453,,,,,,15,,,,,,,,,,,Kira_skipper,,
28.04.2022,146,,11735,2357199636,,,,,,146,,,,,,,,,,,Kira_skipper,,
29.04.2022,51,,10375,1005257017,,,,,,51,,,,,,,,,,,Kira_skipper,,
30.04.2022,0,,0,,,,,,,,,,,,,,,,,,Kira_skipper,,
TOTAL:,313,282,50322,8445004638,,1,,2,9,81,1,,,1,,,1,,2,,Kira_skipper,,
