Period,Builders,Content,Distribution,Storage,HR,Forum,Marketing,Average
"Lead Bonuses (../../Council%20Reports/Rhodes%2022%206087c1a5076b49769fdc40790d9a6789.csv) ",0.58,0.54,0.8,0.83,0.82,0.63,0.74,0.705714285714
"Lead Bonuses (../../Council%20Reports/Rhodes%2023%2022fc044753784a948cd7f2636a9cdde3.csv) ",0.34,0.61,0.97,0.82,0.84,0.82,0,0.628571428571
"Lead Bonuses (../../Council%20Reports/Rhodes%2024%20b279271ce2b74178bfe0132760fef6ac.csv) ",0.34,0,0.8,0.68,0.87,0.7,0.7,0.584285714286
"Rhodes 25 (../../Council%20Reports/Rhodes%2025%2005584b1b055b43dd8e4e56649beee2c6.csv) ",0,0,0.78,0.8,0.86,0,0.58,0.431428571429
"Lead Bonuses (../../Council%20Reports/Rhodes%2026%209f0386e5191643da899c7a51de868bd4.csv) ",0.59,0.68,0.8,0.86,0.59,0.71,0.9,0.732857142857
"Rhodes 27 (../../Council%20Reports/Rhodes%2027%20c1d8c129108a4c7eb99edda65b0b8615.csv) ",0.515,0.8,0.816,0.9,0.82,0.763,0.905,0.788428571429
"Rhodes 28 (../../Council%20Reports/Rhodes%2028%206ac537efe23245299c321a6e3140147c.csv) ",0.64,0.79,0.82,0.91,0.77,0,0.76,0.67
"Lead Bonuses (../../Council%20Reports/Rhodes%2029%204529e3bcc4644a2c9e38ed7153d5182d.csv) ",0.71,0.73,0.88,0.71,0.87,0.8,0.965,0.809285714286
"Lead Bonuses (../../Council%20Reports/Rhodes%2030%209858ed38251c45be95078aa1ee6065c1.csv) ",0.712,0.54,0.88,0.9,0.74,0.76,0.86,0.770285714286
Mainnet 4th Term,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
