Title,Topic,Status,Date,URL,Assigned,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1
Working Groups Summary Template,Workflows,Failed,10/01/2023,https://pioneerapp.xyz/#/proposals/preview/38,,,
WGs Plan Template,Workflows,Approved,13/01/2023,https://pioneerapp.xyz/#/proposals/preview/45,,,
WG Term Report Template,Workflows,Approved,21/01/2023,https://pioneerapp.xyz/#/proposals/preview/70,,,
Training: Making Effective Proposals,Workflows,Approved,07/03/2023,https://pioneerapp.xyz/#/proposals/preview/184,,,
https://pioneerapp.xyz/#/forum/thread/395,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/395,"jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21), Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21)","Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
Storage WG Report Submission Format,Workflows,Failed,14/01/2023,https://pioneerapp.xyz/#/proposals/preview/51,,,
Rewards Carthage/Rhodes,Workflows,Failed,14/01/2023,https://pioneerapp.xyz/#/proposals/preview/46,,,
Reporting Cycle,Workflows,Approved,24/01/2023,https://pioneerapp.xyz/#/proposals/preview/83,,,
https://pioneerapp.xyz/#/forum/thread/347,"HR, Workflows",Archived discussion,,https://pioneerapp.xyz/#/forum/thread/347,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
https://pioneerapp.xyz/#/forum/thread/298,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/298,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)
OKRs For Q2 2023,Plans,Approved,26/03/2023,https://pioneerapp.xyz/#/proposals/preview/216,,,
OKR Process,Workflows,Failed,09/03/2023,https://pioneerapp.xyz/#/proposals/preview/189,,,
https://pioneerapp.xyz/#/forum/thread/88,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/88,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)
New Council Term Report Template,Workflows,Approved,27/02/2023,https://pioneerapp.xyz/#/proposals/preview/157,,,
New Council Term Report Template,Workflows,Failed,23/02/2023,https://pioneerapp.xyz/#/proposals/preview/151,,,
New Council Term Plan Template,Workflows,Approved,27/02/2023,https://pioneerapp.xyz/#/proposals/preview/158,,,
New Council Term Plan Template,Workflows,Failed,23/02/2023,https://pioneerapp.xyz/#/proposals/preview/150,,,
https://pioneerapp.xyz/#/forum/thread/289,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/289,"l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)","l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
