Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Transcript,Venue
Council & Leads Meeting,,"@tomato,@Jen4ph,@0x2bc,@spat_sochi,@Yasir,@chaos77,@Codefikeyz","February 28, 2023 11:00 (GMT+1)",,,https://pioneerapp.xyz/#/forum/thread/258,,,Not started,"Council, WG Leads",,
WG Report Feedback Session,20 minutes discussing pre each of the topics mentioned above,"@Jen4ph,@0x2bc,@Codefikeyz,@Yasir,@abramaria_,@leet_joy","March 8, 2023 11:00 (GMT+1)",,,https://pioneerapp.xyz/#/forum/thread/277,,,Not started,"Council, Reports, WG Leads",,
OKR Meeting,"OKR process (20min)
- list of Q2/annual OKRs (20min)","@0x2bc,@tomato,@Jen4ph,@l1dev,@Genius ","March 12, 2023 11:00 (GMT+1)",,,,,,Not started,"Council, OKRs",,
Community Call,,,"March 15, 2023 18:00 (GMT+1)",,,,,,Not started,Community Call,,
ThePass/Council meeting,,"@Jen4ph,@0x2bc","March 17, 2023 11:00 (GMT+1)",,,,,,Not started,"Council, Partnerships",,
Curator Meeting,,,"March 18, 2023",,,,,,Not started,Curators,,
Council 6/7 Handover Meeting,Handover between changing councils,"@Codefikeyz,@adovrn,@leet_joy,@Jen4ph,@0x2bc,@Felipe Studios Owner","March 20, 2023 15:00 (GMT+1)",,,,,,Not started,Council,,
Dapp Looker Workshop,A workshop explaining how to use Dapplooker dashboards,,"March 23, 2023 15:00 (GMT+1)",,,,,,Not started,"Governance, Tools, Workshops",,
Council Roundtable meeting,We will be having a roundtable with the current Council today by 17:00 UTC. Get your questions for the CMs as we have a gist on the DAO progress so far in 7th term.,,"March 26, 2023 18:00 (GMT+1)",,,,,,Not started,Council,,
Council and MWG Meeting Term 8,,"@leet_joy,@chaos77,@Jen4ph","April 4, 2023 6:25 (GMT+1)",,,,,,Not started,"Council, MWG Lead",,
Training Session on Proposal Writing,"Get enlightened about the essential steps to drafting an excellent proposal in Joystream DAO, how to express your idea or address an issue to a successful adoption/implementation.",,"April 6, 2023 14:30 (GMT+1)",,,,,,Not started,"Governance, Training",,
Handover Term 7-8,"1. Handover
2. OKRs For Q2 2023
https://pioneerapp.xyz/#/proposals/preview/216
2. Upgrade To Ephesus https://pioneerapp.xyz/#/proposals/preview/175","@0x2bc,@adovrn,@chaos77,@Codefikeyz,@Jen4ph,@leet_joy,@ferdikesh_studio,@abramaria_,@Yasir,@tomato,@kriptos","April 5, 2023 10:00 (GMT+1)",,,,,,Not started,"Council, WG Leads",,
DAO and JSG Meeting,"Marketing Efforts and Governance Processes ","@Jen4ph,@bedeho,@leet_joy,@chaos77","April 6, 2023 10:00 (GMT+1)",,,,,,Not started,"Council, Governance, Partnerships",,
Feeback for WGs - Term 8,Let's have a brief call with the council and leads to discuss feedback for WGs,"@0x2bc,@kriptos,@bedeho,@Codefikeyz,@IgreX,@Jen4ph,@leet_joy,@tomato","April 10, 2023 10:00 (GMT+1)",,,,,,Not started,"Council, OKRs, Plans, Working Groups",,
Council transition meeting - Term 9,Empty,,"April 19, 2023 11:00 (GMT+1)",,,,,,Not started,,,
"DAO Quiz Feedback & Improvement ",Meeting held among the workers in Human Resource on how to improve next quiz,,"May 9, 2023",,,,,,Not started,"Community Engagement, Human Resource",,
Council Feedback on WG Plans,Mid-term meeting when the Council gives feedback on the working group plans,,"May 9, 2023",,,,,,Not started,"Council, Plans, WG Leads",,
Term 11 Handover Meeting,Handover meeting term 10-11,,"May 19, 2023",,,,,,Not started,"Council, OKRs, Reports, WG Leads, Working Groups",,
Fireside chat with the council candidates,Questions and answer portion with the Council Candidates,,"May 27, 2023",,,,,,Not started,"Council, Elections, Governance",,
"Term 12 Handover Meeting ","Term Transition meeting from term 11 - 12 ",,"June 3, 2023",,,,,,Not started,"Council, Governance, Reports, WG Leads",,
Term 12 Mid-term Meeting,Mid-term Meeting (12 term),,"June 9, 2023",,,,,,Not started,"Council, OKRs, Plans, Tools, WG Leads",,
