OKRs,No,Score,Status,Tasks
,1,25,In progress,Validator Page
,2,50,Done,Dapplooker Dashboard
,3,25,In progress,Pioneer Email Notif MVP FE
,5,50,Done,DAO council report + weekly report automation v1
,6,50,Done,Pioneer Update 4
,4,25,In progress,Pioneer Responsive Implementation
,7,50,Done,Nara runtime upgrade v2
,8,25,In progress,Financial Page Design
,9,25,In progress,Pioneer Update 5
,10,50,Done,QA test
,11,25,In progress,Nara runtime upgrade v3
,12,25,In progress,Pioneer Post Labeling BE
,,425,Null,Total
