OKRs,No,Tasks,Status,Score
,1,"Hire more workers, evaluate upcoming spending for worker rewards and attach to lead report",Done,50
,2,Finalize Ambassador Program and submit a detailed proposal.,In progress,25
,3,"Joystream token listing on the additional exchange, schedule necessary calls and ensure we progress towards additional markets for JOY.",In progress,25
,4,Reach the top Validators team and communicate to them Joystream validating opportunities.,Done,50
,5,YPP V2 referral program - prepare a marketing campaign to promote it.,Done,50
,6,Marketing support for Infrastructure working groups - promote participation in SWG/DWG working groups,Done,50
,7,Lightpaper Translations - conduct translation for more languages.,In progress,25
,8,"Outreach to web3 YouTube content creators - keep scaling outreach efforts, hire more workers.",Done,50
,9,Promote Joystream NFT features to a wider community,Done,50
,10,"Prepare new marketing campaigns to attract a wider audience of potential investors, content creators and builders",Done,50
,11,Organize at least 3 posts for KOLs about Joystream with total coverage of at least 10000 views,Done,50
,12,Promote community Twitter Spaces and Discord events outside of Joystream,Done,50
,,Total,Null,525
