OKRs,No,Score,Status,Tasks
,11,25,In progress,Nara runtime upgrade v3
,,425,Null,Total
,5,50,Done,DAO council report + weekly report automation v1
,9,25,In progress,Pioneer Update 5
,8,25,In progress,Financial Page Design
,3,25,In progress,Pioneer Email Notif MVP FE
Q3,1,25,In progress,Validator Page
,10,50,Done,QA test
,7,50,Done,Nara runtime upgrade v2
,4,25,In progress,Pioneer Responsive Implementation
,6,50,Done,Pioneer Update 4
,2,50,Done,Dapplooker Dashboard
,12,25,In progress,Pioneer Post Labeling BE
