Name,Last edited time,Priority,Status
Organise Creators Roundtable Meeting,"May 2, 2024 1:34 PM",,Paused
Survey Workers Satisfaction,"May 2, 2024 1:00 PM",,Done
Recruitment,"May 2, 2024 12:13 PM",,In progress
Validators Verfication,"May 2, 2024 10:29 AM",,Paused
Information Dissemination,"April 12, 2024 9:42 AM",Medium,Progressive tasks
Council Election Facilitation,"May 2, 2024 12:11 PM",,Progressive tasks
Fill in a Community FAQ Forum thread,"May 2, 2024 12:10 PM",,Progressive tasks
Weekly Summary,"May 2, 2024 11:28 AM",,Progressive tasks
Moderate Discord server,"May 2, 2024 11:12 AM",,Progressive tasks
Community engagement,"May 2, 2024 11:21 AM",,Progressive tasks
Update $JOY EMA30 price value,"May 2, 2024 10:56 AM",,Progressive tasks
Moderate DAO-Daily Standup and main governance meetings,"April 15, 2024 9:26 AM",,Progressive tasks
Forum moderation,"May 2, 2024 10:34 AM",,Progressive tasks
Membership management,"May 2, 2024 10:39 AM",,Progressive tasks
"Conduct training on Creator Token feature for community support workers + 
Familiarize the workers with the CRT for better community support","May 2, 2024 1:35 PM",,Done
Research on Leave Policies suitable for the DAO and post them on the dedicated Forum thread,"May 2, 2024 1:33 PM",,Done
