Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Time,Transcript,Venue
DAO Sunday Quiz,,,"June 4, 2023",,,,,,Not started,,,,
DAO Sunday Quiz,,,"June 11, 2023",,,,,,Not started,,,,
"Workshop - Joystream Gateways & Operators ",,,"June 15, 2023",,,,,,Not started,,,,
Training - Validators and Staking/Nominating,,,"July 16, 2023",,,,,,Not started,,,,
Training - Signal Proposals,,,"July 16, 2023",,,,,,Not started,,,,
Workshop: Building your own Gateway,,,"July 16, 2023",,,,,,Not started,,,,
Workshop - Introduction To Joystream Tools,,,"June 14, 2023",,,,,,Not started,,,,
Fireside Chat for term 13,,,"June 12, 2023",,,,,,Not started,,,,
DAO Sunday Quiz,,,"June 18, 2023",,,,,,Not started,,,,
Community Call,,,"June 24, 2023",,,,,,Not started,,,,
Workshop: Overview of JoystreamDAO Governance - 1,,,"June 26, 2023",,,,,,Not started,,,,
"Fireside Chat ",,,"June 27, 2023",,,,,,Not started,,,,
DAO Sunday Quiz,,,"June 25, 2023",,,,,,Not started,,,,
,,,"November 1, 2023",,,,,,Not started,,,,
Weekly Gleev/YPP Call,"Agenda:
• Taking stock:- who is currently doing verifications daily?- who is currently doing verifications on weekends?- who is currently doing creator support?
• What is the nature of current support requests?
• Hearing from verification representatives: - how are things going?- how long does it currently take to verify 100 channels for one person?- are there any obivious time consuming or tedious tasks?
• Review requested changes to report: https://pioneerapp.xyz/#/forum/thread/661?post=5275
• Verification Leadership: Currently there is no on properly in charge of verification standards and audits. Work is split across Jsgenesis and DAO.- is there information about who did what verification even?- who can serve this role? what does it entail?
• Review report from last week: https://www.notion.so/4905ac8bf5924df1a5b46b07735e4f45?pvs=21, in particular - align on quality of tiers. - understand who are the big referrers.
• What is the ideal time for report to be finalized both fore Fireside chat & Weeky meeting blog post and Gleev calls?
• The case for updating payouts to Tuesday mornings, and how to organize this effort.","bedeho
bythekingmaker
tomato
richard
leet_joy
dmitry
vikan
codefikeyz
0x2bc
igrex
chaos
prontera","November 7, 2023",1hour +,,https://pioneerapp.xyz/#/forum/thread/679,Bedeho,N/A,Done,,,N/A,Community Voice 1 channel
28th Council Midterm Meeting,"Agenda:
• Working Group Plan Review
• Q4 OKRs Review",,"February 5, 2024",,,,"@Codefikeyz ",,Not started,,,,Discord Voice 1 Channel
