Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
Research on program improvements,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-26,
Increase cap of ambassadors to 50 right at the beginning of Q2 with potential scaling to 100,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,In progress,,,,GEN-27,
Pay for top 100 Zealy winners,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Not started,,,,GEN-161,
Design 30 ambassador avatars,,"April 22, 2024",,Not started,,Medium,"Ambassador Porgam v2 launch (Ambassador%20Porgam%20v2%20launch%20368b61db2e664c9c922add434456e4b1.md), Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md)",,Done,,e9orov assigned for this task,"ambassadors, creative, illustrations",GEN-120,
Create space for ambassadors on notion with full description of the program,,,,Not started,,High,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-32,
Draft plan,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-132,
"Have a very clear set of KPIs and XP rewarded per task, as well as the maximum XP one can receive for a single task (display on ambassadors notion space)",,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-28,
Have clear rules for tier reduction (display on ambassadors notion space),,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-29,
Introduce Zealy quests as part of ambassador program,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-34,
Make posting content about Joystream a requirement for application,,,,Not started,,,Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md),,Done,,,,GEN-31,
