Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
June 1 - 15 reports,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-166,
May 1 - May 15 Reports,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-156,
May 15 - 30 reports,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-162,
Evaluate Reports for April 15 to 30,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-155,
Onboard 10 ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-72,
Evaluate reports for April 1 to 15,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-137,
Distribute rewards for April,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-138,
Create notion space for ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-110,
Onboard 20 ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-100,
Announce program,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-73,
OneKey hardware wallet Unboxing + review video,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-139,
Crerate bounty for CRT onboarding video in dev enviroment,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-140,
Distribute rewards March,leet_joy,"April 6, 2024",,Not started,,Medium,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,"ambassadors, payouts",GEN-80,
Announce ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-78,
Research on successful ambassador programs,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-111,
Collect reports for March,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-77,
Outreach to potential ambassadors,,,,Not started,,Medium,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,personal bounty for Polaris,"ambassadors, outreach",GEN-76,
Screening for new applications,,,,Not started,,High,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,"Ongoing, screening done by leet_joy and spat_sochi",ambassadors,GEN-75,
Setup Discord for ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-74,
Setup Application form,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-101,
Setup Reports collection form,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-102,
Create Terms and Conditions,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-103,
Proposal for ambassador program,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-104,
Develop ambassador program structure,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-105,
Create 30 unique FM avatars for ambassadors,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-108,
Evaluate reports for March,leet_joy,,,Not started,,High,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,ambassadors,GEN-79,
"Ambassador Townhall Meeting - April 7 ",leet_joy,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,Done,,,,GEN-141,
XP,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,In progress,,,,GEN-152,
Reports June 15 - 30,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,In progress,,,,GEN-170,
finalize zealy winners,,,,Not started,,,Ambassador Program (Ambassador%20Program%209624e4d2c766463a8ae8bf1cfe9792c7.md),,In progress,,,,GEN-171,
