Channel Name,Link,Subscribers,Language,Category,Contact
Cryptorell,https://www.youtube.com/channel/UCJg8P4yplxvs02OBGAPd_3Q,77000,Spanish,"NFT, Crypto",
TechLead,https://www.youtube.com/c/TechLead,1350000,ENG,"Crypto, DeFi",
Alex Becker’s Channel,https://www.youtube.com/c/AlexBeckersChannel,1300000,ENG,Crypto,
Andrei Jikh,https://www.youtube.com/c/AndreiJikh,2030000,ENG,Crypto,
Atamert Uysaler,https://www.youtube.com/channel/UC2nKq8vwg9K1Bj8roHhebaQ,101000,Turkish,"Crypto, NFT",
Prometheus,https://www.youtube.com/channel/UCeOLUeYNcYDos1wcTJVLGlw,102000,RU,Crypto,
Криптонация LIVE,https://www.youtube.com/channel/UC80BwD0EtVxwnErB2AX2fUw,63000,RU,"NFT, Crypto",
CloudGeo,https://www.youtube.com/channel/UChUEbXw4jvLW-GWPCI3uf2Q,22000,RU,"NFT, GameFi",
JustLuks09,https://www.youtube.com/channel/UCGvlp-Y8tfYZ5vvotEkujVA,59000,Spanish,"Crypto, NFT",
PatoinTV,https://www.youtube.com/channel/UCDBx05g44CvpPzNynJD_Jgg,105000,Spanish,"NFT, GameFi",
Xheo,https://www.youtube.com/channel/UClVR4N7qaA9kh-c4QZajJGg,1760000,Spanish,NFT,
El Diario Cripto,https://www.youtube.com/channel/UCR_aQaM2EnSUETON8YGi8uQ,34000,Spanish,"NFT, GameFi",
Jogadô de NFT,https://www.youtube.com/channel/UCBef9yh0t6db4JMjg03_l_A,112000,Spanish,"NFT, GameFi",
Luran Dionisio,https://www.youtube.com/channel/UCccXelUNnu69Z0R-ry2qefw,25000,Philippine,"NFT, GameFi",
Solem Crypto,https://www.youtube.com/channel/UCZD5une1nstLqAPUdmJweAA,41000,ENG,"NFT, GameFi",
NFT Field,https://www.youtube.com/channel/UCwukRqoDGxv9wie6EWP0Ffw,8400,RU,"NFT, GameFi",
Indep,https://www.youtube.com/channel/UC-CVqjG6-H2eaD3EcdVB9bA,9300,Philippine,"NFT, GameFi",
EVTUBO,https://www.youtube.com/channel/UCZdYIn1RdfpCAqt7YHnoo_A,55000,RU,,
CryptoMind,https://www.youtube.com/channel/UCf5tKiOwzt-2kyiklnxBeqg,109000,Spanish,"NFT, GameFi",
Crypto Valentin,https://www.youtube.com/channel/UCncX98l5Ty1FSKXdYTQBVIw,10000,RU,"NFT, Крипта",
Dapp University,https://www.youtube.com/channel/UCY0xL8V6NzzFcwzHCgB8orQ,520000,ENG,"Blockchain, WEB 3.0, NFT",
CryptoWendyO,https://www.youtube.com/channel/UCla2jS8BrfLJj7kbKyy5_ew,168000,ENG,"Crypto, NFT",
ВСЕ О ЗАРАБОТКЕ И КРИПТОВАЛЮТЕ - BLACK MARKET,https://www.youtube.com/channel/UCKt1poZcDgcx5C1QLHTMp-g/videos,15700,RU,Crypto,
Crypto Jimmy,https://www.youtube.com/channel/UC_0cLeaqoa223DqkB3KTiIA,145000,ENG,NFT,
Crypto Line - Cryptocurrency,https://www.youtube.com/channel/UCGznwKU6wCuaR6oK3OirB-g,110000,RU,NFT,
Alex Crypto,https://www.youtube.com/channel/UCKfJH_MSXozb6dBLfZDbHOA,52000,RU,"Crypto, GameFI, DeFi",
Lotic,https://www.youtube.com/c/Loticbtc,301000,ENG,NFT,
Dalealcoco,https://www.youtube.com/channel/UCgkHo3i7-QwsPy743BRBOkg,9000,ESP,NFT,
Exstra Money - Заработок в Интернете!,https://www.youtube.com/channel/UCvzY6aBrmEXp3e0XHBrewMA/featured,6700,RU,Crypto,
Crypto Hub,https://www.youtube.com/channel/UCNV_9Q2aTXBswJe3Pa3S_Ng,132000,RU,"Crypto, NFT",
DUTA CRYPTO,https://www.youtube.com/channel/UCrtXSXcwRqUKTgQmd3gRThw,93000,Indonesian,NFT,
Swop Toky,https://www.youtube.com/channel/UC-fSUXvfXWzDZvwUdB16Dgw,20500,RU,NFT,
Crypto Crown,https://www.youtube.com/channel/UCwRiAuuFMnCrbGV-b5vnoGg,137000,Indian,Crypto,
ItsRagnar,https://www.youtube.com/channel/UCPZ0iRqTVwpElMrBG6vQZCQ,20000,ENG,NFT,
CodyOnChain,https://www.youtube.com/channel/UCsTY2IqnokrIrYhrOAoP36A,23500,ENG,NFT,
Go Shiny Hunter,https://www.youtube.com/channel/UC18_n93KTbIuAwdTluXHTYA,57000,ENG,"NFT, Play-2-earn",
Viral Watchlist!!,https://www.youtube.com/channel/UCNi4JMkOQ84PRt7nEzI6Y2A,31000,ENG,"NFT, Play-2-earn",
Cryptopunk,https://www.youtube.com/channel/UCckMuBP4iVIxpSMwMa_fVAw,17000,ENG,NFT,
ErickEcua,https://www.youtube.com/channel/UCAufSwMuJaLl_hfATWO0a_A,27000,ESP,NFT,
Современный Инвестор,https://www.youtube.com/channel/UCbfHZ3NUf1Q6EzJ1i62eOHQ,4000,RU,NFT,
Crypto Hunters - Обзоры NFT игр и проектов,https://www.youtube.com/channel/UCHhxlUZlenxVonfh3q-3Rtg,11000,RU,NFT,
Думай Действуй,https://www.youtube.com/channel/UC3SR9C_Mb6C-Rwm9hMqwiDw,9000,RU,NFT,
Crypton,https://www.youtube.com/channel/UCIe1WmAFLTNkKFjJtj8XY8Q,83000,RU,"NFT, Play-2-earn",
Goalorious,https://www.youtube.com/channel/UCATk5kugWqzwe80NIXwGIyQ,71000,ENG,NFT,
Rico Copeland,https://www.youtube.com/channel/UCJt1pAEFPYtXN14CF2jjJpg,94000,ENG,NFT,
Deki Gang,https://www.youtube.com/channel/UCWD4ghJh5UAaEthiD4HjEiA,14000,RU,Crypto,
Zueljin Gaming,https://www.youtube.com/channel/UCB-UY_HpZgYMfkYi2Xxs-lA,321000,ENG,NFT,
Mi Primera Cripto,https://www.youtube.com/channel/UCCWwzB59OcBVO_Ci8DB67nw/videos,39000,Spanish,NFT,
Game of bitcoins,https://www.youtube.com/channel/UC2WKsYBxMwx7E7ENkND-fkg,78000,Hindi,NFT,
Shivam Chhuneja,https://www.youtube.com/channel/UCRzdYjloQI7VJYax6GsX8ZQ,82000,Indian,NFT,
CryptoStache,https://www.youtube.com/channel/UCL4knTqpF5KTcJrAdethgNQ,95000,ENG,NFT Long-Term,
CRYPTUS,https://www.youtube.com/channel/UCGzOtu1tlrOeq_-jXzV-Fng,135000,RU,"Crypto, GameFi, NFT",
DOUBLE TOP,https://www.youtube.com/channel/UCdvuYT--R9DlEGDImbzXu-w,60000,RU,"Crypto, GameFi, NFT",
MoneyFest,https://www.youtube.com/channel/UCKvc-MvjLMYeHszEn21k4Ng,20000,RU,Crypto,
Криптотрейдер,https://www.youtube.com/channel/UC5HqiWhaSLtHoBnvCfQcjsg,60000,RU,Crypto Trading,
Роман Томера,https://www.youtube.com/channel/UCkIi1hSo26sD-x1vqRgbw_w,244000,RU,"Crypto, Mining, Trading",
