Report,Term,Created By,Councils,Date,Property,Status,Summary
2 term report,2,leet_joy,"ismail_malik, isonar, abramaria_",14.01.2023 - 17.01.2023,"February 1, 2023 11:23 AM",Done,
3 term report,3,leet_joy,"l1dev, 0x2bc, jen4ph",17.01.2023 - 2.02.2023,"February 2, 2023 2:01 PM",Done,
4 term report,4,leet_joy,"ismail, songoku, isonar",3.02.2023 - 18.02.2023,"April 2, 2023 12:16 PM",Done,
5 term report,5,leet_joy,"jen4ph, l1dev, 0x2bc",18.02.2023 - 3.03.2023,"March 5, 2023 5:24 PM",Done,
6 term report,6,leet_joy,"jen4ph, 0x2bc, tomato",3.03.2023 - 18.03.2023,"March 18, 2023 3:44 PM",Done,
7 term report,7,leet_joy,"adovrn, leet_joy, songoku",18.03.2023 - 2.04.2023,"April 2, 2023 12:29 PM",Done,
8 term report,8,leet_joy,"0x2bc, jen4ph, chaos77",,"April 17, 2023 10:24 PM",Done,
9 term report,9,leet_joy,"chaos77, igrex, leet_joy","April 17, 2023 → May 2, 2023","May 3, 2023 4:23 AM",Done,
24 Report,24,leet_joy,,,"December 14, 2023 12:41 PM",Not started,
25 Plan,,leet_joy,,,"December 14, 2023 2:45 PM",Not started,
29 report,,leet_joy,,,"February 27, 2024 9:39 PM",Not started,
25 Report,25,leet_joy,,,"December 29, 2023 5:03 AM",Not started,
26 Plan,,leet_joy,,,"January 2, 2024 9:08 AM",Not started,
26 Report,25,leet_joy,,,"January 13, 2024 11:19 AM",Not started,
27 Plan,,leet_joy,,,"January 13, 2024 6:18 PM",Not started,
30 plan,,leet_joy,,,"March 13, 2024 2:56 PM",Not started,
,,leet_joy,,,"February 27, 2024 9:42 PM",Not started,
,,leet_joy,,,"March 13, 2024 2:53 PM",Not started,
30 report,,leet_joy,,,"March 14, 2024 3:52 AM",Not started,
31 plan,,leet_joy,,,"March 14, 2024 4:29 AM",Not started,
31 report,,leet_joy,,,"April 11, 2024 2:12 PM",Done,
32 plan,,leet_joy,,,"April 11, 2024 2:30 PM",Not started,
32 report,,leet_joy,,,"May 9, 2024 9:46 AM",Done,
33 plan,,leet_joy,,,"May 9, 2024 9:59 AM",Not started,
33 report,,leet_joy,,,"June 6, 2024 9:50 AM",Done,
34 plan,,leet_joy,,,"June 6, 2024 3:15 PM",Not started,
34 report,,leet_joy,,,"July 4, 2024 2:56 PM",Done,
35 plan,,leet_joy,,,"July 5, 2024 12:02 PM",Not started,
35 report,,leet_joy,,,"August 1, 2024 5:09 PM",Done,
36 report,,leet_joy,,,"August 29, 2024 3:41 PM",Done,
36 plan,,leet_joy,,,"August 4, 2024 3:06 PM",Not started,
36 report,,leet_joy,,,"August 29, 2024 5:27 PM",Done,
37 plan,,leet_joy,,,"August 29, 2024 7:06 PM",Not started,
37 report,,leet_joy,,,"September 27, 2024 11:23 AM",Done,
38 plan,,leet_joy,,,"September 27, 2024 11:49 AM",Not started,
38 report,,leet_joy,,,"October 24, 2024 7:36 PM",Done,
39 plan,,leet_joy,,,"November 27, 2024 12:26 PM",Not started,
39 report,,leet_joy,,,"November 27, 2024 1:42 PM",Not started,
40 plan,,leet_joy,,,"November 27, 2024 12:32 PM",Not started,
40 report,,leet_joy,,,"December 30, 2024 1:17 PM",Not started,
41 plan,,leet_joy,,,"January 6, 2025 5:20 PM",Not started,
