Name,Council Term,Discord Username,Pioneer profile,Remarks by lead,Role,Salary,Skills
ferdikesh_studio,,,https://dao.joystream.org/#/members/3323,Can lead designing,animator,,"animation, designing"
marat_mu,,,https://dao.joystream.org/#/working-groups/marketing,Can lead research and SMM,Market Analyst,,"marketing, smm"
abramaria_,,,https://dao.joystream.org/#/members/3082,Can lead all kinds of operations,deputy lead,,"Growth, communicator, creative mindset, policy making, research"
songoku,,,https://dao.joystream.org/#/members/3336,Can lead the tutorials making,content creator,,"content creating, video production"
Codefikeyz,,,https://dao.joystream.org/#/members/4129,Can lead networking and outreach,Recruiter,,"networking, outreach"
kate_fm,,,https://dao.joystream.org/#/members/1905,Can lead research and designing,Handbook assistant,,"Platform, Writing, content writing, copywriting"
jpaul,,,https://dao.joystream.org/#/members/4354,Can lead the shilling team of community,content creator,,"content creating, content writing"
vikan#4315,,,https://pioneerapp.xyz/#/members/4058,Can lead all kinds of operations,Recruiter,,"communicator, networking, outreach, policy making, recruitment, research"
swargo,,,https://pioneerapp.xyz/#/members/2532,Can lead video production,video editor,,"Social, creative mindset, video production"
crptowolf,,,https://pioneerapp.xyz/#/members/3594,"Can lead research ",researcher,,"analysis, research"
