Name,Comment,Files/Screenshot,Link,Tags
OG-contributor,,Gitbook%20glossary/2022-04-09_19-08-35.png,https://joystream.gitbook.io/testnet-workspace/testnet/founding-member-program,Pending
https://w3f-research.readthedocs.io/en/latest/polkadot/overview/2-token-economics.html?highlight=transaction%20fee,,Gitbook%20glossary/2022-04-09_19-33-57.png,https://wiki.polkadot.network/docs/learn-transaction-fees,Pending
parachain,,Gitbook%20glossary/2022-04-09_19-00-13.png,https://joystream.gitbook.io/testnet-workspace/usdjoy,Pending
BFT consensus,,Gitbook%20glossary/2022-04-09_19-36-38.png,https://joystream.gitbook.io/testnet-workspace/system/validation,Pending
Gateways,,,https://joystream.gitbook.io/testnet-workspace/system/gateways,Pending
staking on-chain,,Gitbook%20glossary/2022-04-10_22-18-10.png,https://joystream.gitbook.io/testnet-workspace/testnet/usdtjoy,Pending
dashboard,,Gitbook%20glossary/2022-04-10_22-27-32.png,https://joystream.gitbook.io/testnet-workspace/testnet/usdtjoy#value,Pending
discretionary spending,,Gitbook%20glossary/2022-04-10_22-52-08.png,https://joystream.gitbook.io/testnet-workspace/system/bounties,Pending
council financing quorum,,Gitbook%20glossary/2022-04-10_22-54-05.png,https://joystream.gitbook.io/testnet-workspace/system/bounties,Pending
NFT,non-fungible token,Gitbook%20glossary/4ECB056C-2678-4FD3-89FD-4896A76A5F18.png,https://joystream.gitbook.io/testnet-workspace/testnet/founding-member-program,Pending
Pallet,,Gitbook%20glossary/FC3255F6-E07B-4549-83B5-921EF55671D4.png,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,Pending
Testnet,,Gitbook%20glossary/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-14_%D0%B2_16.58.32.png,https://joystream.gitbook.io/testnet-workspace/jsgenesis,Pending
