Name,Tags,Link,Comment,Files/Screenshot,Property,Property 1
"Error in the link ",Pending,http://www.cnn.com/,Error in the link «Here» https://joystream.gitbook.io/testnet-workspace/testnet/founding-member-program,"Gitbook%20improvements%20table/6E246FE6-E3E5-4135-A448-19B83B558475.png, Gitbook%20improvements%20table/1EAD254A-57A7-4FC9-BC21-2F0687833119.jpeg",,
Error in the link 404,Pending,https://github.com/Joystream/handbook/blob/master/testnet/broken-reference/README.md,"When clicking on the link, it gives an error",Gitbook%20improvements%20table/4218456D-8255-40CA-AE14-96A08D6FBAC7.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/working-groups#staking-policy,,"Gitbook%20improvements%20table/60E3D3A9-B288-4393-9348-56177AB694A4.jpeg, Gitbook%20improvements%20table/CA9A669A-254A-45B2-A2C7-D0D702BA3C73.png",,
add contacts,Pending,https://joystream.gitbook.io/testnet-workspace/#feeling-lost,it is not clear from the text who you need to contact. I suggest adding contact details or a link,Gitbook%20improvements%20table/2022-04-10_22-42-14.png,,
Broken link,Pending,https://github.com/Joystream/handbook/blob/master/broken-reference/README.md,"When clicking on the link, it gives an error",Gitbook%20improvements%20table/A1439285-EA42-4150-8DEA-984E5B97E806.png,,
Broken link,Pending,,,,,
misprint,Pending,https://joystream.gitbook.io/testnet-workspace/system/human-resources#hr-lead,HT corrected to HR,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-14_%D0%B2_16.06.27.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,"When clicking on the link, it gives an error","Gitbook%20improvements%20table/2022-04-14_22-34-36.png, Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.11.23.png",,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/memberships,,Gitbook%20improvements%20table/2022-04-15_23-03-30.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/council,,Gitbook%20improvements%20table/2022-04-16_23-00-43.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/council,,Gitbook%20improvements%20table/2022-04-16_23-47-08.png,,
mistake,Pending,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score,underwritten sentence,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-20_%D0%B2_0.08.27.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/content-directory/nft,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.18.19.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/storage,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.16.00.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/storage/data-directory#bag,,"Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.59.41.png, Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.59.51.png",,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/storage/storage-node,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.08.04.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/council,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.14.57.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/council,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.16.15.png,,
Broken link,Pending,https://joystream.gitbook.io/testnet-workspace/system/storage/storage-node,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.20.05.png,,
"Create and add a guide (text or video) how create account in Joystream for newbies ",,,This guide should be added to start here.,,,
Add a link to the current bounty,,,This link should be added to Bounty https://dao.joystream.org/#/bounty/current,,,
Add a guide how  to take part in the bounty,,,,,,
