Name,Comment,Files/Screenshot,Link,Property,Property 1,Tags
Error in the link 404,"When clicking on the link, it gives an error",Gitbook%20improvements%20table/4218456D-8255-40CA-AE14-96A08D6FBAC7.png,https://github.com/Joystream/handbook/blob/master/testnet/broken-reference/README.md,,,Pending
Broken link,,"Gitbook%20improvements%20table/60E3D3A9-B288-4393-9348-56177AB694A4.jpeg, Gitbook%20improvements%20table/CA9A669A-254A-45B2-A2C7-D0D702BA3C73.png",https://joystream.gitbook.io/testnet-workspace/system/working-groups#staking-policy,,,Pending
"Error in the link ",Error in the link «Here» https://joystream.gitbook.io/testnet-workspace/testnet/founding-member-program,"Gitbook%20improvements%20table/6E246FE6-E3E5-4135-A448-19B83B558475.png, Gitbook%20improvements%20table/1EAD254A-57A7-4FC9-BC21-2F0687833119.jpeg",http://www.cnn.com/,,,Pending
add contacts,it is not clear from the text who you need to contact. I suggest adding contact details or a link,Gitbook%20improvements%20table/2022-04-10_22-42-14.png,https://joystream.gitbook.io/testnet-workspace/#feeling-lost,,,Pending
Broken link,"When clicking on the link, it gives an error",Gitbook%20improvements%20table/A1439285-EA42-4150-8DEA-984E5B97E806.png,https://github.com/Joystream/handbook/blob/master/broken-reference/README.md,,,Pending
misprint,HT corrected to HR,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-14_%D0%B2_16.06.27.png,https://joystream.gitbook.io/testnet-workspace/system/human-resources#hr-lead,,,Pending
Broken link,"When clicking on the link, it gives an error","Gitbook%20improvements%20table/2022-04-14_22-34-36.png, Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.11.23.png",https://joystream.gitbook.io/testnet-workspace/system/accounts-and-staking,,,Pending
Broken link,,,,,,Pending
Broken link,,Gitbook%20improvements%20table/2022-04-15_23-03-30.png,https://joystream.gitbook.io/testnet-workspace/system/memberships,,,Pending
Broken link,,Gitbook%20improvements%20table/2022-04-16_23-00-43.png,https://joystream.gitbook.io/testnet-workspace/system/council,,,Pending
Broken link,,Gitbook%20improvements%20table/2022-04-16_23-47-08.png,https://joystream.gitbook.io/testnet-workspace/system/council,,,Pending
mistake,underwritten sentence,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-20_%D0%B2_0.08.27.png,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.18.19.png,https://joystream.gitbook.io/testnet-workspace/system/content-directory/nft,,,Pending
Broken link,,"Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.59.41.png, Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.59.51.png",https://joystream.gitbook.io/testnet-workspace/system/storage/data-directory#bag,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_13.16.00.png,https://joystream.gitbook.io/testnet-workspace/system/storage,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.08.04.png,https://joystream.gitbook.io/testnet-workspace/system/storage/storage-node,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.14.57.png,https://joystream.gitbook.io/testnet-workspace/system/council,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.16.15.png,https://joystream.gitbook.io/testnet-workspace/system/council,,,Pending
Broken link,,Gitbook%20improvements%20table/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2022-04-21_%D0%B2_14.20.05.png,https://joystream.gitbook.io/testnet-workspace/system/storage/storage-node,,,Pending
"Create and add a guide (text or video) how create account in Joystream for newbies ",This guide should be added to start here.,,,,,
Add a link to the current bounty,This link should be added to Bounty https://dao.joystream.org/#/bounty/current,,,,,
Add a guide how  to take part in the bounty,,,,,,
