Proposal,Budget values (tJOY),Status,Date Sent,Proposed by,Contract Link,Info,Related to Working Group Tasks (1) (Related to Proposals (Contract Link))
"Hire new lead maxlevush (https://www.notion.so/maxlevush-f6c45a91bb384dbe8915ffb2174d2f4b?pvs=21) ",,Rejected,"April 27, 2022",l1dev,https://dao.joystream.org/#/proposals/preview/129,,
"Hire new lead Untitled (https://www.notion.so/ad6bba7455e64911ad5cf86bd847ed27?pvs=21) ",,Approved,"April 27, 2022",l1dev,https://dao.joystream.org/#/proposals/preview/128,hire newcomer as a lead,
15M tJOY for wg,15000000,Approved,"April 20, 2022",,https://dao.joystream.org/#/proposals/preview/109,reward for workers in tJOY,
add budget MWG 1M,1000000,Approved,"April 18, 2022",IgreX,https://dao.joystream.org/#/proposals/preview/108,Council 4,
2M Marketing Budget,2000000,Approved,"April 14, 2022",l1dev,https://dao.joystream.org/#/proposals/preview/98,second budget refill 2/4,
Update Lead Salary,1500000,Approved,"April 12, 2022",l1dev,https://dao.joystream.org/#/proposals/preview/87,Update lead salary proposal,
Refill Marketer WG Mint,2000000,Approved,"April 11, 2022",leet_joy,https://dao.joystream.org/#/proposals/preview/77,"start term budget ",
Marketing WG Budget Increase,6000000,Rejected,"April 9, 2022",leet_joy,https://dao.joystream.org/#/proposals/preview/72,Request to increase wg budget,
Marketing Budget,2000000,Approved,"April 4, 2022",l1dev,https://dao.joystream.org/#/proposals/preview/45,Setting MWG budget by 2M/term,
Set Marketing Lead Reward,2000000,Approved,"April 1, 2022",,https://dao.joystream.org/#/proposals/preview/40,Setting Lead reward 2M/term,
Marketing WG Budget Round 0,2000000,Rejected,"April 1, 2022",,https://dao.joystream.org/#/proposals/preview/39,Setting MWG budget by 2M/term,
Hire Lead MWG (Leet_joy),,Approved,"March 31, 2022",IgreX,https://dao.joystream.org/#/proposals/preview/31,Hiring Lead,
Lead Marketing WG,,Approved,"March 30, 2022",IgreX,https://dao.joystream.org/#/proposals/preview/23,Create opening,
Marketing WG Report (6th Week),,Approved,"March 29, 2022",leet_joy,https://dao.joystream.org/#/proposals/preview/22,Sygnal proposal,
,,,,,,,
