Link,Was Joysteam listed?,Action taken,Comment
https://discoverdaos.com/,No,filled out the Google form,
https://daodir.co/add-your-dao/,No,filled out the form on the site,
https://www.notion.so/f7717b352a3b45e283c3ee2ce43adb7a?pvs=21,Yes,,
https://barracuda.io/,Yes,,
https://daolist.fyi/,No,could not find how to add,
https://daocentral.com/,Yes,,
https://www.listofdaos.com/,No,filled out the form on the site,"This one looks very interesting - they have a good https://mobile.twitter.com/listofdaos, where they make announces of new listings. They also offer video and Medium covers."
https://docs.google.com/spreadsheets/d/16IDgIyPcfwJGG-zmXeMAenYbePQVHkc2P6WCwKEZgpk/edit#gid=0,Yes,,Joystream was added by @isonar
https://ecosystem.daoincubator.org/wiki/dao,No,filled out the Google form,
https://www.daoer.xyz/,No,filled out the Google form,
https://www.daospot.io/,Yes,,
https://www.daolicious.xyz/,No,filled out the Typeform,
https://www.yoursdao.xyz/,Yes,,
https://www.daohq.co/,No,filled out the form on the site,
