Name,Council Term,Forum Post,Plan/report,Status
Council Term 5 plan,5,https://pioneerapp.xyz/#/forum/thread/229?post=1017,Plan,Submitted
Council Term 5 Report,5,https://pioneerapp.xyz/#/forum/thread/230?post=1248,Report,Submitted
Council Term 6 plan,6,https://pioneerapp.xyz/#/forum/thread/229?post=1260,Plan,Submitted
Council Term 6 Report,6,https://pioneerapp.xyz/#/forum/thread/230?post=1403,Report,Submitted
Council Term 7 plan,7,https://pioneerapp.xyz/#/forum/thread/229?post=1674,Plan,Submitted
Council Term 7 Report,7,https://pioneerapp.xyz/#/forum/thread/230?post=2116,Report,Submitted
Council Term 8 plan,8,https://pioneerapp.xyz/#/forum/thread/229?post=2346,Plan,Submitted
Council Term 8 Report,8,https://pioneerapp.xyz/#/forum/thread/230?post=3402,Report,Submitted
Council Term 9 Report,9,https://pioneerapp.xyz/#/forum/thread/230?post=3495,Report,Submitted
Council Term 21 Report,21,https://pioneerapp.xyz/#/forum/thread/230?post=5226,Report,Submitted
Council Term 22 Plan,22,https://pioneerapp.xyz/#/forum/thread/229?post=5227,Plan,Submitted
Council Term 22 Report,22,https://pioneerapp.xyz/#/forum/thread/230?post=5358,Report,Submitted
Council Term 23 Plan,23,https://pioneerapp.xyz/#/forum/thread/229?post=5359,Plan,Submitted
Council Term 24 Plan,24,https://pioneerapp.xyz/#/forum/thread/229?post=5519,Plan,Submitted
Council Term 23 Report,23,https://pioneerapp.xyz/#/forum/thread/230?post=5518,Report,Submitted
Council Term 24 Report,24,https://pioneerapp.xyz/#/forum/thread/230?post=5691,Report,Submitted
Council Term 25 Plan,25,https://pioneerapp.xyz/#/forum/thread/229?post=5692,Plan,Submitted
Council Term 25 Report,25,https://pioneerapp.xyz/#/forum/thread/230?post=5796,Report,Submitted
Council Term 26 Plan,26,https://pioneerapp.xyz/#/forum/thread/229?post=5797,Plan,Submitted
Council Term 26 Report,26,https://pioneerapp.xyz/#/forum/thread/230?post=5888,Report,Submitted
Council Term 27 Plan,27,https://pioneerapp.xyz/#/forum/thread/229?post=5889,Plan,Submitted
Council Term 27 Report,27,https://pioneerapp.xyz/#/forum/thread/230?post=6067,Report,Submitted
Council Term 28 Plan,28,https://pioneerapp.xyz/#/forum/thread/229?post=6068,Plan,Submitted
Council Term 28 Report,28,https://pioneerapp.xyz/#/forum/thread/230?post=6153,Report,Submitted
Council Term 29 Report,29,,Report,Submitted
