Name,Assignee,Status,Progress,Last Updated,Last edited time
[2024 Q1] O-1-1 Improve Joystream as a Video Platform,,,,,"June 18, 2024 6:31 PM"
KR-1.1 [Distributors] Ensure median bandwidth > 20 Mbps and median TTFB < 350 ms for all deployment locations (across multiple tests).,Distributor WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"March 8, 2024","June 18, 2024 6:31 PM"
KR-1.2 [Storage] Maintain percentage of lost objects 0%. Maintain percentage of unaccepted objects < 1%. Maintain a replication rate of not lower 2 for all objects. Maintain an average node availability of 99.9%,Storage WG,At risk ⚠️,◾️◽️◽️◽️◽️◽️◽️◽️◽️◽️10%,"March 7, 2024","June 18, 2024 6:31 PM"
" KR-1.3  [Builders] Atlas SDK: development of functional design specification",Builders WG,Excluded,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,"February 21, 2024","June 18, 2024 6:31 PM"
[2024 Q1] O-1-2 Maintain Security of the Joystream Blockchain,,,,,"June 18, 2024 6:25 PM"
KR-2.1 [Council] Average block time is less than 6.1s,Council,On track ✅,◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,"March 8, 2024","April 30, 2024 10:30 AM"
[2024 Q1] O-1-3 Improve Joystream DAO Governance,,,,,"June 18, 2024 6:25 PM"
KR-3.1 [HumanResources] Conduct 2 anonymous surveys to understand whether DAO workers are satisfied with governance and working conditions.,HR WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"March 7, 2024","April 30, 2024 10:36 AM"
KR-3.2 [Builders] Pioneer Validator dashboard,Builders WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"March 7, 2024","April 30, 2024 10:34 AM"
KR-3.3 [HumanResources] Develop prototype of council and lead scoring system,HR WG,Excluded,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,"February 21, 2024 12:05 PM"
KR-3.4 [Council] DAO pay structure,Council,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"March 8, 2024","April 30, 2024 10:36 AM"
[2024 Q1] O-1-4 Enhance Joystream user adoption,,,,,"June 18, 2024 6:25 PM"
KR 4.9 [Content] At least 5 gold+ tier creators have created a creator token,Content WG,Postponed,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,"March 7, 2024","June 18, 2024 6:11 PM"
KR-4.8 [Marketing] Achieve a 20% increase in total social media impressions compared to the previous quarter,Marketing WG,On track ✅,◾️◾️◾️◾️◾️◾️◽️◽️◽️◽️60%,"March 8, 2024","June 18, 2024 6:11 PM"
KR-4.7 [HumanResources] At least 3 community events or workshops are organized aimed at/for content creators during the quarter. The total views of the event recordings should not be fewer than 500 views across all platform for all 5 videos.,HR WG,On track ✅,◾️◾️◾️◽️◽️◽️◽️◽️◽️◽️30%,"March 8, 2024","June 18, 2024 6:11 PM"
KR-4.6 [HumanResources] Conduct NPS survey for content creators 2 times per quarter. Use the similar survey template as was used in Q4 2023,HR WG,Excluded,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,"June 18, 2024 6:11 PM"
KR-4.5 [Marketing] Onboard 10 Marketing Ambassadors,Marketing WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"March 8, 2024","June 18, 2024 6:11 PM"
"KR-4.4 [Marketing] Reach 32,000 non-empty channels and 1,400,000 non-spam videos on Joystream by the end of Q1",Marketing WG,On track ✅,◾️◾️◾️◾️◽️◽️◽️◽️◽️◽️40%,"March 8, 2024","June 18, 2024 6:11 PM"
KR-4.3 [Marketing] At least 3 new interviews with Joystream team are conducted and published,Marketing WG,Postponed,◾️◾️◾️◽️◽️◽️◽️◽️◽️◽️30%,"March 8, 2024","June 18, 2024 6:11 PM"
KR-4.2 [Marketing] At least 25 new Joystream-related review videos targeted at crypto audiences are posted on Youtube,Marketing WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"February 21, 2024","June 18, 2024 6:11 PM"
"KR-4.1 [Marketing] Joystream is listed on at least 2 more CEX: Achieve social media metrics required for exchange listing, Execute listing with DAO provided funds",Marketing WG,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,"February 21, 2024","June 18, 2024 6:11 PM"
