Name,Task Number,Start Block,End Block,Council Plan,Council Plan Blockheight,Council Report,Council Report Blockheight,Parent item,Sub-item
Council Term 1,,1,"345,601",,,,,,
Council Term 2,,"345,601","561,602",,,,,,
Council Term 3,,"561,602","777,603",https://pioneerapp.xyz/#/forum/thread/39,555604,,,,"Setting up the necessary governance procedures (Council%20Grading/Untitled/Setting%20up%20the%20necessary%20governance%20procedures%207fb8c093f4d34b23b2fd2b22351c0b12.md), Introducing the OKR system (Council%20Grading/Untitled/Introducing%20the%20OKR%20system%2042933cab49fe4d698449afd50c4255f6.md), Finalizing exchange research and working out the next steps (Council%20Grading/Untitled/Finalizing%20exchange%20research%20and%20working%20out%20the%20n%203450241767b94f9ea02d25a3548b78ac.md), Increasing the staking percentage from 9% to 12% (Council%20Grading/Untitled/Increasing%20the%20staking%20percentage%20from%209%25%20to%2012%25%204583f637836741e6a278b85723e840b6.md), Developing a priority list for BWG (Council%20Grading/Untitled/Developing%20a%20priority%20list%20for%20BWG%207ebbd4ac29be49b78f147f551d0df5ab.md)"
Setting up the necessary governance procedures,1,,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),
Introducing the OKR system,2,,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),
Finalizing exchange research and working out the next steps,3,,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),
Increasing the staking percentage from 9% to 12%,4,,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),
Developing a priority list for BWG,5,,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),
Council Term 4,,"777,603",,https://pioneerapp.xyz/#/forum/thread/116,803557,,,,Untitled (Council%20Grading/Untitled/Untitled%2007d05c3c3c294c4daf996aab16ee09b3.md)
,,,,,,,,Council Term 4 (Council%20Grading/Untitled/Council%20Term%204%203e661c15b4b9489db8889b18b15c673b.md),
