Name,Council Plan,Council Plan Blockheight,Council Report,Council Report Blockheight,End Block,Parent item,Start Block,Sub-item,Task Number
Council Term 2,,,,,"561,602",,"345,601",,
Council Term 1,,,,,"345,601",,1,,
Council Term 3,https://pioneerapp.xyz/#/forum/thread/39,555604,,,"777,603",,"561,602","Setting up the necessary governance procedures (Council%20Grading/Untitled/Setting%20up%20the%20necessary%20governance%20procedures%207fb8c093f4d34b23b2fd2b22351c0b12.md), Introducing the OKR system (Council%20Grading/Untitled/Introducing%20the%20OKR%20system%2042933cab49fe4d698449afd50c4255f6.md), Finalizing exchange research and working out the next steps (Council%20Grading/Untitled/Finalizing%20exchange%20research%20and%20working%20out%20the%20n%203450241767b94f9ea02d25a3548b78ac.md), Increasing the staking percentage from 9% to 12% (Council%20Grading/Untitled/Increasing%20the%20staking%20percentage%20from%209%25%20to%2012%25%204583f637836741e6a278b85723e840b6.md), Developing a priority list for BWG (Council%20Grading/Untitled/Developing%20a%20priority%20list%20for%20BWG%207ebbd4ac29be49b78f147f551d0df5ab.md)",
Council Term 4,https://pioneerapp.xyz/#/forum/thread/116,803557,,,,,"777,603",Untitled (Council%20Grading/Untitled/Untitled%2007d05c3c3c294c4daf996aab16ee09b3.md),
,,,,,,Council Term 4 (Council%20Grading/Untitled/Council%20Term%204%203e661c15b4b9489db8889b18b15c673b.md),,,
Setting up the necessary governance procedures,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),,,1
Introducing the OKR system,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),,,2
Finalizing exchange research and working out the next steps,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),,,3
Increasing the staking percentage from 9% to 12%,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),,,4
Developing a priority list for BWG,,,,,,Council Term 3 (Council%20Grading/Untitled/Council%20Term%203%20ff51a96998154863960d03427d49d49e.md),,,5
