Name,Amount (spending proposal),Author,Blockheight,Community Roadmap - Mainnet,Council Approvals,Date,Proposal Number,Proposal Status,Proposal Type,Tags,Text,URL,Working Group
invalid rationale string,,mkblockchaindev,157074,,0,"December 20, 2022 19:42 (GMT+1)",1,,FundingRequestProposalDetails,,,,
invalid rationale string,,mkblockchaindev,157250,,0,"December 20, 2022 20:00 (GMT+1)",2,,FundingRequestProposalDetails,,,,
invalid rationale test1,,mkblockchaindev,157366,,0,"December 20, 2022 20:12 (GMT+1)",3,,FundingRequestProposalDetails,,,,
Test for invalid Rationale string,,mkblockchaindev,157401,,0,"December 20, 2022 20:15 (GMT+1)",4,,FundingRequestProposalDetails,,,,
#3994,,joystreamstats,185481,,0,"December 22, 2022 19:03 (GMT+1)",5,,UpdateWorkingGroupBudgetProposalDetails,,,,
test proposal,,0x2bc,281860,,0,"December 29, 2022 11:41 (GMT+1)",6,,UpdateWorkingGroupBudgetProposalDetails,,,,
test proposal,,0x2bc,281879,,0,"December 29, 2022 11:43 (GMT+1)",7,,UpdateWorkingGroupBudgetProposalDetails,,,,
test,,0x2bc,281893,,0,"December 29, 2022 11:45 (GMT+1)",8,,UpdateWorkingGroupBudgetProposalDetails,,,,
Hire Storage WG Lead,,abramaria_,350960,,1,"January 2, 2023 23:09 (GMT+1)",9,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Create Distribution WG Lead Opening,,abramaria_,351002,,1,"January 2, 2023 23:24 (GMT+1)",10,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Create Forum Lead Opening,,l1dev,355342,,1,"January 2, 2023 23:28 (GMT+1)",11,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Create Membershiip WG Lead Opening,,abramaria_,360689,,1,"January 3, 2023 13:41 (GMT+1)",12,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
MWG Lead Opening,,ismail,356890,,1,"January 3, 2023 14:46 (GMT+1)",13,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Update the Membership WG budget,,adovrn,356945,,1,"January 3, 2023 15:26 (GMT+1)",14,,UpdateWorkingGroupBudgetProposalDetails,,,,
App WG Lead,,ismail,358438,,1,"January 3, 2023 15:47 (GMT+1)",15,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Create Builders WG Lead Opening,,abramaria_,360681,,1,"January 3, 2023 15:49 (GMT+1)",16,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Council access to #announcements channel,,ismail,368107,,1,"January 3, 2023 17:42 (GMT+1)",17,,SignalProposalDetails,,,,
Fill Working Group Lead Opening,,abramaria_,360659,,1,"January 3, 2023 18:35 (GMT+1)",18,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Create Forum Working Group Lead Opening,,abramaria_,360674,,1,"January 3, 2023 18:58 (GMT+1)",19,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Hire Membership WG Lead,,adovrn,368092,,1,"January 4, 2023 9:00 (GMT+1)",20,,FillWorkingGroupLeadOpeningProposalDetails,,,,
