Name,Areas,Date Submitted,PR Link,Pre-Proposal Discussion,Proposal Author(s),Proposal Link,Status,Testnet,Type
Bots,"Bots, Forum, Governance, Hiring, Infrastructure, Thread, Tooling",,,,,,Draft,,Topic
Assest protection of Joystream DAO,,,,,,,,,Draft
Topic Discussion Process,"Governance, Vision","October 7, 2022",,https://dao.joystream.org/#/forum/thread/1841,tomato,https://dao.joystream.org/#/proposals/preview/766,Approved,Rhodes,"Draft, Process, Proposal"
Discord Channel Request: Community Roadmap,,,,,tomato,https://dao.joystream.org/#/proposals/preview/673,Under Vote,Rhodes,"Proposal, Request"
Initial Community Roadmap Draft,Governance,"September 11, 2022",https://github.com/Joystream/community-repo/pull/809,,tomato,https://dao.joystream.org/#/proposals/preview/643,Approved,Rhodes,"Draft, Proposal"
Genesis launch essential proposals/actions,"Community-roadmap, Council, Forum, Genesis, Governance, Hiring, Launch, Mainnet, Thread, Workflows",,,https://dao.joystream.org/#/forum/thread/1877,,,Pre-proposal discussion,Rhodes,Topic
Block Explorers for Joystream,"Infrastructure, Tooling","October 17, 2022",,https://dao.joystream.org/#/forum/thread/1876,tomato,https://dao.joystream.org/#/proposals/preview/832,Approved,Rhodes,Topic
,,,,,,,,,
Governance: tracking projects and tasks assigned to WGs,"Governance, Workflows",,,,,,,,Topic
,,,,,,,,,Proposal
Topic Template,,,,,,,Draft,,Template
Dedicated GitHub repo request: joystream/community-repo,,,,,,,Unwritten,Rhodes,"Proposal, Request"
Key Goals / Problems,"Governance, Vision",,,,,,Draft,,Topic
Wallet research,"Integrations, Research, Substrate, Wallets",,,,,,,,Topic
Council Leaderboard,"Analytics, Council, Governance, Leaderboard",,,,,,,,Topic
