Name,Tags,Term
Validator Count Increase post-mortem,Post-mortem,
Council Secretary Role,"Document, Role",
Daily Standup,Daily Standup,
Council Term 6 Plan,Plan,6
Notion Review,"Notion, Review",
Notion pre-proposal,"Notion, Pre-proposal",
leaderboard queries,,
Handbook Review,Handbook,
Costs / Tools,Tools,
Daily Update (DIscord / Forums),Updates,
“Baby handbook” pre-proposal,,
Baby Handbook Design,,
Council Sec Term 6 Report,Report,6
Election Status Bot,"Pre-proposal, Proposal",
Video engagement stats,Pre-proposal,
Ephesus upgrade post-mortem,,
Links for QN stuff,,
Joystream Bitcointalk Thread Draft,,
YPP channels matrix,,
