Name,Tags,Term
leaderboard queries,,
Notion Review,"Notion, Review",
Daily Standup,Daily Standup,
Notion pre-proposal,"Notion, Pre-proposal",
Handbook Review,Handbook,
Council Term 6 Plan,Plan,6
Council Secretary Role,"Document, Role",
Costs / Tools,Tools,
Daily Update (DIscord / Forums),Updates,
“Baby handbook” pre-proposal,,
Baby Handbook Design,,
Council Sec Term 6 Report,Report,6
Validator Count Increase post-mortem,Post-mortem,
Election Status Bot,"Pre-proposal, Proposal",
Video engagement stats,Pre-proposal,
Ephesus upgrade post-mortem,,
Links for QN stuff,,
Joystream Bitcointalk Thread Draft,,
YPP channels matrix,,
