id,"dataObjectsSize, bytes","dataObjectsSizeLimit, bytes",dataObjectsCount,bags,Utilization,"dataObjectsSize, GB"
6,920585269588,2000000000000,15076,654,0.460293,856.5
13,13226270,1500000000000,2,1,8.81751e-06,0.01
8,920585269588,1500000000000,15076,654,0.613724,856.5
9,2580456339,1000000000000,12,1,0.00258046,2.4
15,0,1500000000000,0,0,0,0
10,13226270,1500000000000,2,1,8.81751e-06,0.01
11,13226270,1500000000000,2,1,8.81751e-06,0.01
4,39678606,2000000000000,6,1,1.98393e-05,0.03
12,0,1500000000000,0,0,0,0
14,13226270,1500000000000,2,1,8.81751e-06,0.01
2,920585269588,1400000000000,15076,654,0.657561,856.5
3,920585269588,1400000000000,15076,654,0.657561,856.5
0,264524788,2000000000000,40,1,0.000132262,0.24
1,920585269588,2000000000000,15076,654,0.460293,856.5
