Utilization,bags,dataObjectsCount,"dataObjectsSize, GB","dataObjectsSize, bytes","dataObjectsSizeLimit, bytes",id
1.98393e-05,1,6,0.03,39678606,2000000000000,4
0.657561,654,15076,856.5,920585269588,1400000000000,3
8.81751e-06,1,2,0.01,13226270,1500000000000,13
0.613724,654,15076,856.5,920585269588,1500000000000,8
0.00258046,1,12,2.4,2580456339,1000000000000,9
8.81751e-06,1,2,0.01,13226270,1500000000000,14
0.460293,654,15076,856.5,920585269588,2000000000000,6
0.460293,654,15076,856.5,920585269588,2000000000000,1
8.81751e-06,1,2,0.01,13226270,1500000000000,11
0,0,0,0,0,1500000000000,15
0,0,0,0,0,1500000000000,12
0.000132262,1,40,0.24,264524788,2000000000000,0
8.81751e-06,1,2,0.01,13226270,1500000000000,10
0.657561,654,15076,856.5,920585269588,1400000000000,2
