id,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB",Title
0,2000000000000,40,1,0%,0.2,
1,2000000000000,15332,656,47%,866.3,
2,1400000000000,15332,656,67%,866.3,
3,1400000000000,15332,656,67%,866.3,
4,2000000000000,0,0,0%,0,
6,2000000000000,15332,656,47%,866.3,
8,1500000000000,15332,656,62%,866.3,
9,1000000000000,12,1,0%,2.4,
10,1500000000000,2,1,0%,0,
11,1500000000000,2,1,0%,0,
12,1500000000000,0,0,0%,0,
13,1500000000000,2,1,0%,0,
14,1500000000000,2,1,0%,0,
15,1500000000000,0,0,0%,0,
