Title,Utilization,bags,dataObjectsCount,"dataObjectsSize, GB",dataObjectsSizeLimit,id
,67%,656,15332,866.3,1400000000000,3
,0%,1,12,2.4,1000000000000,9
,0%,1,40,0.2,2000000000000,0
,47%,656,15332,866.3,2000000000000,6
,62%,656,15332,866.3,1500000000000,8
,0%,1,2,0,1500000000000,13
,0%,1,2,0,1500000000000,11
,67%,656,15332,866.3,1400000000000,2
,0%,1,2,0,1500000000000,14
,0%,0,0,0,1500000000000,12
,0%,1,2,0,1500000000000,10
,47%,656,15332,866.3,2000000000000,1
,0%,0,0,0,1500000000000,15
,0%,0,0,0,2000000000000,4
