id,dataObjectsSize,dataObjectsSizeLimit,dataObjectsCount,bags,Utilization,"dataObjectsSize, GB"
0,264524788,2000000000000,40,1,0%,"0,25"
1,943109001423,2000000000000,15426,660,47%,"877,48"
2,943109001423,1400000000000,15426,660,67%,"877,48"
3,943109001423,1400000000000,15426,660,67%,"877,48"
4,0,2000000000000,0,0,0%,"0,00"
6,943109001423,2000000000000,15426,660,47%,"877,48"
8,943109001423,1500000000000,15426,660,63%,"877,48"
9,2580456339,1000000000000,12,1,0%,"2,40"
10,13226270,1500000000000,2,1,0%,"0,01"
11,13226270,1500000000000,2,1,0%,"0,01"
12,0,1500000000000,0,0,0%,"0,00"
13,13226270,1500000000000,2,1,0%,"0,01"
14,13226270,1500000000000,2,1,0%,"0,01"
15,0,1500000000000,0,0,0%,"0,00"
