Title,average_size bytes,id,objects_num,total_size bytes
,163018732,2221,6,978112392
,82805597,2118,2,165611194
,3038478,2662,6,18230870
,581407193,2298,4,2325628774
,175436951,2217,6,1052621711
,213058048,2324,2,426116097
,21760316,2075,8,174082532
,10614144,2652,14,148598026
,146130,2664,2,292260
,1746088249,2320,2,3492176499
,80872771,2408,2,161745542
,95496939,2198,6,572981635
,17840014,2665,4,71360056
,22184487,2604,4,88737948
,14182707,2639,6,85096242
,116061163,2318,2,232122327
,11078943,2150,4,44315775
,257753126,2310,6,1546518756
,11106,2059,1,11106
,162719871,2171,6,976319226
,7477817,2129,2,14955635
,5006203,2663,4,20024812
