Utilization,bags,dataObjectsCount,dataObjectsSize,"dataObjectsSize, GB",dataObjectsSizeLimit,id
0.00258046,1,12,2580456339,2.40089,1000000000000,9
0,0,0,0,0,1500000000000,15
0.639122,696,15753,958682590263,891.972,1500000000000,14
0.478722,663,15614,957443207864,890.819,2000000000000,1
0,0,0,0,0,1500000000000,12
0.000132262,1,40,264524788,0.246118,2000000000000,0
0.000805015,2,10,1207522722,1.1235,1500000000000,16
0.000808379,5,19,1212567938,1.12819,1500000000000,17
8.81751e-06,1,2,13226270,0.0123059,1500000000000,11
0.68528,692,15693,959392475999,892.632,1400000000000,3
8.81751e-06,1,2,13226270,0.0123059,1500000000000,13
8.81751e-06,1,2,13226270,0.0123059,1500000000000,10
0.68528,692,15693,959392475999,892.632,1400000000000,2
0,0,0,0,0,2000000000000,4
0.479093,690,15684,958185023157,891.509,2000000000000,6
0.639595,690,15689,959392320545,892.632,1500000000000,8
