Bag ID,ObjectNumber,"Objects size, MB","Objects size, average, MB"
2000,12,"2580,5","215,0"
2001,114,"13509,2","118,5"
2002,2,"0,0","0,0"
2003,2,"0,1","0,1"
2004,2,"0,0","0,0"
2005,2,"0,1","0,0"
2006,2,"0,1","0,0"
2007,2,"0,1","0,0"
2008,2,"0,1","0,1"
2009,2,"0,1","0,0"
2010,2,"0,1","0,0"
2011,2,"0,1","0,0"
2012,2,"0,2","0,1"
2013,2,"0,1","0,0"
2014,2,"0,1","0,1"
2015,2,"0,1","0,0"
2016,2,"0,1","0,0"
2017,2,"0,1","0,1"
2018,2,"0,2","0,1"
2019,2,"0,1","0,0"
2020,144,"2510,1","17,4"
2021,26,"2118,7","81,5"
2022,53,"677,0","12,8"
2023,8,"730,4","91,3"
2024,6,"11,7","2,0"
2025,8,"27,0","3,4"
2026,68,"1126,2","16,6"
2027,15,"154,6","10,3"
2028,4,"9,2","2,3"
2029,26,"5404,2","207,9"
2030,4,"110,4","27,6"
2031,66,"2058,6","31,2"
2032,4,"1,9","0,5"
2033,9,"594,4","66,0"
2034,17,"79,6","4,7"
2035,30,"8789,3","293,0"
2036,26,"2211,2","85,0"
2037,40,"3328,2","83,2"
2038,6,"230,5","38,4"
2039,74,"16899,0","228,4"
2040,4,"1228,5","307,1"
2041,4,"162,3","40,6"
2042,112,"533,0","4,8"
2043,7,"253,9","36,3"
2044,74,"1105,3","14,9"
2045,933,"43241,1","46,3"
2046,52,"3855,3","74,1"
2047,234,"15402,4","65,8"
2048,58,"3024,3","52,1"
2049,94,"4768,7","50,7"
2050,34,"6827,8","200,8"
2051,54,"1723,5","31,9"
2052,4,"87,6","21,9"
2053,22,"327,6","14,9"
2054,16,"1423,7","89,0"
2055,6,"1973,5","328,9"
2056,14,"337,1","24,1"
2057,22,"208,4","9,5"
2058,36,"2510,4","69,7"
2059,32,"4014,0","125,4"
2060,55,"5268,8","95,8"
2061,50,"8980,2","179,6"
2062,164,"8865,4","54,1"
2063,4,"4,2","1,1"
2064,60,"1014,8","16,9"
2065,14,"9516,6","679,8"
2066,2,"12,4","6,2"
2067,4,"184,1","46,0"
2068,44,"19821,6","450,5"
2069,9,"2109,3","234,4"
2070,35,"1086,3","31,0"
2071,13,"8602,3","661,7"
2072,304,"24342,4","80,1"
2073,12,"1277,3","106,4"
2074,12,"543,5","45,3"
2075,126,"1590,2","12,6"
2076,6,"40,2","6,7"
2077,87,"8327,4","95,7"
2078,6,"1,2","0,2"
2079,180,"5389,6","29,9"
2080,65,"2984,1","45,9"
2081,41,"2226,6","54,3"
2082,99,"6500,8","65,7"
2083,48,"3058,9","63,7"
2084,92,"4587,8","49,9"
2085,26,"443,3","17,1"
2086,94,"9609,7","102,2"
2087,244,"9777,3","40,1"
2088,130,"5185,7","39,9"
2089,185,"9741,6","52,7"
2090,23,"740,2","32,2"
2091,48,"1480,1","30,8"
2092,243,"10116,9","41,6"
2093,16,"1706,6","106,7"
2094,44,"21364,8","485,6"
2095,84,"3836,9","45,7"
2096,126,"5724,6","45,4"
2097,83,"5345,2","64,4"
2098,128,"7710,9","60,2"
2099,6,"158,0","26,3"
2100,139,"4285,4","30,8"
2101,170,"9416,4","55,4"
2102,50,"3823,6","76,5"
2103,54,"3658,5","67,8"
2104,112,"7513,8","67,1"
2105,10,"104,9","10,5"
2106,5,"44,5","8,9"
2107,107,"3054,0","28,5"
2108,43,"4972,8","115,6"
2109,48,"4515,0","94,1"
2110,40,"1382,6","34,6"
2111,38,"3157,1","83,1"
2112,66,"32119,9","486,7"
2113,11,"977,8","88,9"
2114,4,"27,5","6,9"
2115,10,"2817,0","281,7"
