Title,bucket,createdAt,id,size,"size, MB"
,2333,11.05.2022,14286,13208090,"12,6"
,2333,11.05.2022,14304,13208090,"12,6"
,2603,11.05.2022,14296,8127309,"7,8"
,2333,11.05.2022,14298,13208090,"12,6"
,2603,11.05.2022,14294,8127309,"7,8"
,2333,11.05.2022,14289,18180,"0,0"
,2333,11.05.2022,14288,13208090,"12,6"
,2333,11.05.2022,14285,18180,"0,0"
,2333,11.05.2022,14282,13208090,"12,6"
,2333,11.05.2022,14301,18180,"0,0"
,2602,10.05.2022,14260,5790,"0,0"
,2333,11.05.2022,14300,13208090,"12,6"
,2333,11.05.2022,14303,18180,"0,0"
,2333,11.05.2022,14287,18180,"0,0"
,2333,11.05.2022,14302,13208090,"12,6"
,2333,11.05.2022,14299,18180,"0,0"
,2333,11.05.2022,14284,13208090,"12,6"
,2333,11.05.2022,14305,18180,"0,0"
,2333,11.05.2022,14283,18180,"0,0"
