"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"1723,5",2051,54,"31,9"
"17516,9",2126,341,"51,4"
"0,5",2593,4,"0,1"
"5185,7",2088,130,"39,9"
"273,8",2623,4,"68,5"
"1699,8",2130,6,"283,3"
"15,4",2451,4,"3,9"
"0,0",2238,1,"0,0"
"23,9",2302,6,"4,0"
"6,3",2468,6,"1,1"
"46,7",2514,4,"11,7"
"19,2",2586,4,"4,8"
"4515,0",2109,48,"94,1"
"2984,1",2080,65,"45,9"
"0,0",2261,2,"0,0"
"216,5",2278,2,"108,3"
"5268,8",2060,55,"95,8"
"0,5",2629,2,"0,2"
"4,3",2595,4,"1,1"
"4,9",2419,4,"1,2"
"39,7",2335,6,"6,6"
"804,0",2254,42,"19,1"
"27,5",2384,4,"6,9"
"6,0",2493,4,"1,5"
"10,5",2372,4,"2,6"
"3,5",2377,4,"0,9"
"523,9",2248,20,"26,2"
"32119,9",2112,66,"486,7"
"2,3",2299,3,"0,8"
"3898,2",2046,54,"72,2"
"9,8",2510,4,"2,5"
"8,8",2438,4,"2,2"
"1,9",2446,4,"0,5"
"6,5",2478,8,"0,8"
"0,8",2355,4,"0,2"
"40,2",2076,6,"6,7"
"6,7",2591,4,"1,7"
"27,0",2025,8,"3,4"
"242,7",2273,8,"30,3"
"289,5",2198,24,"12,1"
"0,2",2190,2,"0,1"
"8,9",2548,8,"1,1"
"14,8",2396,4,"3,7"
"8,2",2386,4,"2,1"
"495,8",2606,4,"124,0"
"5,0",2353,4,"1,2"
"297,6",2283,4,"74,4"
"1973,5",2055,6,"328,9"
"6,4",2347,4,"1,6"
"20,6",2583,4,"5,2"
"17,3",2482,8,"2,2"
"1,6",2460,4,"0,4"
"4768,7",2049,94,"50,7"
"12,4",2066,2,"6,2"
"13,6",2303,3,"4,5"
"0,0",2211,1,"0,0"
"154,6",2027,15,"10,3"
"2788,3",2287,10,"278,8"
"14,0",2213,5,"2,8"
"2,0",2371,4,"0,5"
"39,7",2332,6,"6,6"
"8610,4",2071,17,"506,5"
"3994,9",2210,14,"285,3"
"3024,3",2048,58,"52,1"
"6,5",2401,4,"1,6"
"1,6",2597,4,"0,4"
"0,0",2004,2,"0,0"
"21364,8",2094,44,"485,6"
"81,9",2480,4,"20,5"
"0,1",2009,2,"0,0"
"21,7",2352,8,"2,7"
"52,9",2193,9,"5,9"
"6,3",2585,4,"1,6"
"0,0",2231,2,"0,0"
"4,7",2383,4,"1,2"
"8,3",2418,4,"2,1"
"9,5",2498,10,"0,9"
"229,3",2166,4,"57,3"
"132,9",2169,7,"19,0"
"0,1",2218,2,"0,1"
"8980,2",2061,50,"179,6"
"0,0",2184,1,"0,0"
"0,2",2012,2,"0,1"
"0,0",2252,0,#DIV/0!
"15,4",2411,4,"3,8"
"5,7",2524,4,"1,4"
"2,5",2467,8,"0,3"
"19,0",2521,4,"4,8"
"295,7",2507,6,"49,3"
"14,5",2325,4,"3,6"
"265,5",2343,14,"19,0"
"1590,2",2075,126,"12,6"
"150,1",2241,2,"75,1"
"10,6",2487,8,"1,3"
"0,1",2005,2,"0,0"
"2406,3",2145,94,"25,6"
"6,0",2412,4,"1,5"
"9416,4",2101,170,"55,4"
"8,4",2494,4,"2,1"
"0,0",2628,0,#DIV/0!
"51,8",2503,8,"6,5"
"19,6",2454,4,"4,9"
"0,0",2247,0,#DIV/0!
"234,6",2257,20,"11,7"
"1,1",2415,4,"0,3"
"672,6",2236,82,"8,2"
"8,6",2544,4,"2,2"
"2109,3",2069,9,"234,4"
"3,0",2381,4,"0,8"
"15224,1",2139,400,"38,1"
"8,7",2560,4,"2,2"
"1014,8",2064,60,"16,9"
"1,8",2556,4,"0,5"
"17621,0",2159,302,"58,3"
"9,0",2531,4,"2,3"
"5,1",2427,4,"1,3"
"8,8",2350,4,"2,2"
"3389,4",2194,11,"308,1"
"264,5",2333,40,"6,6"
"14,8",2296,2,"7,4"
"52,1",2155,5,"10,4"
"4743,8",2154,198,"24,0"
"40,4",2222,8,"5,1"
"14,9",2453,6,"2,5"
"15296,2",2289,36,"424,9"
"540,4",2612,2,"270,2"
