Bag ID,ObjectNumber,"Objects size, MB","Objects size, average, MB"
2000,12,"2460,9","205,1"
2001,145,"17024,9","117,4"
2002,2,"0,0","0,0"
2003,2,"0,1","0,1"
2004,2,"0,0","0,0"
2005,2,"0,0","0,0"
2006,2,"0,1","0,0"
2007,2,"0,1","0,0"
2008,2,"0,1","0,1"
2009,2,"0,1","0,0"
2010,2,"0,1","0,0"
2011,2,"0,1","0,0"
2012,2,"0,2","0,1"
2013,2,"0,1","0,0"
2014,2,"0,1","0,1"
2015,2,"0,1","0,0"
2016,2,"0,1","0,0"
2017,2,"0,1","0,1"
2018,2,"0,2","0,1"
2019,2,"0,1","0,0"
2020,144,"2393,8","16,6"
2021,26,"2020,5","77,7"
2022,53,"645,7","12,2"
2023,8,"696,5","87,1"
2024,6,"11,2","1,9"
2025,8,"25,8","3,2"
2026,68,"1074,0","15,8"
2027,15,"147,4","9,8"
2028,4,"8,7","2,2"
2029,26,"5153,8","198,2"
2030,4,"105,3","26,3"
2031,66,"1963,2","29,7"
2032,4,"1,8","0,4"
2033,9,"566,9","63,0"
2034,17,"75,9","4,5"
2035,30,"8382,1","279,4"
2036,26,"2108,7","81,1"
2037,40,"3174,0","79,3"
2038,6,"219,8","36,6"
2039,74,"16116,2","217,8"
2040,4,"1171,6","292,9"
2041,4,"154,8","38,7"
2042,112,"508,3","4,5"
2043,7,"242,2","34,6"
2044,74,"1054,1","14,2"
2045,933,"41237,9","44,2"
2046,54,"3717,6","68,8"
2047,234,"14688,8","62,8"
2048,58,"2884,2","49,7"
2049,94,"4547,8","48,4"
2050,34,"6511,5","191,5"
2051,54,"1643,7","30,4"
2052,4,"83,6","20,9"
2053,22,"312,4","14,2"
2054,16,"1357,7","84,9"
2055,6,"1882,0","313,7"
2056,14,"321,5","23,0"
2057,22,"198,7","9,0"
2058,36,"2394,1","66,5"
2059,34,"3834,0","112,8"
2060,55,"5024,7","91,4"
2061,50,"8564,1","171,3"
2062,164,"8454,7","51,6"
2063,4,"4,0","1,0"
2064,60,"967,8","16,1"
2065,14,"9075,8","648,3"
2066,2,"11,8","5,9"
2067,4,"175,6","43,9"
2068,44,"18903,4","429,6"
2069,9,"2011,6","223,5"
