"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"1318,6",2110,40,"33,0"
"219,8",2038,6,"36,6"
"13,4",2422,4,"3,4"
"253,2",2343,14,"18,1"
"0,0",2178,0,#DIV/0!
"25,8",2025,8,"3,2"
"5822,6",2604,270,"21,6"
"8914,0",2152,168,"53,1"
"9324,3",2087,244,"38,2"
"0,1",2637,2,"0,0"
"0,0",2622,2,"0,0"
"16705,5",2126,341,"49,0"
"3489,1",2103,54,"64,6"
"641,5",2236,82,"7,8"
"526,5",2328,32,"16,5"
"2746,2",2162,62,"44,3"
"5,2",2554,8,"0,7"
"870,0",2219,4,"217,5"
"4,6",2567,4,"1,1"
"0,0",2252,0,#DIV/0!
"16,7",2452,6,"2,8"
"8,4",2450,4,"2,1"
"4,5",2383,4,"1,1"
"0,1",2019,2,"0,0"
"437,9",2208,22,"19,9"
"69,7",2489,14,"5,0"
"3,7",2345,6,"0,6"
"3,1",2523,6,"0,5"
"83,6",2052,4,"20,9"
"0,1",2010,2,"0,0"
"12,5",2280,2,"6,2"
"2686,5",2115,10,"268,7"
"0,0",2165,1,"0,0"
"0,0",2253,0,#DIV/0!
"0,4",2331,2,"0,2"
"4,4",2388,4,"1,1"
"19,7",2583,4,"4,9"
"3,5",2572,4,"0,9"
"5,5",2578,4,"1,4"
"1,2",2502,6,"0,2"
"18,4",2536,4,"4,6"
"0,0",2344,2,"0,0"
"6622,7",2186,54,"122,6"
"30631,9",2112,66,"464,1"
"2659,1",2287,10,"265,9"
"0,0",2646,1,"0,0"
"607,1",2141,40,"15,2"
"0,0",2314,0,#DIV/0!
"2393,8",2020,144,"16,6"
"2,4",2467,8,"0,3"
"129,0",2266,2,"64,5"
"0,0",2235,0,#DIV/0!
"12,9",2519,4,"3,2"
"47,7",2472,4,"11,9"
"0,0",2290,0,#DIV/0!
"0,0",2636,0,#DIV/0!
"4,6",2423,4,"1,2"
"6648,6",2138,13,"511,4"
"5153,8",2029,26,"198,2"
"7,1",2370,4,"1,8"
"1882,0",2055,6,"313,7"
"1,2",2404,4,"0,3"
"37,9",2243,7,"5,4"
"0,0",2326,0,#DIV/0!
"321,5",2056,14,"23,0"
"771,9",2119,37,"20,9"
"6,2",2478,8,"0,8"
"3,1",2513,4,"0,8"
"3,0",2589,4,"0,8"
"8,2",2319,4,"2,1"
"147,4",2027,15,"9,8"
"3659,1",2095,84,"43,6"
"147,6",2221,6,"24,6"
"1148,3",2315,4,"287,1"
"22,2",2471,6,"3,7"
"1,8",2446,4,"0,4"
"18,3",2586,4,"4,6"
"0,0",2256,0,#DIV/0!
"9,8",2551,4,"2,4"
"11,4",2465,4,"2,8"
"13,7",2420,4,"3,4"
"4,7",2525,4,"1,2"
"7,8",2541,4,"2,0"
"9,3",2389,4,"2,3"
"58,0",2267,2,"29,0"
"0,0",2242,2,"0,0"
"2394,1",2058,36,"66,5"
"23214,7",2072,304,"76,4"
"0,1",2232,3,"0,0"
"9164,5",2086,94,"97,5"
"0,2",2190,2,"0,1"
"8,0",2540,10,"0,8"
"46,5",2630,4,"11,6"
"7,7",2518,6,"1,3"
"242,2",2043,7,"34,6"
"12,6",2633,2,"6,3"
"1,1",2346,4,"0,3"
"0,8",2596,4,"0,2"
"3,0",2373,6,"0,5"
"2,3",2496,4,"0,6"
"7,6",2508,4,"1,9"
"5,2",2276,2,"2,6"
"26,7",2577,4,"6,7"
"252,3",2333,40,"6,3"
"2108,7",2036,26,"81,1"
"1537,2",2140,38,"40,5"
"4,9",2642,6,"0,8"
