createdAt,id,"size, MB","size, bytes",storageBagId
07.07.2022,14879,"15,59",16344153,2604
09.07.2022,14937,"0,01",10644,2639
07.07.2022,14880,"0,01",6298,2604
07.07.2022,14896,"0,01",13622,2604
09.07.2022,14939,"0,04",40668,2198
07.07.2022,14907,"29,36",30790234,2604
07.07.2022,14882,"0,01",6308,2604
06.07.2022,14871,"3217,65",3373945809,2310
12.07.2022,14966,"23,26",24391109,2604
07.07.2022,14891,"116,36",122011088,2604
07.07.2022,14908,"0,01",12764,2604
08.07.2022,14925,"2,72",2848208,2239
07.07.2022,14873,"18,06",18937174,2604
09.07.2022,14941,"0,04",40668,2198
08.07.2022,14924,"0,02",18394,2239
09.07.2022,14943,"0,01",13428,2604
08.07.2022,14920,"0,01",12568,2604
08.07.2022,14923,"2,72",2848208,2239
07.07.2022,14892,"0,01",13254,2604
07.07.2022,14905,"29,36",30790234,2604
