Property,average_size bytes,id,objects_num,total_size bytes
,4133095,2390,4,16532381
,425919,2182,6,2555517
,39503642,2323,12,474043711
,685827,2554,8,5486618
,22412119,2129,11,246533312
,309868379,2225,12,3718420550
,38811763,2183,7,271682346
,11061,2653,2,22122
,5878306,2193,9,52904762
,2928995,2656,4,11715980
,25287,2285,2,50574
,1344953,2626,8,10759628
,16913153,2064,60,1014789234
,16347639,2447,4,65390556
,12773878,2022,53,677015569
,55780097,2127,354,19746154580
,45290287,2074,12,543483445
,6888930,2529,8,55111446
,884441,2481,8,7075532
,866716,2477,6,5200298
,711711,2485,4,2846846
,78505262,2269,60,4710315731
,22595852,2604,302,6823947493
,20241,2242,2,40482
,2082897,2418,4,8331588
,2587868,2426,4,10351473
,1578553,2441,2,3157106
,6613135,2633,2,13226270
,3941373,2563,6,23648240
,1575119,2585,4,6300478
,10299252,2448,4,41197011
,10868076,2570,4,43472304
,8172,2211,1,8172
,57332450,2166,4,229329802
,6822313,2360,4,27289254
,11412955,2574,4,45651820
,7388536,2296,2,14777073
,39235744,2233,12,470828936
,51680312,2049,98,5064670582
,3972603,2568,4,15890413
,2502866,2279,4,10011464
,123950517,2606,4,495802071
,2802313,2213,5,14011566
,70618238,2206,168,11863864043
,54057079,2062,164,8865361068
,3377415,2025,8,27019327
,26196448,2248,20,523928979
,6613135,2228,2,13226270
,752794331,2275,4,3011177326
,65822092,2047,234,15402369566
,6613101,2336,6,39678606
,19224775,2590,4,76899100
,29083695,2196,42,1221515199
,42740269,2136,222,9488339800
,2114726,2449,4,8458904
,1487728,2412,4,5950915
,4878597,2300,4,19514389
,7628804,2579,4,30515216
,2489605,2397,4,9958421
,2727251,2387,3,8181754
,1143646,2486,4,4574587
,2198646,2450,4,8794586
,1322941,2542,4,5291764
,26330930,2099,6,157985584
,403516,2434,4,1614064
,41633233,2092,243,10116875645
,406050069,2195,4,1624200276
,286922480,2197,6,1721534883
,91079832,2137,106,9654462279
,51369350,2126,341,17516948444
,1238465,2353,4,4953863
,67087343,2104,112,7513782443
,10428162,2155,5,52140811
,25992,2443,2,51984
,128600459,2186,54,6944424801
,9721370,2458,6,58328220
,127868,2483,8,1022945
,639467,2379,4,2557870
,6050358,2227,28,169410029
,68457967,2623,4,273831870
,217854,2331,2,435708
,7234574,2282,22,159160635
,2625347,2361,4,10501391
,457842,2556,4,1831369
,63726335,2083,48,3058864111
,55361,2008,2,110722
,4830527,2536,4,19322110
,121744,2593,4,486978
,6193166,2066,2,12386332
,9875,2608,2,19750
,25598992,2145,94,2406305278
,83080542,2111,38,3157060604
,16129470,2149,4,64517882
,1199775,2567,4,4799103
,1987300,2508,4,7949200
,3002860,2322,4,12011440
,46035633,2067,4,184142533
,876911,2435,4,3507645
,40530,2010,2,81060
,929842,2466,4,3719368
,111574789,2122,4,446299158
,632241,2366,4,2528966
,21904297,2052,4,87617190
,49282810,2507,6,295696862
,141127600,2161,18,2540296800
,17431043,2020,144,2510070296
,12386530,2639,46,569780392
,75022,2651,1,75022
,57956,2218,2,115912
,4445,2622,2,8890
,6678745,2490,4,26714983
,1005404,2430,4,4021617
,1307791,2549,4,5231164
,948247,2498,10,9482470
,36191,2188,2,72382
,6202,2184,1,6202
,309634,2467,8,2477073
,20731,2261,2,41462
,881488,2377,4,3525955
,3619447,2325,4,14477791
,86411468,2181,80,6912917468
,187717,2382,4,750868
,228365365,2039,74,16899037014
,4761694,2521,4,19046776
,52657186,2089,185,9741579444
,199178,2078,6,1195069
,6710295,2402,4,26841183
,264399,2415,4,1057597
,213143,2417,4,852573
,679758628,2065,14,9516620800
,12906469,2624,8,103251758
,52142743,2048,58,3024279149
,3643273,2216,2,7286547
,871301,2436,4,3485207
,5717480,2327,4,22869920
,2741612,2276,2,5483224
,1133600,2545,4,4534403
,420285571,2246,4,1681142285
,38001930,2143,5,190009652
,1950755,2432,4,7803021
,31495555,2202,68,2141697746
,2697452,2532,8,21579620
,6867150,2384,4,27468600
,74402320,2283,4,297609282
,6272543,2640,6,37635261
,2022542,2297,3,6067626
,30834485,2091,48,1480055289
,613479,2496,4,2453919
,1815605,2421,4,7262420
,17050244,2085,26,443306368
,2432963,2389,4,9731853
,30332471,2273,8,242659771
,11732131,2257,20,234642635
,281701341,2115,10,2817013416
,142571,2306,2,285142
,8260620,2533,4,33042480
,1804289,2433,4,7217156
,29466,2307,2,58932
,9435788,2351,4,37743155
,7040675,2573,4,28162703
,579061,2367,4,2316244
,2419923,2445,4,9679694
,67750807,2103,54,3658543619
,3596683,2420,4,14386733
,96871,2190,2,193742
,425385,2575,4,1701540
,483162,2564,4,1932651
,4989216,2547,4,19956867
,6472529,2503,8,51780232
,4162117,2550,4,16648468
,979425,2587,4,3917701
,16439356,2652,10,164393568
,58347539,2159,302,17620956900
,2449834,2546,4,9799339
,2521287,2528,4,10085151
,8064297,2647,4,32257190
,16561053,2026,68,1126151665
,1405832,2357,4,5623328
,1049972,2462,4,4199888
,7177875,2277,22,157913261
,389487,2565,8,3115901
,21298543,2174,4,85194175
,1222842,2525,4,4891369
,179603181,2061,50,8980159082
,19143680,2254,42,804034560
,4436696,2520,4,17746785
,36251,2011,2,72502
,4358292,2539,4,17433171
,1625029,2399,4,6500116
,15882553,2128,48,762362567
,75064585,2241,2,150129170
,61281675,2217,8,490253406
,65664859,2082,99,6500821051
,14987,2004,2,29974
,1648681,2581,4,6594725
,3521787,2422,4,14087149
,6613101,2334,6,39678606
,49227024,2191,42,2067535041
,6317196,2224,22,138978322
,41704235,2260,4,166816943
,270217862,2612,2,540435724
,12733,2610,2,25466
,1132000,2375,4,4528002
,2021177,2605,4,8084710
,58010255,2158,274,15894809877
,1443032,2578,4,5772129
,5220988,2489,14,73093832
,2291578,2028,4,9166313
,1569988,2598,4,6279954
,5671445,2243,7,39700116
,1820939,2515,4,7283759
,210269,2596,4,841079
,108252016,2278,2,216504032
,40303907,2125,86,3466136034
,87461198,2250,20,1749223967
,411955,2597,4,1647820
,111848242,2059,36,4026536738
,27003,2286,2,54006
,65315,2003,2,130630
,390268870,2151,5,1951344352
,55973262,2259,9,503759364
,575625,2464,4,2302501
,102905136,2133,8,823241095
,36548427,2249,80,2923874213
,2204699,2534,6,13228198
,76472872,2102,50,3823643636
,88888639,2113,11,977775034
,39099516,2198,66,2580568103
,28541656,2107,107,3053957233
,31036834,2070,35,1086289213
,2844592,2400,4,11378370
,3697843,2627,2,7395687
,572496,2398,4,2289985
,31356,2232,3,94068
,768354,2299,3,2305064
,689416,2368,4,2757664
,811428,2513,4,3245713
,21766,2231,2,43532
,46993469,2309,4,187973877
,2479998,2470,4,9919995
,20467235,2480,4,81868941
,285769,2346,4,1143076
,413137536,2148,60,24788252201
,313149,2404,4,1252596
,2194649,2350,4,8778599
,45909325,2080,65,2984106180
,10378,2349,2,20756
,215038028,2000,12,2580456339
,814483,2478,8,6515868
,4768539,2516,4,19074159
,341322,2439,4,1365289
,31916898,2051,54,1723512509
,2074014,2512,4,8296059
,390662,2460,4,1562651
,21084094,2240,4,84336377
,2709459,2352,8,21675672
,8202793,2236,82,672629036
,1700631,2239,12,20407579
,25799300,2221,6,154795805
,6348,2356,1,6348
,199627149,2659,7,1397390043
,2829934,2526,6,16979606
,45433269,2096,126,5724591918
,60241365,2098,128,7710894729
,6917391,2621,4,27669564
,246306,2559,4,985226
,21874195,2119,37,809345247
,137334280,2157,32,4394696967
,274574719,2234,6,1647448314
,98591887,2192,8,788735097
,33065,2015,2,66130
,91715,2012,2,183430
,6613135,2244,10,66131350
,564779,2580,4,2259116
,6613135,2332,6,39678810
,5274689,2378,4,21098756
,278828038,2287,10,2788280385
,88396372,2171,44,3889440381
,1326307,2487,8,10610457
,25907,2272,2,51814
,68108,2180,2,136216
,11665053,2514,4,46660215
,94062512,2109,48,4515000582
,14888888,2053,22,327555542
,536275597,2138,13,6971582762
,58214,2014,2,116428
,20870315,2208,22,459146947
,95795856,2060,55,5268772092
,3277372,2395,4,13109488
,3929409,2562,4,15717637
,8689287,2132,5,43446439
,107083817,2146,14,1499173443
,19031,2262,2,38062
,17427028,2172,23,400821659
,2045868,2541,4,8183474
,6134863,2553,12,73618366
,6314986,2175,11,69464848
,732230,2403,4,2928920
,744680,2584,4,2978720
,38600793,2117,5,193003969
,12500789,2472,4,50003156
,95717026,2077,87,8327381275
,792920,2589,4,3171681
,34565789,2110,40,1382631599
,49867481,2084,92,4587808293
,2252784,2475,6,13516706
,4900989,2454,4,19603958
,6613135,2634,2,13226270
,307130328,2040,4,1228521312
,106439494,2073,12,1277273931
,29942355,2079,180,5389623984
,396493402,2310,76,30133498596
,111303258,2118,70,7791228073
,3668,2238,1,3668
,6613101,2338,6,39678606
,64392,2017,2,128784
,1836078,2571,4,7344315
,95096067,2318,34,3233266302
,15915636,2141,40,636625460
,328911706,2055,6,1973470236
,3173405,2392,4,12693621
,865941021,2168,10,8659410214
,7790,2631,2,15580
,3444871,2374,4,13779485
,172821980,2644,5,864109903
,1854197,2552,4,7416788
,6613101,2335,6,39678606
,72376946,2185,7,506638628
,3475008,2511,4,13900034
,1956883,2024,6,11741301
,88024467,2342,4,352097870
,2634605,2372,4,10538420
,2475031,2453,6,14850186
,2153979,2544,4,8615919
,2948782,2491,4,11795128
,1113422,2548,8,8907380
,2118357,2437,4,8473430
,1488842,2493,4,5955370
,29615,2013,2,59230
,123208725,2312,2,246417451
,4809149,2586,4,19236596
,38060301,2139,400,15224120644
,840827,2535,4,3363308
,5017812,2308,8,40142500
,1217894,2419,4,4871579
,2748904,2321,4,10995618
,21598330,2187,6,129589980
,450491639,2068,44,19821632143
,14938230,2167,4,59752921
,2452690,2510,4,9810760
,11914119,2164,4,47656478
,19422238,2220,22,427289253
,3886703,2459,4,15546812
,1309187,2569,4,5236751
,78277673,2320,26,2035219499
,614971,2380,4,2459887
,63203104,2294,3,189609313
,2257891,2531,4,9031565
,32182649,2090,23,740200939
,23363623,2258,12,280363479
,85044940,2036,26,2211168465
,247529,2629,2,495059
,197960,2558,4,791840
,309367,2484,6,1856202
,31741494,2200,30,952244820
,1287694,2354,4,5150778
,915582,2572,4,3662331
,234368861,2069,9,2109319755
,55637036,2152,168,9347022065
,25053,2005,2,50106
,210117,2355,4,840471
,1439646,2442,4,5758586
,1334655,2555,4,5338622
,301027504,2315,4,1204110016
,5919968,2522,6,35519810
,17899298,2609,12,214791581
,3980915,2302,6,23885495
,2100885,2494,4,8403541
,2825856,2409,4,11303427
,3847252,2411,4,15389009
,2810196,2600,6,16861179
,64399836,2097,83,5345186456
,17364730,2160,250,4341182707
,67644908,2266,2,135289817
,4959178,2455,4,19836713
,11443820,2479,4,45775280
,52478650,2142,124,6507352696
,2384260,2410,4,9537042
,639800,2345,6,3838804
,1903410,2543,4,7613643
,6993344,2577,4,27973376
,5050382,2226,8,40403061
,27595763,2030,4,110383055
,122532153,2317,4,490128614
,7719703,2499,6,46318218
,4682222,2034,17,79597776
,37656,2006,2,75312
,285349380,2210,14,3994891321
,14273679,2075,162,2312336072
,1703814,2576,4,6815257
,2827668,2124,8,22621345
,6613135,2229,4,26452540
,2556772,2551,4,10227088
,1262878,2427,4,5051515
,88978922,2054,16,1423662758
,30830121,2100,139,4285386895
,32946441,2147,24,790714606
,9472174,2057,22,208387839
,35676727,2199,174,6207750574
,237157,2530,4,948630
,61081165,2271,60,3664869915
,46445271,2162,62,2879606854
,1607943,2505,4,6431775
,34339082,2144,326,11194540770
,507691,2371,4,2030764
,7147,2304,2,14294
,15312690,2538,4,61250761
,1079105,2595,4,4316420
,17327799,2638,4,69311198
,2395407,2406,4,9581631
,644649,2561,4,2578597
,1255346,2363,4,5021385
,3386835,2519,4,13547341
,443383,2414,4,1773535
,3876876,2471,6,23261260
,9636,2657,2,19272
,32833378,2245,60,1970002683
,317160310,2324,34,10783450554
,13893,2359,2,27786
,16016720,2492,16,256267524
,115646072,2108,43,4972781098
,22906131,2313,12,274873577
,1441807,2440,4,5767230
,5159321,2583,4,20637284
,1167466,2497,6,7004796
,313736738,2163,16,5019787809
,31190781,2031,66,2058591611
,487859,2424,4,1951436
,5362933,2223,10,53629331
,10304526,2027,15,154567892
,6695827,2076,6,40174966
,392535,2506,4,1570141
,8206,2365,1,8206
,18964607,2343,14,265504499
,3318,2646,1,3318
,1854098,2370,4,7416395
,2199414,2438,4,8797657
,1144838,2388,4,4579353
,1215067,2517,10,12150672
,490282,2537,4,1961131
,17252867,2328,32,552091756
,8787,2358,2,17574
,39537381,2264,20,790747634
,1942244,2488,4,7768976
,1607078,2394,4,6428313
,949128,2592,4,3796513
,2980726,2509,16,47691620
,283299120,2130,6,1699794721
,228066679,2219,4,912266718
,6856303,2295,5,34281515
,520954852,2298,28,14586735880
,19859682,2330,4,79438730
,12981,2305,2,25962
,2520923,2469,6,15125542
,839767,2540,10,8397670
,42418188,2140,38,1611891145
,32361,2637,2,64722
,2303703,2385,4,9214812
,207853745,2029,26,5404197389
,78656,2018,2,157312
,46382129,2134,6,278292777
,7712,2291,1,7712
,87129292,2619,2,174258584
,486664846,2112,66,32119879841
,6733713,2641,6,40402281
,126275154,2131,8,1010201239
,871170,2456,4,3484681
,81488236,2021,26,2118694145
,8409708,2602,22,185013592
,21357,2002,2,42714
,579289,2393,4,2317158
,106665349,2093,16,1706645586
,62324207,2135,8,498593660
,8840,2643,2,17680
,214995,2425,4,859983
,14935899,2044,74,1105256531
,19093,2344,2,38186
,39960,2009,2,79920
,6707951,2203,124,831785954
,1710714,2376,4,6842856
,81540655,2607,2,163081311
,1427565,2391,4,5710260
,16191,2284,2,32382
,54306489,2081,41,2226566085
,144954506,2301,2,289909013
,1905758,2457,4,7623034
,2919757,2452,6,17518542
,2050036,2386,4,8200146
,839869,2362,4,3359477
,42908335,2655,6,257450010
,80073679,2072,304,24342398570
,1626604,2401,4,6506417
,468636,2032,4,1874544
,1213102,2423,4,4852409
,39889996,2088,130,5185699600
,311503,2476,4,1246012
,505248125,2173,6,3031488750
,17756,2293,2,35512
,3698086,2396,4,14792347
